,회사명,거래소코드,회계년도,총자본증가율,유형자산증가율,유동자산증가율,비유동자산증가율,재고자산증가율,자기자본증가율,매출액증가율,매출총이익증가율,당기순이익증가율,정상영업손익증가율,매출액총이익률,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,영업비용대영업수익비율,기업순이익률,금융비용대총비용비율,이자부담률,1주당매출액,1주당순이익,1주당CASHFLOW,1주당정상영업이익,유동자산구성비율,재고자산대유동자산비율,유동자산대비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,비유동비율,유동비율,당좌비율,현금비율,매입채무대재고자산비율,부채비율,유동부채비율,단기차입금대총차입금비율,순운전자본비율,차입금비율,CASHFLOW대부채비율,CASHFLOW대차입금비율,CASHFLOW대총자본비율,CASHFLOW대매출액비율,총자본회전률,자기자본회전률,타인자본회전률,매입채무회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,유형자산회전율,순운전자본회전률,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,현금및현금성자산의증가,기업생애주기,통계청 한국표준산업분류 10차(대분류),경영기간,상장기간,label
0,(주)DB하이텍,990,2011/12,-13.191447463205456,-7.891076539170159,-10.08196984795397,-14.095355745537352,-3.275048918769756,-22.600598970895643,-10.9390800315462,168.60656350452268,48.75989390697504,88.59889238834049,16.62,-17.74,-7.59,-27.74,83.38,110.96,-3.57,7.77,5.54,12865.19,-2541.0,1415.3,-1005.29,23.33,27.57,30.43,16.9,76.67,25.69,74.31,298.42,35.2,25.5,5.04,30.08,289.22,257.97,0.0,-42.95,229.64,5.87,7.39,4.36,9.47,0.43,1.56,0.59,20.51,1.87,2.54,7.04,6.12,0.7,0.72,60749.0,-23348.0,-88776.0,-52752.0,성숙기,제조업,58.0,37.0,0
1,(주)DB하이텍,990,2012/12,-3.443493316342019,-9.68675797402036,10.516719933077368,-7.691245031643022,2.7868193430420294,-5.573228765638086,6.984585741811175,5.4568237537455735,68.00208275904316,63.79606025492468,16.38,-5.31,-2.66,-10.47,83.62,102.64,1.25,6.9,5.25,13272.77,-780.0,1659.73,-350.96,26.7,25.64,36.43,19.86,73.3,25.13,74.87,291.73,55.66,41.39,7.19,22.38,298.0,190.94,68.49,-21.27,234.33,7.77,9.87,5.81,11.39,0.5,1.97,0.67,28.86,2.01,2.73,7.56,8.08,0.82,0.61,73877.0,-49272.0,-22718.0,-107.0,성숙기,제조업,59.0,38.0,0
2,(주)DB하이텍,990,2013/12,-8.582385737915189,-7.200144735325487,-27.877946846776908,-1.553126226268573,-8.685120234160127,-29.610887852234324,-16.424559823692505,-7.782358472045711,-164.978781787435,38.477787735245165,18.08,-16.82,-7.49,-33.51,81.92,101.95,-2.38,9.98,6.58,11092.77,-2066.0,637.61,-215.91,21.07,32.46,26.69,14.23,78.93,19.35,80.65,408.01,46.76,31.58,7.39,41.06,416.9,232.89,58.3,-23.99,324.25,5.99,7.7,4.83,10.36,0.45,1.99,0.57,20.81,1.86,2.6,6.51,7.74,0.75,0.63,28381.0,-14426.0,-18090.0,-4695.0,성숙기,제조업,60.0,39.0,0
3,(주)DB하이텍,990,2014/12,-6.945914179245497,-6.957581284195963,11.042738416135558,-11.746870776880437,-4.418469700737793,-41.05061121231508,14.980395016121454,53.39323929143652,7.270581718785747,574.0401623140152,24.11,-13.56,-7.54,-47.32,75.89,91.97,-1.1,11.38,7.65,12754.51,-1915.0,1080.14,1023.57,25.14,27.94,33.58,18.11,74.86,12.26,87.74,610.83,65.77,47.39,10.72,52.38,715.95,311.87,40.52,-13.08,545.5,4.42,5.81,3.88,6.73,0.56,3.49,0.66,17.22,2.41,3.45,8.02,8.06,0.92,0.86,48078.0,-43635.0,1206.0,5147.0,성장기,제조업,61.0,40.0,0
4,(주)DB하이텍,990,2015/12,-0.0236577765548388,-9.910153484277282,36.42227625594752,-12.262136949439435,20.64180398959237,110.48109823285256,17.416569494009348,67.76523866915014,264.56907634172626,174.29543459174715,34.46,19.01,12.87,67.63,65.54,81.25,17.82,7.85,6.11,14975.9,3112.0,3431.1,2807.58,34.3,24.71,52.21,25.83,65.7,25.8,74.2,254.62,138.4,104.2,44.31,53.05,287.57,96.06,23.96,9.52,206.91,13.74,19.1,10.2,15.06,0.68,3.56,0.84,16.56,2.28,3.08,8.73,7.67,1.19,1.11,152722.0,-12209.0,-71767.0,67764.0,성숙기,제조업,62.0,41.0,0
5,(주)DB하이텍,990,2016/12,0.2178452313729632,2.73117755186255,9.227639989696732,-4.48641646286981,-8.52504193625689,34.582790476152994,15.983468222833954,26.267529900426247,-30.29124221789116,37.976618201313926,37.51,11.43,8.96,29.65,62.49,77.7,12.76,5.84,5.45,17369.58,2042.0,5578.65,3873.81,37.39,20.69,59.71,29.65,62.61,34.65,65.35,180.71,134.53,106.69,42.15,57.89,188.6,80.2,33.11,9.6,123.51,31.09,47.48,20.32,25.94,0.78,2.59,1.12,17.48,2.19,2.83,9.68,7.64,1.43,1.26,248312.0,-121032.0,-118530.0,7447.0,성숙기,제조업,63.0,42.0,0
6,(주)DB하이텍,990,2017/12,0.7257883904259168,1.4361850717818665,-4.136624345393631,3.6292776403868814,-1.7368524461326873,33.30662119754209,-12.080865043847169,-12.56611840971001,24.711355609888617,-16.95374301157585,37.3,16.21,11.12,27.62,62.7,78.93,13.32,3.79,3.67,15271.17,2546.0,4114.12,3217.06,35.58,21.21,55.23,28.03,64.42,45.86,54.14,140.48,243.53,191.87,74.02,45.17,118.07,31.86,11.24,20.97,78.01,40.08,60.67,21.7,31.74,0.69,1.7,1.15,17.41,1.88,2.38,8.98,6.94,1.23,1.19,183124.0,-101904.0,-85791.0,-8085.0,성숙기,제조업,64.0,43.0,0
7,(주)DB하이텍,990,2018/12,7.302472657102816,7.560384256084325,8.402349128973063,6.6949560197910944,-42.82515096175635,22.50865514986902,-1.5386810800632007,-15.077277405971598,-21.18992511912866,-21.09151855860889,32.17,12.97,8.43,17.12,67.83,83.12,9.68,2.26,2.47,15036.21,2002.0,4051.65,2538.53,35.95,11.19,56.12,31.92,64.05,52.36,47.64,122.34,244.51,217.15,75.96,85.03,91.0,28.08,9.05,21.24,54.62,35.76,59.59,17.04,27.15,0.65,1.32,1.28,19.03,1.82,2.16,11.35,7.25,1.16,1.29,180344.0,-117302.0,-50895.0,11612.0,성숙기,제조업,65.0,44.0,0
8,(주)DB하이텍,990,2019/12,2.0961357068785427,3.180213196780293,11.185797865819463,-3.005028141490584,20.85703627716124,15.44774996776458,20.639673439626826,36.58840138202624,20.50927685450713,60.44533732178101,36.43,12.96,9.71,17.4,63.57,77.55,10.64,1.55,2.11,18139.64,2410.0,3618.83,4072.96,39.15,12.16,64.33,34.39,60.85,59.2,40.8,102.79,194.01,170.41,38.58,59.12,68.91,34.08,25.48,18.97,39.2,38.43,67.56,15.68,21.14,0.75,1.34,1.7,24.06,1.99,2.26,17.05,8.04,1.33,1.36,161078.0,-123955.0,-70941.0,-34329.0,성숙기,제조업,66.0,45.0,0
9,(주)DB하이텍,990,2020/12,8.236920166407993,9.424659489371916,7.728796541102559,8.563956138153348,0.0212199544735522,23.25816604643443,15.915463651946457,22.018264405488843,58.66853980905415,32.01630518721179,38.35,17.74,14.64,23.07,61.65,74.43,15.04,0.62,1.08,21026.63,3822.0,6964.15,5376.97,38.96,11.29,63.83,34.56,61.04,67.42,32.58,90.53,175.47,155.66,18.45,71.0,48.33,32.94,42.87,16.76,22.38,61.34,132.42,19.98,25.17,0.83,1.3,2.26,27.75,2.11,2.39,18.05,9.16,1.45,1.37,309983.0,-265310.0,-75975.0,-36483.0,성숙기,제조업,67.0,46.0,0
