,회사명,거래소코드,회계년도,총자본증가율,유형자산증가율,유동자산증가율,비유동자산증가율,재고자산증가율,자기자본증가율,매출액증가율,매출총이익증가율,당기순이익증가율,정상영업손익증가율,매출액총이익률,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,영업비용대영업수익비율,기업순이익률,금융비용대총비용비율,이자부담률,1주당매출액,1주당순이익,1주당CASHFLOW,1주당정상영업이익,유동자산구성비율,재고자산대유동자산비율,유동자산대비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,비유동비율,유동비율,당좌비율,현금비율,매입채무대재고자산비율,부채비율,유동부채비율,단기차입금대총차입금비율,순운전자본비율,차입금비율,CASHFLOW대부채비율,CASHFLOW대차입금비율,CASHFLOW대총자본비율,CASHFLOW대매출액비율,총자본회전률,자기자본회전률,타인자본회전률,매입채무회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,유형자산회전율,순운전자본회전률,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,현금및현금성자산의증가,경영기간,상장기간,label,산업분류,기업생애주기_Shake-Out,기업생애주기_도입기,기업생애주기_성숙기,기업생애주기_성장기,기업생애주기_쇠퇴기
0,(주)CMG제약,58820,2011/12,1.9756498356737373,-5.902878743820878,17.636684303350968,-12.88772389689821,-1.4372978799856269,-2.015756587883727,56.40528634361234,137.02521544845197,78.28653707703384,108.4914422183893,41.83,-8.5,-5.58,-8.28,58.17,97.89,-5.05,0.72,1.61,406.28,-35.0,-58.6,14.65,56.18,17.88,128.23,46.14,43.82,66.05,33.95,66.34,200.97,165.03,15.1,54.01,51.41,42.33,80.71,28.23,13.74,-46.08,-172.4,-15.65,-24.07,0.66,0.97,2.01,11.95,1.25,1.55,6.42,2.45,1.77,0.86,-2560.0,-1773.0,3039.0,-1295.0,10.0,11.0,0,1,0,1,0,0,0
1,(주)CMG제약,58820,2012/12,109.1485075993408,-4.130613926658426,207.07906916107163,-16.424272818455364,7.728764126868393,75.17467006765,-8.432852636322668,-37.96121734446539,-341.64456233421754,-757.1875,28.34,-40.97,-15.78,-26.84,71.66,125.87,-14.8,1.78,2.37,332.74,-138.0,-32.19,-86.09,82.49,6.27,471.15,77.32,17.51,55.32,44.68,31.65,693.49,649.98,68.81,90.38,80.77,21.5,0.57,70.6,55.28,-8.1,-11.83,-3.62,-12.71,0.39,0.66,0.93,7.83,0.52,0.57,5.71,1.85,1.71,0.42,-1573.0,-30266.0,35361.0,3522.0,11.0,12.0,0,1,0,1,0,0,0
2,(주)CMG제약,58820,2013/12,-2.0925264411290887,16.09541205544214,-18.890233288755866,77.04770477047704,56.31133671742808,55.097970941090814,25.51215010765918,71.36965487301931,104.44444444444446,118.80646695197336,38.7,1.45,0.52,0.74,61.3,96.12,1.12,1.59,2.08,235.52,4.16,-45.47,9.13,68.34,12.09,215.84,60.08,31.66,87.63,12.37,36.13,694.71,610.74,394.63,84.7,14.11,11.23,0.0,58.5,2.89,-39.85,-194.73,-4.93,-13.51,0.36,0.51,1.26,6.2,0.48,0.52,5.39,2.07,2.03,0.42,-3939.0,21135.0,-157.0,17031.0,12.0,13.0,0,1,0,0,0,0,1
3,(주)CMG제약,58820,2014/12,3.8542020639207344,74.3081906524757,-25.933001831981155,68.14664181212224,6.365014072310024,0.0122456476927158,11.523380060778356,6.839772007599747,-46.62162162162162,-44.121365360303415,37.07,0.69,0.28,0.32,62.93,98.06,0.02,-0.64,-1.84,262.65,1.82,8.37,5.11,48.74,17.36,95.07,40.28,51.26,84.39,15.61,60.75,324.58,268.23,101.24,96.06,18.5,17.79,0.0,33.72,3.15,-17.73,-104.12,-2.77,-7.06,0.4,0.46,2.85,5.27,0.68,0.8,4.77,1.86,1.54,0.56,725.0,-13611.0,5.0,-12878.0,13.0,14.0,0,1,0,0,0,1,0
4,(주)CMG제약,58820,2015/12,-2.6434525039608734,-5.373261123500053,-7.169357973216495,1.6595558840326536,11.052310197435377,-4.481358284186682,18.850261503977496,16.229994072317723,-2410.126582278481,-681.9004524886877,36.26,-13.5,-6.37,-7.62,63.74,109.51,-6.42,-0.1,-0.32,306.26,-42.0,27.3,-29.13,46.47,20.77,86.82,36.82,53.53,82.8,17.2,64.65,296.85,235.21,29.0,88.79,20.78,18.91,0.0,30.82,0.01,16.12,9724.89,2.77,5.8,0.47,0.56,2.88,5.66,0.99,1.22,5.22,2.1,1.48,0.75,2410.0,-8671.0,1.0,-6261.0,14.0,15.0,0,1,0,0,0,1,0
5,(주)CMG제약,58820,2016/12,96.31011975306458,-5.13971495903939,199.8325213154689,6.4340239912759,17.192082111436953,116.01042579101416,21.92145551364544,35.72011423908609,147.34246575342468,167.30171073094868,40.36,5.24,2.06,2.34,59.64,94.75,1.88,-0.49,-1.57,361.04,19.0,36.37,18.95,70.98,8.12,244.58,65.22,29.02,91.1,8.9,31.85,862.15,792.17,23.52,88.97,9.76,9.04,0.0,62.75,0.0,29.03,0.0,2.58,8.69,0.39,0.45,3.36,6.26,0.63,0.71,5.56,2.66,1.9,0.54,3321.0,-56094.0,52360.0,-418.0,15.0,16.0,0,1,0,0,0,1,0
6,(주)CMG제약,58820,2017/12,-1.2723013155523517,-4.276588193540755,3.116589651145077,-12.006333830104325,23.631529558961525,-3.129327056217114,25.98119502578101,35.56290395310386,64.0625,-9.936452917388792,43.43,6.83,2.57,2.85,56.57,96.25,1.55,-2.82,-10.51,381.71,26.0,17.9,14.32,74.13,9.73,286.61,66.92,25.87,89.39,10.61,28.94,746.28,673.66,34.9,88.59,11.87,11.11,0.0,64.2,0.0,22.67,0.0,2.4,6.34,0.38,0.42,3.86,6.55,0.52,0.57,5.81,3.01,2.51,0.46,1948.0,-467.0,171.0,1650.0,16.0,17.0,0,1,0,0,0,1,0
7,(주)ES큐브,50120,2011/12,12.783345870011589,27.82222222222222,3.8298650254410287,30.736803519061585,27.47780177585793,-7.918631660449074,21.63055118827899,36.47435897435897,-193.87254901960785,-583.5205992509362,27.92,-8.99,-8.65,-12.61,72.08,106.84,-9.59,-0.87,-3.22,2296.51,-206.0,47.66,-157.04,61.43,15.59,159.25,51.85,38.57,70.74,29.26,54.53,230.24,194.35,21.35,50.95,41.36,37.71,0.0,34.75,0.25,6.82,1107.72,2.0,2.08,0.96,1.36,3.29,19.72,1.57,1.86,10.05,4.27,12.37,1.09,1108.0,-2461.0,100.0,-1321.0,34.0,10.0,0,0,0,0,0,1,0
8,(주)ES큐브,50120,2012/12,-16.574436252861545,-26.240148354195643,-33.3675685192793,10.16869947193794,-8.810240963855422,1.5644906487285326,4.8538778568752345,5.220425417701134,92.51459549624688,102.43835616438358,28.02,-0.64,-0.78,0.29,71.98,99.84,-1.57,-0.64,-5.7,2392.63,5.0,223.35,3.82,49.06,21.33,96.32,38.6,50.94,86.12,13.88,59.14,472.77,371.91,84.78,31.81,16.11,12.05,0.0,38.68,0.39,81.36,3402.53,11.29,9.33,1.21,1.4,8.72,36.32,2.46,3.13,11.55,12.19,17.59,2.03,5225.0,-4486.0,303.0,911.0,35.0,11.0,0,0,0,0,0,1,0
9,(주)ES큐브,50120,2013/12,1.8495311352145545,-31.583909490886235,68.92147795833884,-62.757158006362666,29.33526011560693,6.302057200200703,4.691715352593307,-7.474013136917288,-4483.844011142061,-1408.9887640449438,24.76,-28.08,-35.23,-40.47,75.24,101.99,-35.88,-0.39,-5.45,1862.12,-520.0,82.34,-37.01,81.37,16.33,436.85,68.08,18.63,89.89,10.11,20.72,1056.51,883.95,278.73,14.91,11.25,8.57,0.0,73.67,0.36,82.01,2558.09,8.29,6.67,1.25,1.43,10.48,47.35,1.92,2.35,10.55,15.18,21.87,1.69,2591.0,-14873.0,18284.0,6047.0,36.0,12.0,0,0,0,0,0,1,0
