,상장기간
0,11
1,12
2,13
3,14
4,15
5,16
6,17
7,18
8,19
9,20
10,21
11,22
12,10
13,11
14,12
15,13
16,14
17,15
18,16
19,17
20,18
21,19
22,20
23,21
24,7
25,8
26,9
27,10
28,11
29,12
30,13
31,14
32,15
33,16
34,17
35,18
36,0
37,0
38,0
39,0
40,1
41,0
42,0
43,1
44,2
45,3
46,4
47,5
48,6
49,7
50,8
51,3
52,4
53,5
54,6
55,7
56,8
57,9
58,10
59,11
60,12
61,13
62,14
63,1
64,2
65,3
66,4
67,5
68,6
69,7
70,8
71,9
72,0
73,1
74,2
75,3
76,4
77,5
78,6
79,7
80,8
81,9
82,10
83,11
84,12
85,13
86,14
87,15
88,13
89,14
90,15
91,16
92,17
93,18
94,19
95,20
96,21
97,22
98,23
99,24
100,12
101,13
102,14
103,15
104,16
105,17
106,18
107,19
108,20
109,21
110,22
111,23
112,1
113,2
114,3
115,4
116,5
117,6
118,7
119,8
120,1
121,2
122,3
123,4
124,5
125,6
126,7
127,8
128,9
129,10
130,11
131,12
132,0
133,0
134,0
135,0
136,0
137,1
138,19
139,20
140,21
141,22
142,23
143,24
144,25
145,26
146,27
147,28
148,29
149,30
150,16
151,17
152,18
153,19
154,20
155,21
156,22
157,23
158,24
159,25
160,26
161,27
162,0
163,0
164,1
165,2
166,10
167,11
168,12
169,13
170,14
171,15
172,16
173,17
174,18
175,19
176,20
177,21
178,10
179,11
180,12
181,13
182,14
183,15
184,16
185,17
186,18
187,19
188,20
189,21
190,12
191,13
192,14
193,15
194,16
195,17
196,18
197,19
198,20
199,21
200,22
201,23
202,18
203,19
204,20
205,21
206,22
207,23
208,24
209,25
210,26
211,27
212,28
213,29
214,1
215,2
216,3
217,4
218,5
219,13
220,14
221,15
222,16
223,17
224,18
225,19
226,20
227,21
228,22
229,23
230,24
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,1
239,2
240,3
241,4
242,5
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,1
252,2
253,3
254,4
255,0
256,0
257,0
258,1
259,6
260,7
261,8
262,9
263,10
264,11
265,12
266,13
267,14
268,15
269,16
270,17
271,7
272,8
273,9
274,10
275,11
276,12
277,13
278,14
279,15
280,16
281,0
282,0
283,1
284,2
285,3
286,4
287,12
288,13
289,14
290,15
291,16
292,17
293,18
294,19
295,20
296,21
297,22
298,23
299,1
300,2
301,3
302,4
303,5
304,6
305,7
306,8
307,9
308,10
309,13
310,14
311,15
312,16
313,17
314,18
315,19
316,20
317,21
318,22
319,23
320,24
321,0
322,0
323,0
324,1
325,2
