회사명,거래소코드,회계년도,매출총이익(손실)(요약)(IFRS연결)(백만원),당기순이익(손실)(요약)(IFRS연결)(백만원),* (정상)영업손익(보고서기재)(요약)(IFRS연결)(백만원),매출총이익(손실)(요약)(IFRS)(백만원),당기순이익(손실)(요약)(IFRS)(백만원),* (정상)영업손익(보고서기재)(요약)(IFRS)(백만원)
(주)CMG제약,058820,2009/12,,,,2469,-18177,-8650
(주)CMG제약,058820,2010/12,3133,-6945,-7537,3133,-6945,-7537
(주)CMG제약,058820,2011/12,7426,-1508,640,7426,-1264,715
(주)CMG제약,058820,2012/12,4607,-6660,-4206,4607,-6893,-4045
(주)CMG제약,058820,2013/12,7895,296,791,7815,335,823
(주)CMG제약,058820,2014/12,8435,158,442,8435,172,446
(주)CMG제약,058820,2015/12,9804,-3650,-2572,9804,-3649,-2571
(주)CMG제약,058820,2016/12,13306,1728,1731,13306,1693,1731
(주)CMG제약,058820,2017/12,18038,2835,1559,18038,2835,1559
(주)CMG제약,058820,2018/12,22740,6065,2568,22740,6065,2568
(주)CMG제약,058820,2019/12,28923,3051,2604,28923,3051,2604
(주)CMG제약,058820,2020/12,,,,31210,215,1822
(주)CMG제약,058820,2021/12,,,,33451,3165,1660
(주)CMG제약,058820,2022/12,,,,40901,-388,2981
(주)ES큐브,050120,2009/12,,,,5952,3747,938
(주)ES큐브,050120,2010/12,10920,-1632,-534,7600,-2166,578
(주)ES큐브,050120,2011/12,14903,-4796,-3650,12596,-2933,-2080
(주)ES큐브,050120,2012/12,15681,-359,89,12527,517,646
(주)ES큐브,050120,2013/12,14509,-16456,-1165,11800,-14749,217
(주)ES큐브,050120,2014/12,9523,-615,171,6614,-2412,326
(주)ES큐브,050120,2015/12,11720,-2307,-4060,6151,3610,2371
(주)ES큐브,050120,2016/12,9835,21541,2161,6349,17469,2360
(주)ES큐브,050120,2017/12,9688,1738,2249,6608,1219,2170
(주)ES큐브,050120,2018/12,7727,-6121,-1211,5615,-3836,691
(주)ES큐브,050120,2019/12,8197,-13768,-2617,5819,-12739,588
(주)ES큐브,050120,2020/12,24142,-25292,10316,6096,-29081,1453
(주)ES큐브,050120,2021/12,15286,5376,283,7492,5695,2340
(주)ES큐브,050120,2022/12,23906,24683,15343,10986,5705,5004
(주)가비아,079940,2009/12,16317,4442,5631,10637,3172,3653
(주)가비아,079940,2010/12,18879,5573,6692,11722,3096,3960
(주)가비아,079940,2011/12,23665,7015,8181,13031,3262,3932
(주)가비아,079940,2012/12,28756,9419,7620,14988,5738,2949
(주)가비아,079940,2013/12,31793,9506,7034,15949,3787,3035
(주)가비아,079940,2014/12,35156,6753,8383,17031,3077,3451
(주)가비아,079940,2015/12,41570,8530,11349,19640,4288,4532
(주)가비아,079940,2016/12,47180,10178,12549,20628,3544,3982
(주)가비아,079940,2017/12,55905,9670,12712,21804,2494,3176
(주)가비아,079940,2018/12,62977,15341,18188,23543,2763,4106
(주)가비아,079940,2019/12,72656,21102,23737,23722,4655,4889
(주)가비아,079940,2020/12,83163,23752,28545,27270,4758,7130
(주)가비아,079940,2021/12,98530,24999,33095,32160,4413,7608
(주)가비아,079940,2022/12,116150,41595,41206,35721,7352,7572
(주)가온칩스,399720,2018/12,,,,,,
(주)가온칩스,399720,2019/12,,,,,,
(주)가온칩스,399720,2020/12,,,,5020,1852,1974
(주)가온칩스,399720,2021/12,,,,10687,6183,6202
(주)가온칩스,399720,2022/12,11629,4419,3900,11629,4475,3955
(주)강스템바이오텍,217730,2013/12,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,
(주)강스템바이오텍,217730,2015/12,,,,1232,-5754,-5125
(주)강스템바이오텍,217730,2016/12,,,,785,-8300,-9118
(주)강스템바이오텍,217730,2017/12,3259,-11532,-11738,2992,-10856,-11133
(주)강스템바이오텍,217730,2018/12,1177,-14294,-11694,724,-13501,-10525
(주)강스템바이오텍,217730,2019/12,-424,-26394,-23154,141,-25002,-19411
(주)강스템바이오텍,217730,2020/12,1046,-19746,-18725,245,-19492,-16745
(주)강스템바이오텍,217730,2021/12,2689,-21827,-22736,1754,-20437,-21748
(주)강스템바이오텍,217730,2022/12,4873,-20176,-20558,2484,-19765,-21015
(주)강원에너지,114190,2009/11,,,,8077,2590,4242
(주)강원에너지,114190,2010/11,,,,6689,1717,1779
(주)강원에너지,114190,2011/11,,,,12591,5755,6590
(주)강원에너지,114190,2012/12,,,,21030,8975,11611
(주)강원에너지,114190,2013/12,,,,11744,3922,3234
(주)강원에너지,114190,2014/12,,,,10915,1123,1626
(주)강원에너지,114190,2015/12,7923,102,447,8328,886,878
(주)강원에너지,114190,2016/12,7017,-1125,-1311,7242,-762,-902
(주)강원에너지,114190,2017/12,865,-6452,-5589,865,-6291,-5421
(주)강원에너지,114190,2018/12,5893,1709,341,5893,1978,532
(주)강원에너지,114190,2019/12,-6139,-35647,-17176,-6139,-33461,-17151
(주)강원에너지,114190,2020/12,-1859,-12875,-9226,-1859,-14039,-8978
(주)강원에너지,114190,2021/12,,,,4959,5796,1916
(주)강원에너지,114190,2022/12,6047,3456,2618,5290,1589,3003
(주)경윤하이드로에너지,019120,2009/12,-241,-9336,-8118,631,-9336,-2880
(주)경윤하이드로에너지,019120,2010/12,,,,1616,-29422,-2647
(주)고려시멘트,198440,2014/12,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,
(주)고려시멘트,198440,2017/12,,,,11686,1004,3018
(주)고려시멘트,198440,2018/12,,,,12668,4646,3838
(주)고려시멘트,198440,2019/12,,,,5322,3396,-460
(주)고려시멘트,198440,2020/12,,,,8145,4445,4281
(주)고려시멘트,198440,2021/12,,,,6604,4639,3698
(주)고려시멘트,198440,2022/12,,,,-9985,-7761,-12631
(주)고바이오랩,348150,2019/12,288,-44067,-7352,288,-44215,-5735
(주)고바이오랩,348150,2020/12,2642,-55072,-12345,2642,-56315,-10214
(주)고바이오랩,348150,2021/12,1909,-15382,-16337,1909,-17475,-11047
(주)고바이오랩,348150,2022/12,8021,-23386,-20292,6469,-14755,-5863
(주)고영테크놀러지,098460,2009/12,,,,15836,1162,2269
(주)고영테크놀러지,098460,2010/12,42855,16267,20491,41564,15223,19485
(주)고영테크놀러지,098460,2011/12,49160,15634,18821,45861,16581,19598
(주)고영테크놀러지,098460,2012/12,61492,15222,21443,54541,14836,20358
(주)고영테크놀러지,098460,2013/12,61925,13933,16773,55187,14817,17779
(주)고영테크놀러지,098460,2014/12,82578,22111,28155,74149,22776,27729
(주)고영테크놀러지,098460,2015/12,89008,23531,23450,81593,23272,26173
(주)고영테크놀러지,098460,2016/12,107938,29724,33184,92069,28063,31040
(주)고영테크놀러지,098460,2017/12,131469,26734,43749,115296,28907,45513
(주)고영테크놀러지,098460,2018/12,148872,42310,45983,131725,42430,46197
(주)고영테크놀러지,098460,2019/12,141192,29560,33331,127878,34703,40058
(주)고영테크놀러지,098460,2020/12,113123,9161,15843,93757,7447,13573
(주)고영테크놀러지,098460,2021/12,157211,39586,41351,141756,38621,43786
(주)고영테크놀러지,098460,2022/12,176663,39284,44259,149153,35505,39640
(주)골드앤에스,035290,2009/12,,,,13222,423,1041
(주)골드앤에스,035290,2010/12,14636,-8961,-8206,14146,-8867,-8192
(주)골드앤에스,035290,2011/12,14978,1002,1295,14502,1101,1392
(주)골드앤에스,035290,2012/12,12877,-6467,-2331,12414,-6036,-2363
(주)골드앤에스,035290,2013/12,11421,-16837,-6493,10225,-16378,-4982
(주)골드앤에스,035290,2014/12,7833,-9319,-3080,7722,-8059,-2319
(주)골드앤에스,035290,2015/12,6998,-9503,1144,6656,-9396,1062
(주)골드앤에스,035290,2016/12,6546,390,402,6257,388,390
(주)골드앤에스,035290,2017/12,4799,-7976,-3694,4581,-8063,-3690
(주)골드앤에스,035290,2018/12,4275,-4380,-4667,4332,-4046,-4559
(주)골드앤에스,035290,2019/12,1350,-24883,-7142,1350,-24883,-7142
(주)골드앤에스,035290,2020/12,3096,1636,-2343,3096,1636,-2343
(주)골드앤에스,035290,2021/12,4652,771,1356,4652,771,1356
(주)골드앤에스,035290,2022/12,4362,-6254,-1144,4362,-6254,-1144
(주)골드카운티,058900,2009/12,-418,-14359,-3397,-418,-14359,-3392
(주)골드퍼시픽,038530,2009/12,,,,2218,155,-797
(주)골드퍼시픽,038530,2010/12,,,,3006,348,519
(주)골드퍼시픽,038530,2011/12,,,,4600,990,1726
(주)골드퍼시픽,038530,2012/12,,,,3156,255,727
(주)골드퍼시픽,038530,2013/12,-1075,-9381,-6138,-1134,-8456,-5585
(주)골드퍼시픽,038530,2014/12,-1471,-7390,-5819,-3240,-7307,-5975
(주)골드퍼시픽,038530,2015/12,-1045,-10216,-8243,-2256,-12526,-8198
