,거래소코드,회계년도,종가,상장주식수,시가총액
0,005930,2011/12,1058000,147299337,155842698546000
0,005930,2012/12,1522000,147299337,224189590914000
0,005930,2013/12,1372000,147299337,202094690364000
0,005930,2014/12,1327000,147299337,195466220199000
0,005930,2015/12,1260000,147299337,185597164620000
0,005930,2016/12,1802000,140679337,253504165274000
0,005930,2017/12,2548000,129098494,328942962712000
0,005930,2018/12,38700,5969782550,231030584685000
0,005930,2019/12,55800,5969782550,333113866290000
0,005930,2020/12,81000,5969782550,483552386550000
0,005930,2021/12,78300,5969782550,467433973665000
1,000660,2016/12,44700,728002365,32541705715500
1,000660,2017/12,76500,728002365,55692180922500
1,000660,2018/12,60500,728002365,44044143082500
1,000660,2019/12,94100,728002365,68505022546500
1,000660,2020/12,118500,728002365,86268280252500
1,000660,2021/12,131000,728002365,95368309815000
1,005380,2011/12,213000,220276479,46918890027000
1,005380,2012/12,218500,220276479,48130410661500
1,005380,2013/12,236500,220276479,52095387283500
1,005380,2014/12,169000,220276479,37226724951000
1,005380,2015/12,149000,220276479,32821195371000
2,000660,2014/12,47750,728002365,34762112928750
2,005380,2016/12,146000,220276479,32160365934000
2,005490,2011/12,380000,87186835,33130997300000
2,005490,2012/12,349000,87186835,30428205415000
2,005935,2017/12,2090000,18250580,38143712200000
2,005935,2019/12,45400,822886700,37359056180000
2,005935,2020/12,73600,822886700,60564461120000
2,012330,2013/12,293500,97343863,28570423790500
2,015760,2015/12,50000,641964077,32098203850000
2,035420,2021/12,378500,164049085,62092578672500
2,068270,2018/12,222500,125456133,27913989592500
3,005380,2017/12,156000,220276479,34363130724000
3,005490,2013/12,326500,87186835,28466501627500
3,005935,2016/12,1433000,20513427,29395740891000
3,005935,2018/12,31750,822886700,26126652725000
3,012330,2011/12,292000,97343863,28424407996000
3,012330,2012/12,288000,97343863,28035032544000
3,015760,2014/12,42700,641964077,27411866087900
3,028260,2015/12,140000,189690043,26556606020000
3,035420,2019/12,186500,164813395,30737698167500
3,051910,2020/12,824000,70592343,58168090632000
3,207940,2021/12,903000,66165000,59746995000000
4,000270,2011/12,66700,403814773,26934445359100
4,000270,2012/12,56500,405363347,22903029105500
4,000660,2013/12,36800,710200891,26135392788800
4,005490,2014/12,275500,87186835,24019973042500
4,005490,2017/12,332500,87186835,28989622637500
4,005935,2015/12,1091000,22833427,24911268857000
4,005935,2021/12,71200,822886700,58589533040000
4,015760,2016/12,44050,641964077,28278517591850
4,207940,2018/12,386500,66165000,25572772500000
4,207940,2019/12,433000,66165000,28649445000000
4,207940,2020/12,826000,66165000,54652290000000
5,005380,2018/12,118500,213668187,25319680159500
5,005380,2019/12,120500,213668187,25747016533500
5,005935,2014/12,1039000,22833427,23723930653000
5,012330,2016/12,264000,97343863,25698779832000
5,035420,2013/12,724000,32962679,23864979596000
5,035420,2017/12,870000,32962679,28677530730000
5,035720,2021/12,112500,445784877,50150798662500
5,051910,2011/12,317500,66271100,21041074250000
5,051910,2012/12,330000,66271100,21869463000000
5,068270,2020/12,359000,134997805,48464211995000
5,090430,2015/12,414500,58458490,24231044105000
6,005935,2013/12,1013000,22833427,23130261551000
6,006400,2021/12,655000,68764530,45040767150000
6,009540,2011/12,257000,76000000,19532000000000
6,012330,2015/12,246500,97343863,23995262229500
6,012330,2019/12,256000,95306694,24398513664000
6,015760,2012/12,30450,641964077,19547806144650
6,035420,2014/12,712000,32962679,23469427448000
6,035420,2016/12,775000,32962679,25546076225000
6,035420,2020/12,292500,164263395,48047043037500
6,051910,2017/12,405000,70592343,28589898915000
6,051910,2018/12,347000,70592343,24495543021000
7,000270,2013/12,56100,405363347,22740883766700
7,000660,2015/12,30750,728002365,22386072723750
7,005380,2021/12,209000,213668187,44656651083000
7,005935,2012/12,852000,22833427,19454079804000
7,006400,2020/12,628000,68764530,43184124840000
7,017670,2018/12,269500,80745711,21760969114500
7,028260,2016/12,125500,189690043,23806100396500
7,032830,2014/12,116500,200000000,23300000000000
7,055550,2011/12,39750,474199587,18849433583250
7,068270,2017/12,221100,122666424,27121546346400
7,068270,2019/12,181000,128337853,23229151393000
8,005380,2020/12,192000,213668187,41024291904000
8,012330,2014/12,236000,97343863,22973151668000
8,015760,2011/12,25550,641964077,16402182167350
8,015760,2018/12,33100,641964077,21249010948700
8,032830,2012/12,94300,200000000,18860000000000
8,032830,2015/12,110000,200000000,22000000000000
8,032830,2016/12,112500,200000000,22500000000000
8,051910,2019/12,317500,70592343,22413068902500
8,051910,2021/12,615000,70592343,43414290945000
8,055550,2013/12,47300,474199587,22429640465100
8,105560,2017/12,63400,418111537,26508271445800
9,000270,2021/12,82200,405363347,33320867123400
9,005490,2016/12,257500,87186835,22450610012500
9,005490,2018/12,243000,87186835,21186400905000
