,상장기간
0,37
1,38
2,39
3,40
4,41
5,42
6,43
7,44
8,45
9,46
10,47
11,48
12,5
13,6
14,7
15,8
16,9
17,10
18,11
19,12
20,13
21,14
22,15
23,16
24,16
25,17
26,18
27,19
28,20
29,21
30,22
31,23
32,24
33,25
34,26
35,27
36,27
37,28
38,29
39,30
40,31
41,32
42,33
43,34
44,35
45,36
46,37
47,38
48,23
49,24
50,25
51,26
52,27
53,28
54,29
55,30
56,31
57,32
58,33
59,34
60,4
61,5
62,6
63,7
64,8
65,9
66,10
67,11
68,12
69,13
70,14
71,15
72,10
73,11
74,12
75,13
76,14
77,15
78,16
79,17
80,18
81,19
82,20
83,21
84,22
85,23
86,24
87,25
88,26
89,27
90,28
91,29
92,30
93,31
94,32
95,33
96,28
97,29
98,30
99,31
100,32
101,33
102,34
103,35
104,36
105,37
106,38
107,39
108,9
109,10
110,11
111,12
112,13
113,14
114,15
115,16
116,17
117,18
118,19
119,20
120,23
121,24
122,25
123,26
124,27
125,28
126,29
127,30
128,31
129,32
130,33
131,34
132,35
133,36
134,37
135,38
136,39
137,40
138,41
139,42
140,43
141,44
142,45
143,46
144,19
145,20
146,21
147,22
148,23
149,24
150,25
151,26
152,27
153,28
154,29
155,30
156,1
157,2
158,3
159,4
160,5
161,6
162,15
163,16
164,17
165,18
166,19
167,20
168,21
169,22
170,23
171,24
172,25
173,26
174,56
175,57
176,58
177,59
178,60
179,61
180,62
181,63
182,64
183,65
184,66
185,67
186,0
187,0
188,0
189,0
190,1
191,2
192,3
193,4
194,5
195,6
196,7
197,8
198,17
199,18
200,19
201,20
202,21
203,22
204,23
205,24
206,25
207,26
208,27
209,28
210,22
211,23
212,24
213,25
214,26
215,27
216,28
217,29
218,30
219,31
220,32
221,33
222,10
223,11
224,12
225,13
226,14
227,15
228,16
229,17
230,18
231,19
232,20
233,21
234,16
235,17
236,18
237,19
238,20
239,21
240,22
241,23
242,24
243,25
244,26
245,27
246,23
247,24
248,25
249,26
250,27
251,28
252,29
253,30
254,31
255,32
256,33
257,34
258,36
259,37
260,38
261,39
262,40
263,41
264,42
265,43
266,44
267,45
268,46
269,47
270,0
271,0
272,0
273,0
274,1
275,2
276,3
277,4
278,5
279,6
280,7
281,8
282,23
283,24
284,25
285,26
286,27
287,28
288,29
289,30
290,31
291,32
292,33
293,34
294,8
295,9
296,10
297,11
298,12
299,13
300,14
301,15
302,16
303,17
304,18
305,19
306,34
307,35
308,36
309,37
310,38
311,39
312,40
313,41
314,42
315,43
316,44
317,45
318,23
319,24
320,25
321,26
322,27
323,28
324,29
325,30
326,31
327,32
328,33
329,34
330,25
331,26
332,27
333,28
334,29
335,30
336,31
337,32
338,33
339,34
340,35
341,36
342,1
343,2
344,3
345,4
346,5
347,6
348,6
349,7
350,8
351,9
352,10
353,11
354,12
355,13
356,14
357,15
358,16
359,17
360,39
361,40
362,41
363,42
364,43
365,44
366,45
367,46
368,47
369,48
370,49
371,50
372,23
373,24
374,25
375,26
376,27
377,28
378,29
379,30
380,31
381,32
382,33
383,34
384,36
385,37
386,38
387,39
388,40
389,41
390,42
391,43
392,44
393,45
394,46
395,47
396,36
397,37
398,38
399,39
400,40
401,41
402,42
403,43
404,44
405,45
406,46
407,47
408,9
409,10
410,11
411,12
412,13
413,14
414,15
415,16
416,17
417,18
418,19
419,20
420,15
421,16
422,17
423,18
424,19
425,20
426,21
427,22
428,23
429,24
430,25
431,26
432,0
433,0
434,0
435,0
436,1
437,2
438,3
439,4
440,5
441,6
442,7
443,8
444,24
445,25
446,8
447,9
448,10
449,11
450,12
451,13
452,14
453,15
454,16
455,17
456,18
457,19
458,24
459,25
460,26
461,27
462,28
463,29
464,30
465,31
466,32
467,33
468,34
469,35
470,23
471,24
472,25
473,26
474,27
475,28
476,29
477,30
478,31
479,32
480,33
481,34
482,37
483,38
484,39
485,40
486,41
487,42
488,43
489,44
490,45
491,46
492,47
493,48
494,36
495,37
496,38
497,39
498,40
499,41
500,18
501,19
502,20
503,21
504,22
505,23
506,24
507,25
508,26
509,27
510,28
511,29
512,11
513,12
514,13
515,14
516,15
517,16
518,17
519,18
520,19
521,20
522,21
523,22
524,39
525,40
526,41
527,42
528,43
529,44
530,45
531,46
532,47
533,48
534,49
535,50
536,10
537,11
538,12
539,13
540,14
541,15
542,16
543,17
544,18
545,19
546,20
547,21
548,35
549,36
550,37
551,38
552,39
553,40
554,41
555,42
556,43
