회사명,거래소코드,회계년도,매출총이익(손실)(요약)(IFRS연결)(백만원),당기순이익(손실)(요약)(IFRS연결)(백만원),* (정상)영업손익(보고서기재)(요약)(IFRS연결)(백만원),매출총이익(손실)(요약)(IFRS)(백만원),당기순이익(손실)(요약)(IFRS)(백만원),* (정상)영업손익(보고서기재)(요약)(IFRS)(백만원)
(주)DB하이텍,000990,2009/12,155169,-183352,-136196,147283,-176443,-130420
(주)DB하이텍,000990,2010/12,-133770,-191153,-378472,-133821,-204815,-362804
(주)DB하이텍,000990,2011/12,91775,-97947,-43150,91177,-93084,-39984
(주)DB하이텍,000990,2012/12,96783,-31341,-15622,96948,-32122,-14430
(주)DB하이텍,000990,2013/12,89251,-83047,-9611,89251,-73243,-9393
(주)DB하이텍,000990,2014/12,136905,-77009,45560,136905,-58320,45311
(주)DB하이텍,000990,2015/12,229679,126733,124969,229679,127470,124373
(주)DB하이텍,000990,2016/12,290010,88344,172428,290010,88002,171788
(주)DB하이텍,000990,2017/12,253567,110175,143195,253567,74402,142354
(주)DB하이텍,000990,2018/12,215336,86829,112993,215336,95087,112884
(주)DB하이텍,000990,2019/12,294124,104637,181292,294124,121160,181156
(주)DB하이텍,000990,2020/12,358885,166026,239335,358885,165658,239189
(주)DB하이텍,000990,2021/12,535197,316892,399107,535197,316920,398950
(주)DB하이텍,000990,2022/12,933218,558837,768747,933218,558547,768587
(주)HJ중공업,097230,2009/12,534322,51644,390400,592185,51904,460906
(주)HJ중공업,097230,2010/12,325985,-72295,119726,297918,-39395,101888
(주)HJ중공업,097230,2011/12,226941,-96920,107974,159175,-116272,59453
(주)HJ중공업,097230,2012/12,191059,-53214,52914,147316,13082,28591
(주)HJ중공업,097230,2013/12,64973,-190193,-69574,26380,-212716,-109107
(주)HJ중공업,097230,2014/12,-16934,-299811,-144988,766,-225739,-106249
(주)HJ중공업,097230,2015/12,111036,-260925,-79370,68989,-260118,-97810
(주)HJ중공업,097230,2016/12,59726,-334446,-79319,152126,-334429,49319
(주)HJ중공업,097230,2017/12,21248,-277978,-116693,192416,-299028,86683
(주)HJ중공업,097230,2018/12,140780,-1283647,61676,199822,-963474,-66005
(주)HJ중공업,097230,2019/12,177484,306169,83839,170398,-73654,77055
(주)HJ중공업,097230,2020/12,130471,78346,51629,129821,76553,51087
(주)HJ중공업,097230,2021/12,-20527,-139844,-108991,-20844,-139995,-109186
(주)HJ중공업,097230,2022/12,96635,-50160,6625,96297,-50187,6360
(주)MH에탄올,023150,2009/12,12251,1317,4917,11844,1317,7440
(주)MH에탄올,023150,2010/12,8116,-1793,3449,11445,4582,9209
(주)MH에탄올,023150,2011/12,7527,-4357,603,10491,3352,6908
(주)MH에탄올,023150,2012/12,10738,287,5452,10010,2572,6519
(주)MH에탄올,023150,2013/12,7883,7028,3010,13051,-11627,9650
(주)MH에탄올,023150,2014/12,11874,-203,8745,11874,4618,8747
(주)MH에탄올,023150,2015/12,13961,7779,11092,13961,7745,11094
(주)MH에탄올,023150,2016/12,14935,8145,11874,14935,8135,11877
(주)MH에탄올,023150,2017/12,14752,4308,8117,13693,5903,10453
(주)MH에탄올,023150,2018/12,19271,-12033,1228,12612,6553,9029
(주)MH에탄올,023150,2019/12,26660,-7552,7829,11577,-5005,7829
(주)MH에탄올,023150,2020/12,34821,3803,15782,12368,1156,8239
(주)MH에탄올,023150,2021/12,43856,8689,23335,8156,4939,3675
(주)MH에탄올,023150,2022/12,43260,11906,21925,4700,5685,586
(주)SH에너지화학,002360,2009/12,14494,4921,5764,14494,4507,5933
(주)SH에너지화학,002360,2010/12,12826,-6501,-6801,12548,-6557,-7398
(주)SH에너지화학,002360,2011/12,12420,1801,4166,12178,3164,4988
(주)SH에너지화학,002360,2012/12,15121,211,2183,13391,1080,2875
(주)SH에너지화학,002360,2013/12,17960,4607,6424,16386,4842,7203
(주)SH에너지화학,002360,2014/12,33251,16733,21272,30142,15570,20275
(주)SH에너지화학,002360,2015/12,37306,12591,22950,34801,12639,22900
(주)SH에너지화학,002360,2016/12,38639,18029,24101,34654,17574,23600
(주)SH에너지화학,002360,2017/12,26291,9879,14182,22961,8905,13189
(주)SH에너지화학,002360,2018/12,12269,2034,2101,11695,2767,2812
(주)SH에너지화학,002360,2019/12,6668,-3090,-3131,6300,-3152,-2363
(주)SH에너지화학,002360,2020/12,1088,-6946,-7852,963,-7219,-7104
(주)SH에너지화학,002360,2021/12,9933,611,343,9810,753,722
(주)SH에너지화학,002360,2022/12,10961,1832,805,10127,1231,549
(주)SIMPAC,009160,2009/12,25726,13693,11711,25706,13693,11763
(주)SIMPAC,009160,2010/12,37874,20515,21539,37412,14885,21914
(주)SIMPAC,009160,2011/12,44956,24977,27346,44168,21196,27383
(주)SIMPAC,009160,2012/12,42491,19286,25191,41753,22517,25310
(주)SIMPAC,009160,2013/12,41346,20044,23599,40652,19196,23741
(주)SIMPAC,009160,2014/12,43068,14312,17342,39142,10219,18737
(주)SIMPAC,009160,2015/12,48115,16450,21241,41810,19449,23630
(주)SIMPAC,009160,2016/12,49360,16184,23566,39868,16445,21406
(주)SIMPAC,009160,2017/12,37625,12896,11698,34666,7134,13971
(주)SIMPAC,009160,2018/12,34156,69199,10191,25289,62381,7216
(주)SIMPAC,009160,2019/12,44780,9488,11141,34844,11507,8438
(주)SIMPAC,009160,2020/12,37678,34139,7787,27718,26302,6896
(주)SIMPAC,009160,2021/12,159437,90833,106402,119172,65314,80178
(주)SIMPAC,009160,2022/12,175641,76137,118946,134666,47520,87062
(주)SNT에너지,100840,2009/12,,,,58892,35404,44030
(주)SNT에너지,100840,2010/12,,,,25320,3201,4122
(주)SNT에너지,100840,2011/12,,,,14099,-4156,-6597
(주)SNT에너지,100840,2012/12,,,,38868,9088,15133
(주)SNT에너지,100840,2013/12,,,,38943,16190,16804
(주)SNT에너지,100840,2014/12,,,,39135,11264,13778
(주)SNT에너지,100840,2015/12,,,,57789,27030,33918
(주)SNT에너지,100840,2016/12,,,,49110,1660,1195
(주)SNT에너지,100840,2017/12,,,,38042,4582,19202
(주)SNT에너지,100840,2018/12,,,,20766,1825,-1892
(주)SNT에너지,100840,2019/12,35692,15452,17474,32531,14579,14680
(주)SNT에너지,100840,2020/12,40089,9788,23126,39026,9407,22713
(주)SNT에너지,100840,2021/12,28721,12503,13281,28410,12938,13710
(주)SNT에너지,100840,2022/12,22121,15099,3561,19072,6511,2287
(주)SNT홀딩스,036530,2009/12,213070,66370,102007,22922,17114,21542
