회사명,거래소코드,회계년도,기업가치(EV)(IFRS),EBITDA(IFRS),EBITDA/매출액(IFRS),EV/EBITDA(IFRS),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS연결),투자활동으로 인한 현금흐름(*)(요약)(IFRS연결),재무활동으로 인한 현금흐름(*)(요약)(IFRS연결),현금및현금성자산의 증가(요약)(IFRS연결)
(주)CMG제약,058820,2011/12,37758.74,2055.1,11.58,18.37,0,0,3.31,1.11,0,0,3.15,1.06,-2560,-1773,3039,-1295
(주)CMG제약,058820,2012/12,102635.81,-2652.62,-16.32,0,0,0,4.33,0.78,0,0,8.37,1.51,-1573,-30266,35361,3522
(주)CMG제약,058820,2013/12,60446.48,1929.83,9.5,31.32,529.7,220.41,4.16,1.73,0,0,8.74,3.64,-3939,21135,-157,17031
(주)CMG제약,058820,2014/12,71714.82,1910.86,8.4,37.53,848.58,443.48,3.75,1.96,199.24,104.13,6.4,3.34,725,-13611,5,-12878
(주)CMG제약,058820,2015/12,183741.02,-680.83,-2.52,0,0,0,9.56,2.27,139.15,33.03,12.41,2.95,2410,-8671,1,-6261
(주)CMG제약,058820,2016/12,343540.51,3831.42,11.62,89.66,490.17,93.02,9.48,1.8,249.93,47.43,25.18,4.78,3321,-56094,52360,-418
(주)CMG제약,058820,2017/12,675657.4,3413.39,8.22,197.94,361.96,111.7,11.36,3.5,526.73,162.54,24.7,7.62,1948,-467,171,1650
(주)CMG제약,058820,2018/12,447673.05,4413.93,8.85,101.42,157.09,70.29,9.93,4.44,1074.41,480.72,19.11,8.55,887,8779,0,9665
(주)CMG제약,058820,2019/12,572007.84,4709.46,8.03,121.46,192.36,81.01,3.47,1.46,207.88,87.55,10.01,4.22,2823,-70596,72878,5106
(주)CMG제약,058820,2020/12,795244.17,4257.89,6.61,186.77,4586.75,1786.25,5.83,2.27,334.93,130.43,15.3,5.96,,,,
(주)CMG제약,058820,2021/12,528402.8,4151.91,5.98,127.27,297.93,142.6,5.48,2.62,167.55,80.2,13.57,6.5,,,,
(주)ES큐브,050120,2011/12,47769.48,1101.88,2.64,43.35,0,0,2.55,1.28,41.9,21.09,1.63,0.82,1108,-2461,100,-1321
(주)ES큐브,050120,2012/12,78014.44,4759.91,10.77,16.39,271.56,93.46,5.81,2,30.39,10.46,3.18,1.09,5225,-4486,303,911
(주)ES큐브,050120,2013/12,47069.22,2926.81,6.39,16.08,0,0,2.97,1.08,26.91,9.81,2.65,0.96,2591,-14873,18284,6047
(주)ES큐브,050120,2014/12,45571.38,1515.98,4.08,30.06,0,0,1.95,1.18,27.05,16.42,2.13,1.3,2889,7971,110,15418
(주)ES큐브,050120,2015/12,43978.86,2693.37,7.3,16.33,25.72,11.98,2.08,0.97,28.44,13.24,2.52,1.17,-2778,399,2950,973
(주)ES큐브,050120,2016/12,72120.85,2675.39,7.68,26.96,6.14,3.18,1.54,0.8,28.71,14.86,3.08,1.59,1241,-23005,37786,4774
(주)ES큐브,050120,2017/12,92718.68,2882.41,7.77,32.17,167.32,52.65,2.89,0.91,51.12,16.09,5.5,1.73,2311,-6850,-1313,-7033
(주)ES큐브,050120,2018/12,72309.81,1500.86,4.79,48.18,0,0,2.69,0.79,1520.58,448.7,5.68,1.68,-1348,-1328,4892,2480
(주)ES큐브,050120,2019/12,120801.79,1296.57,4.55,93.17,0,0,2.07,1.04,59.25,29.63,3.92,1.96,75625,-18643,27276,84617
(주)ES큐브,050120,2020/12,77485.91,1752.83,5.79,44.21,0,0,1.59,0.49,0,0,3.82,1.18,-37420,180,-62948,-100302
(주)ES큐브,050120,2021/12,66446.83,2706.19,6.58,24.55,17.34,1.31,1.52,0.11,32.75,2.47,2.4,0.18,69285,-46,38304,107989
(주)가비아,079940,2011/12,51305.89,6453.46,19.1,7.95,16.26,7.89,2.37,1.15,7.86,3.81,1.57,0.76,9651,-10140,2707,2231
(주)가비아,079940,2012/12,62466.67,6647.2,17.27,9.4,18.71,8.33,3.63,1.62,11.92,5.31,2.79,1.24,13225,-20717,8510,987
(주)가비아,079940,2013/12,68242.86,7314.15,18.06,9.33,23.59,13.38,2.7,1.53,14.31,8.11,2.21,1.25,12813,-9998,-3471,-671
(주)가비아,079940,2014/12,90040.34,7359.25,16.76,12.23,34.59,21,2.92,1.77,12.24,7.43,2.42,1.47,16224,-10914,-1875,3585
(주)가비아,079940,2015/12,91720.1,8509.74,17.57,10.78,24.11,14.88,2.54,1.57,10.19,6.29,2.13,1.32,19258,-8773,-3351,7306
(주)가비아,079940,2016/12,76066.23,7985.21,16.15,9.53,32.08,20.7,2.62,1.69,12.17,7.86,2.3,1.48,17871,-18248,2076,2226
(주)가비아,079940,2017/12,74966.19,7280.83,13.9,10.3,38.48,27.19,2.1,1.48,11.07,7.82,1.83,1.3,20445,-8859,-5793,4513
(주)가비아,079940,2018/12,80962.54,8207,14.87,9.87,48.8,27.68,2.82,1.6,14.59,8.28,2.44,1.39,21870,-22924,1115,330
(주)가비아,079940,2019/12,116990.44,12155.96,20.87,9.62,31.26,17.97,2.74,1.57,10.99,6.32,2.5,1.44,36951,-29989,-8621,-1534
(주)가비아,079940,2020/12,189018.64,14047.19,21.92,13.46,54.62,19.54,4.55,1.63,15.94,5.7,4.05,1.45,50083,-46930,20731,23150
(주)가비아,079940,2021/12,205236.61,14842.3,20.65,13.83,63.03,34.66,4.47,2.46,19.92,10.95,3.87,2.13,40918,-41060,-13628,-12745
(주)가온칩스,399720,2018/12,,,,,,,,,,,,,,,,
(주)가온칩스,399720,2019/12,,,,,,,,,,,,,,,,
(주)가온칩스,399720,2020/12,-9390.2,2823.05,16.51,-3.33,0,0,0,0,0,0,0,0,,,,
(주)가온칩스,399720,2021/12,-4242.92,7432.29,23.06,-0.57,0,0,0,0,0,0,0,0,,,,
(주)강스템바이오텍,217730,2013/12,,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,2015/12,145397.83,-4439.56,-299.04,0,0,0,8.07,4.81,0,0,110.75,66.08,,,,
(주)강스템바이오텍,217730,2016/12,167125.19,-8279.15,-982.33,0,0,0,14.31,6.04,0,0,373.88,157.86,,,,
(주)강스템바이오텍,217730,2017/12,212461.7,-10425.01,-193.26,0,0,0,9.29,5.64,0,0,40.59,24.65,-10647,6469,6163,1986
(주)강스템바이오텍,217730,2018/12,467135.46,-9776.66,-976.65,0,0,0,8.33,3.38,0,0,377.39,153.11,-11477,-25835,36620,-692
(주)강스템바이오텍,217730,2019/12,184106.87,-18153.11,-6435.7,0,0,0,7.28,2.21,0,0,1802.66,547.45,-13322,-38131,55911,4459
(주)강스템바이오텍,217730,2020/12,196218.85,-14716.91,-4982.39,0,0,0,5.59,2.36,0,0,954.72,402.38,-13994,29849,-13567,2288
