,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),설립연도,상장연도,경영기간,상장기간
0,(주)CMG제약,58820,2011,제조업,2001,2001,10,10
1,(주)CMG제약,58820,2012,제조업,2001,2001,11,11
2,(주)CMG제약,58820,2013,제조업,2001,2001,12,12
3,(주)CMG제약,58820,2014,제조업,2001,2001,13,13
4,(주)CMG제약,58820,2015,제조업,2001,2001,14,14
5,(주)CMG제약,58820,2016,제조업,2001,2001,15,15
6,(주)CMG제약,58820,2017,제조업,2001,2001,16,16
7,(주)CMG제약,58820,2018,제조업,2001,2001,17,17
8,(주)CMG제약,58820,2019,제조업,2001,2001,18,18
9,(주)CMG제약,58820,2020,제조업,2001,2001,19,19
10,(주)CMG제약,58820,2021,제조업,2001,2001,20,20
11,(주)CMG제약,58820,2022,제조업,2001,2001,21,21
12,(주)ES큐브,50120,2011,도매 및 소매업,1977,2002,34,9
13,(주)ES큐브,50120,2012,도매 및 소매업,1977,2002,35,10
14,(주)ES큐브,50120,2013,도매 및 소매업,1977,2002,36,11
15,(주)ES큐브,50120,2014,도매 및 소매업,1977,2002,37,12
16,(주)ES큐브,50120,2015,도매 및 소매업,1977,2002,38,13
17,(주)ES큐브,50120,2016,도매 및 소매업,1977,2002,39,14
18,(주)ES큐브,50120,2017,도매 및 소매업,1977,2002,40,15
19,(주)ES큐브,50120,2018,도매 및 소매업,1977,2002,41,16
20,(주)ES큐브,50120,2019,도매 및 소매업,1977,2002,42,17
21,(주)ES큐브,50120,2020,도매 및 소매업,1977,2002,43,18
22,(주)ES큐브,50120,2021,도매 및 소매업,1977,2002,44,19
23,(주)ES큐브,50120,2022,도매 및 소매업,1977,2002,45,20
24,(주)가비아,79940,2011,정보통신업,1999,2005,12,6
25,(주)가비아,79940,2012,정보통신업,1999,2005,13,7
26,(주)가비아,79940,2013,정보통신업,1999,2005,14,8
27,(주)가비아,79940,2014,정보통신업,1999,2005,15,9
28,(주)가비아,79940,2015,정보통신업,1999,2005,16,10
29,(주)가비아,79940,2016,정보통신업,1999,2005,17,11
30,(주)가비아,79940,2017,정보통신업,1999,2005,18,12
31,(주)가비아,79940,2018,정보통신업,1999,2005,19,13
32,(주)가비아,79940,2019,정보통신업,1999,2005,20,14
33,(주)가비아,79940,2020,정보통신업,1999,2005,21,15
34,(주)가비아,79940,2021,정보통신업,1999,2005,22,16
35,(주)가비아,79940,2022,정보통신업,1999,2005,23,17
36,(주)가온칩스,399720,2018,제조업,2012,2022,6,-4
37,(주)가온칩스,399720,2019,제조업,2012,2022,7,-3
38,(주)가온칩스,399720,2020,제조업,2012,2022,8,-2
39,(주)가온칩스,399720,2021,제조업,2012,2022,9,-1
40,(주)가온칩스,399720,2022,제조업,2012,2022,10,0
41,(주)강스템바이오텍,217730,2013,제조업,2010,2015,3,-2
42,(주)강스템바이오텍,217730,2014,제조업,2010,2015,4,-1
43,(주)강스템바이오텍,217730,2015,제조업,2010,2015,5,0
44,(주)강스템바이오텍,217730,2016,제조업,2010,2015,6,1
45,(주)강스템바이오텍,217730,2017,제조업,2010,2015,7,2
46,(주)강스템바이오텍,217730,2018,제조업,2010,2015,8,3
47,(주)강스템바이오텍,217730,2019,제조업,2010,2015,9,4
48,(주)강스템바이오텍,217730,2020,제조업,2010,2015,10,5
49,(주)강스템바이오텍,217730,2021,제조업,2010,2015,11,6
50,(주)강스템바이오텍,217730,2022,제조업,2010,2015,12,7
51,(주)강원에너지,114190,2011,제조업,1976,2009,35,2
52,(주)강원에너지,114190,2012,제조업,1976,2009,36,3
53,(주)강원에너지,114190,2013,제조업,1976,2009,37,4
54,(주)강원에너지,114190,2014,제조업,1976,2009,38,5
55,(주)강원에너지,114190,2015,제조업,1976,2009,39,6
56,(주)강원에너지,114190,2016,제조업,1976,2009,40,7
57,(주)강원에너지,114190,2017,제조업,1976,2009,41,8
58,(주)강원에너지,114190,2018,제조업,1976,2009,42,9
59,(주)강원에너지,114190,2019,제조업,1976,2009,43,10
60,(주)강원에너지,114190,2020,제조업,1976,2009,44,11
61,(주)강원에너지,114190,2021,제조업,1976,2009,45,12
62,(주)강원에너지,114190,2022,제조업,1976,2009,46,13
63,(주)고려시멘트,198440,2014,제조업,2014,2014,0,0
64,(주)고려시멘트,198440,2015,제조업,2014,2014,1,1
65,(주)고려시멘트,198440,2016,제조업,2014,2014,2,2
66,(주)고려시멘트,198440,2017,제조업,2014,2014,3,3
67,(주)고려시멘트,198440,2018,제조업,2014,2014,4,4
68,(주)고려시멘트,198440,2019,제조업,2014,2014,5,5
69,(주)고려시멘트,198440,2020,제조업,2014,2014,6,6
70,(주)고려시멘트,198440,2021,제조업,2014,2014,7,7
71,(주)고려시멘트,198440,2022,제조업,2014,2014,8,8
72,(주)고바이오랩,348150,2019,"전문, 과학 및 기술 서비스업",2014,2020,5,-1
