회사명,거래소코드,회계년도,총자본증가율(IFRS),유형자산증가율(IFRS),투자부동산증가율(IFRS),비유동자산증가율(IFRS),유동자산증가율(IFRS),재고자산증가율(IFRS),자기자본증가율(IFRS),매출액증가율(IFRS),순이익증가율(IFRS),정상영업이익증가율(IFRS)
(주)CMG제약,058820,2011/12,2.89,-6.44,0,-10.56,17.05,-1.43,-0.62,56.4,0,0
(주)CMG제약,058820,2012/12,106.87,-4.02,0,-19.28,208.38,7.73,72.78,-8.43,0,0
(주)CMG제약,058820,2013/12,-1.8,16.63,0,78.54,-18.73,56.29,55.2,25.02,0,0
(주)CMG제약,058820,2014/12,3.87,74.3,0,68.15,-25.87,6.37,0.04,11.96,-48.84,-45.78
(주)CMG제약,058820,2015/12,-2.64,-5.37,0,1.66,-7.15,11.04,-4.47,18.85,0,0
(주)CMG제약,058820,2016/12,96.11,-5.14,0,6.43,199.16,17.2,115.71,21.92,0,0
(주)CMG제약,058820,2017/12,-1.27,-4.28,0,-12.01,3.12,23.63,-3.13,25.98,67.4,-9.95
(주)CMG제약,058820,2018/12,4.39,6.71,0,16.47,0.18,8.45,6.16,20.05,113.94,64.75
(주)CMG제약,058820,2019/12,68.07,39.67,0,26.2,85.06,5.56,73.26,17.56,-49.69,1.4
(주)CMG제약,058820,2020/12,1.62,23.31,0,18.52,-3.06,66.28,0.54,9.96,-92.95,-30.01
(주)CMG제약,058820,2021/12,1.95,2.61,0,49.25,-14.04,-12.3,1.97,7.78,1372.34,-8.88
(주)CMG제약,058820,2022/12,7.07,22.79,0,6.1,7.64,61.19,0.14,18.31,0,79.55
(주)ES큐브,050120,2011/12,-5.43,-11.82,0,22.79,-28.54,-49.36,-6.99,20.38,0,0
(주)ES큐브,050120,2012/12,-1.23,-0.8,0,9.82,-16.79,7.06,1.88,5.94,0,0
(주)ES큐브,050120,2013/12,6.34,-34.47,0,-48.39,108.04,3.74,9.61,3.72,0,-66.38
(주)ES큐브,050120,2014/12,-5.46,-30,0,56.34,-33.95,-37.85,-5.69,-18.84,0,50.09
(주)ES큐브,050120,2015/12,4.92,-6.88,0,4.68,5.18,50.14,8.84,-0.81,0,627.37
(주)ES큐브,050120,2016/12,121.67,683.64,0,148.93,92.07,5.77,55.62,-5.61,383.86,-0.47
(주)ES큐브,050120,2017/12,0.37,60.62,-7.91,-1.61,3.16,-2.96,2.24,6.57,-93.02,-8.03
(주)ES큐브,050120,2018/12,3.46,44.96,-10,32.18,-35.09,37.25,-6.83,-15.62,0,-68.14
(주)ES큐브,050120,2019/12,25.43,-2.8,-0.68,40.72,-16.37,-16.38,-18.84,-8.88,0,-15.01
(주)ES큐브,050120,2020/12,-39.74,-94.76,0,-33.37,-69.03,36.71,35.13,6.19,0,147.19
(주)ES큐브,050120,2021/12,-7.1,57.88,0,-13.1,52.27,0,-10.49,35.69,0,61.11
(주)ES큐브,050120,2022/12,1.52,-21.94,0,-0.01,10.11,0,8.85,28.57,0.18,113.79
(주)가비아,079940,2011/12,8.47,31.49,0,15.03,-7.53,0,12.83,29.64,5.39,-0.69
(주)가비아,079940,2012/12,38.88,231.54,0,50.38,3.97,539.85,28.26,13.88,75.88,-25
(주)가비아,079940,2013/12,0.69,-4.28,-2.19,-0.93,7.77,-12.35,11.74,5.26,-34,2.91
(주)가비아,079940,2014/12,7.35,-1.85,0,-1.73,43.97,0,9.55,8.39,-18.75,13.71
(주)가비아,079940,2015/12,2.99,-0.46,0,-2.06,16.9,0,11.33,10.34,39.37,31.31
(주)가비아,079940,2016/12,6.08,0.99,0,21.64,-29.82,0,6.93,2.03,-17.36,-12.14
(주)가비아,079940,2017/12,6.25,-0.3,0,1.93,23.53,0,4.95,5.94,-29.64,-20.23
(주)가비아,079940,2018/12,6.66,9.23,0,2.12,21.65,0,4.55,5.41,10.79,29.27
(주)가비아,079940,2019/12,19.69,62.64,0,36.2,-26.03,0,8.53,5.54,68.48,19.07
(주)가비아,079940,2020/12,18.22,16.81,0,12.04,49.74,0,7.91,10.03,2.22,45.83
(주)가비아,079940,2021/12,9.6,19.9,0,8.8,12.63,0,9.23,12.13,-7.25,6.71
(주)가비아,079940,2022/12,29.21,13.89,0,9.17,103.06,0,8.93,7.72,66.59,-0.47
(주)가온칩스,399720,2018/12,,,,,,,,,,
(주)가온칩스,399720,2019/12,,,,,,,,,,
(주)가온칩스,399720,2020/12,0,0,0,0,0,0,0,0,0,0
(주)가온칩스,399720,2021/12,44.89,39.82,0,33.02,48.01,0,101.04,88.53,233.89,214.27
(주)가온칩스,399720,2022/12,97.84,117.15,0,162.98,82.43,0,149.05,34.39,-27.62,-36.24
(주)강스템바이오텍,217730,2013/12,,,,,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,,,,,
(주)강스템바이오텍,217730,2015/12,0,0,0,0,0,0,0,0,0,0
(주)강스템바이오텍,217730,2016/12,89.9,35.55,0,55.69,100.92,74.02,8.19,-43.23,0,0
