회사명,거래소코드,회계년도,총자본증가율(IFRS연결),유형자산증가율(IFRS연결),투자부동산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),자기자본증가율(IFRS연결),매출액증가율(IFRS연결),순이익증가율(IFRS연결),정상영업이익증가율(IFRS연결)
(주)CMG제약,058820,2011/12,1.98,-5.9,0,-12.89,17.64,-1.43,-2.02,56.4,0,0
(주)CMG제약,058820,2012/12,109.15,-4.12,0,-16.43,207.08,7.73,75.17,-8.43,0,0
(주)CMG제약,058820,2013/12,-2.09,16.09,0,77.05,-18.89,56.29,55.1,25.51,0,0
(주)CMG제약,058820,2014/12,3.86,74.3,0,68.15,-25.93,6.37,0.01,11.52,-46.64,-44.1
(주)CMG제약,058820,2015/12,-2.64,-5.37,0,1.66,-7.17,11.04,-4.48,18.85,0,0
(주)CMG제약,058820,2016/12,96.31,-5.14,0,6.43,199.84,17.2,116.01,21.92,0,0
(주)CMG제약,058820,2017/12,-1.27,-4.28,0,-12.01,3.12,23.63,-3.13,25.98,64.07,-9.95
(주)CMG제약,058820,2018/12,4.39,6.71,0,16.47,0.18,8.45,6.16,20.05,113.94,64.75
(주)CMG제약,058820,2019/12,68.07,39.67,0,26.2,85.06,5.56,73.26,17.56,-49.69,1.4
(주)CMG제약,058820,2020/12,,,,,,,,,,
(주)CMG제약,058820,2021/12,,,,,,,,,,
(주)CMG제약,058820,2022/12,,,,,,,,,,
(주)ES큐브,050120,2011/12,0,0,0,0,0,0,0,0,0,0
(주)ES큐브,050120,2012/12,0,0,0,0,0,0,0,0,0,0
(주)ES큐브,050120,2013/12,1.85,-31.56,0,-62.76,68.92,29.33,6.4,4.69,0,0
(주)ES큐브,050120,2014/12,20.1,5.59,0,18.41,20.49,-2.89,0.17,-24.13,0,0
(주)ES큐브,050120,2015/12,-1.75,-14.4,0,38.88,-10.89,11.49,1.85,-5.19,0,0
(주)ES큐브,050120,2016/12,89.08,258.91,0,275.9,23.57,9.8,68.52,-18.65,3206.73,0
(주)ES큐브,050120,2017/12,0.69,64.55,-7.91,1.06,0.3,12.07,1.56,4.25,-92.01,4.05
(주)ES큐브,050120,2018/12,6.17,30.79,-10,22.82,-11.71,10.67,-6.15,-5.55,-325.15,-153.86
(주)ES큐브,050120,2019/12,312.66,14.02,73.83,55.75,696.75,-17.2,-18.89,29.45,0,0
(주)ES큐브,050120,2020/12,54.08,69.21,-83.14,274.24,-10.26,23.11,25.23,84.57,0,0
(주)ES큐브,050120,2021/12,51.45,13.15,-1.63,-82.89,-34.32,42.14,22.47,55.92,0,-97.25
(주)ES큐브,050120,2022/12,-88.76,-75.46,0,19.66,-80.48,34.74,29.87,-40.21,186.4,5318.12
(주)가비아,079940,2011/12,22.76,11.47,0,22.02,23.7,-53.95,20.26,30.07,9.94,22.24
(주)가비아,079940,2012/12,31.24,70.81,0,47.43,10.96,1619.44,28.11,30.7,46.89,-6.86
(주)가비아,079940,2013/12,7.02,-2.08,-2.19,1.07,16.92,-62.32,16.43,2.34,-10.69,-7.7
(주)가비아,079940,2014/12,8.02,0.14,0,5.21,12.05,0,9.56,13.8,-41.1,19.18
(주)가비아,079940,2015/12,6.63,-0.49,0,-6.68,24.61,0,12.25,13.95,62.73,35.39
(주)가비아,079940,2016/12,19.71,17.08,0,24.06,15.32,0,4.78,11.49,-3.61,10.57
(주)가비아,079940,2017/12,6.03,5.16,0,2.61,9.75,22.86,5.42,13.74,-12.57,1.3
(주)가비아,079940,2018/12,13.54,8.04,0,9.09,18.07,18.31,12.64,10.76,54.56,43.08
(주)가비아,079940,2019/12,32.01,73.82,0,54.04,11.3,33.36,16.59,15.21,43.49,30.5
(주)가비아,079940,2020/12,30.07,23.21,0,20.57,42.42,15.76,20.68,13.98,13.21,20.26
(주)가비아,079940,2021/12,16.51,12.18,0,8.03,25.85,190.9,13.47,18.57,-3.43,15.94
(주)가비아,079940,2022/12,21.58,16.25,0,10.99,31.59,-2.26,21.06,19.31,84.9,24.51
(주)가온칩스,399720,2018/12,,,,,,,,,,
(주)가온칩스,399720,2019/12,,,,,,,,,,
(주)가온칩스,399720,2020/12,,,,,,,,,,
(주)가온칩스,399720,2021/12,,,,,,,,,,
(주)가온칩스,399720,2022/12,0,0,0,0,0,0,0,0,0,0
(주)강스템바이오텍,217730,2013/12,,,,,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,,,,,
(주)강스템바이오텍,217730,2015/12,,,,,,,,,,
(주)강스템바이오텍,217730,2016/12,,,,,,,,,,
(주)강스템바이오텍,217730,2017/12,0,0,0,0,0,0,0,0,0,0
(주)강스템바이오텍,217730,2018/12,55.08,14.44,0,10.24,94.06,11.21,94.25,0.36,0,0
(주)강스템바이오텍,217730,2019/12,55.26,106.2,0,140.63,13.09,-86.12,48.29,-34.49,0,0
(주)강스템바이오텍,217730,2020/12,-27.4,2.12,0,-35.17,-19.23,33.21,-27.01,52.18,0,0
(주)강스템바이오텍,217730,2021/12,25.02,-0.3,0,0.1,46.04,115.23,31.87,35.75,0,0
(주)강스템바이오텍,217730,2022/12,-21.87,-7.1,0,-8.22,-29.76,-38.84,-27.48,31.41,0,0
(주)강원에너지,114190,2011/11,,,,,,,,,,
(주)강원에너지,114190,2012/12,,,,,,,,,,
(주)강원에너지,114190,2013/12,,,,,,,,,,
(주)강원에너지,114190,2014/12,,,,,,,,,,
(주)강원에너지,114190,2015/12,0,0,0,0,0,0,0,0,0,0
(주)강원에너지,114190,2016/12,-9.68,15.13,0,4.17,-14.64,-72.83,-2.65,-8.45,-1190.24,-393.2
(주)강원에너지,114190,2017/12,20.72,4.06,0,6.99,26.72,7.8,-12.43,93.99,0,0
(주)강원에너지,114190,2018/12,0.71,-4.03,0,-7.26,3.66,50.46,4.7,4.72,0,0
(주)강원에너지,114190,2019/12,-39.69,-29.68,0,11.89,-56.71,-78.15,-56.25,-50.47,-1763.05,-5132.09
(주)강원에너지,114190,2020/12,-41.75,-35.51,0,-55.96,-29.63,85.02,-19.07,-9.88,0,0
(주)강원에너지,114190,2021/12,,,,,,,,,,
(주)강원에너지,114190,2022/12,0,0,0,0,0,0,0,0,0,0
(주)고려시멘트,198440,2014/12,,,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,,,
(주)고려시멘트,198440,2017/12,,,,,,,,,,
(주)고려시멘트,198440,2018/12,,,,,,,,,,
(주)고려시멘트,198440,2019/12,,,,,,,,,,
(주)고려시멘트,198440,2020/12,,,,,,,,,,
(주)고려시멘트,198440,2021/12,,,,,,,,,,
(주)고려시멘트,198440,2022/12,,,,,,,,,,
(주)고바이오랩,348150,2019/12,,,,,,,,,,
(주)고바이오랩,348150,2020/12,0,0,0,0,0,0,0,0,0,0
(주)고바이오랩,348150,2021/12,79.86,1852.12,0,816.69,70.59,142.72,63.54,-36.98,0,0
(주)고바이오랩,348150,2022/12,17.71,250.68,0,221.77,3.91,281.51,-14.64,301.12,0,0
(주)고영테크놀러지,098460,2011/12,23.1,17.31,0,20.36,24.16,55.18,26.19,18.06,-4.46,-8.15
(주)고영테크놀러지,098460,2012/12,18.79,3.36,0,7.56,22.99,24.53,19.87,25.21,-2.55,13.93
(주)고영테크놀러지,098460,2013/12,17.03,-4.65,0,2.2,21.88,17.62,17.98,3.77,-8.36,-21.78
(주)고영테크놀러지,098460,2014/12,17.17,34.62,0,26.92,14.49,-13.41,17.86,27.65,58.83,67.86
(주)고영테크놀러지,098460,2015/12,12.09,-1.23,0,11.95,12.14,6.93,13.43,2.15,6.03,-16.71
(주)고영테크놀러지,098460,2016/12,22.83,20.94,0,8.66,27.13,1.13,19.62,17.74,26.71,41.51
(주)고영테크놀러지,098460,2017/12,5.17,6.27,0,9,4.17,13.99,2.83,18.38,-10.2,31.84
