회사명,거래소코드,회계년도,매출액총이익률(IFRS),매출액순이익률(IFRS),총자본순이익률(IFRS),자기자본순이익률(IFRS),매출원가 대 매출액비율(IFRS),영업비용 대 영업수익비율(IFRS),광고선전비 대 매출액비율(IFRS),기업순이익률(IFRS),R & D 투자효율(IFRS),금융비용 대 총비용비율(IFRS),이자부담률(IFRS),1주당매출액(IFRS),1주당순이익(IFRS),1주당 CASH FLOW(IFRS),1주당정상영업이익(IFRS)
(주)CMG제약,058820,2011/12,41.83,-7.12,-4.66,-6.89,58.17,97.47,0.26,-4.13,0,0.74,1.62,406.28,-29,-56.95,16.36
(주)CMG제약,058820,2012/12,28.34,-42.4,-16.31,-27.63,71.66,124.88,0.14,-15.36,0,1.71,2.31,332.74,-143,-29.75,-82.8
(주)CMG제약,058820,2013/12,38.46,1.65,0.59,0.83,61.54,95.95,0.26,1.17,0,1.56,2.03,234.59,5,-44.92,9.5
(주)CMG제약,058820,2014/12,37.07,0.75,0.3,0.35,62.93,98.04,0.21,0.03,0,-0.68,-1.97,262.65,1.98,8.43,5.15
(주)CMG제약,058820,2015/12,36.26,-13.49,-6.36,-7.61,63.74,109.51,1.46,-6.41,0,-0.1,-0.32,306.26,-42,27.31,-29.12
(주)CMG제약,058820,2016/12,40.36,5.14,2.02,2.29,59.64,94.75,1.57,1.84,0,-0.49,-1.57,361.04,19,36.37,18.95
(주)CMG제약,058820,2017/12,43.43,6.83,2.57,2.85,56.57,96.25,1.04,1.55,0,-2.82,-10.51,381.71,26,17.9,14.32
(주)CMG제약,058820,2018/12,45.6,12.16,5.42,6.01,54.4,94.85,1.67,4.97,0,-1.06,-4.56,457.95,56,8.14,23.58
(주)CMG제약,058820,2019/12,49.34,5.2,1.99,2.15,50.66,95.56,1.05,1.28,0,-1.91,-9.71,538.36,25,25.93,23.91
(주)CMG제약,058820,2020/12,48.42,0.33,0.11,0.12,51.58,97.17,1.2,-0.31,0,-1.23,-6.22,464.1,2,21.2,13.12
(주)CMG제약,058820,2021/12,48.15,4.56,1.6,1.73,51.85,97.61,1.49,0.71,0,-2.38,-12.29,500.21,23,40.53,11.96
(주)CMG제약,058820,2022/12,49.76,-0.47,-0.19,-0.21,50.24,96.37,2.05,-1.13,0,-2.36,-9.11,591.81,-3,35.55,21.47
(주)ES큐브,050120,2011/12,30.21,-7.03,-6.3,-7.22,69.79,104.99,10.45,-7.23,0,-0.93,-7.32,1794.04,-126,69.92,-89.49
(주)ES큐브,050120,2012/12,28.36,1.17,1.15,1.31,71.64,98.54,6.43,0.48,0,-0.67,-5.51,1888.5,22,197.45,27.61
(주)ES큐브,050120,2013/12,25.75,-32.19,-32,-35.29,74.25,99.53,3.33,-32.65,0,-0.48,-7,1456.18,-469,143.27,6.9
(주)ES큐브,050120,2014/12,17.79,-6.49,-5.22,-5.68,82.21,99.12,1.09,-6.67,2.36,-1.57,-17.96,1019.04,-66,80.4,8.93
(주)ES큐브,050120,2015/12,16.68,9.79,7.85,8.39,83.32,93.57,0,7,0,-1.09,-13.13,1010.79,98,89.49,64.96
(주)ES큐브,050120,2016/12,18.24,50.17,23.05,30.46,81.76,93.22,0,22.75,0,-0.64,-1.22,874.94,438,93.87,59.29
(주)ES큐브,050120,2017/12,17.81,3.29,1.16,1.73,82.19,94.15,0.35,1.44,0,0.76,0.85,445.74,14,47.93,26.07
(주)ES큐브,050120,2018/12,17.93,-12.25,-3.6,-5.56,82.07,97.79,2.43,-2.92,0,1.88,1.92,376.11,-46,1.4,8.31
(주)ES큐브,050120,2019/12,20.4,-44.65,-10.42,-21.14,79.6,97.94,0,-8.07,0,6.58,4.62,334.36,-158,22.11,6.89
(주)ES큐브,050120,2020/12,20.12,-96,-26.67,-45.82,79.88,95.2,0,-23.99,0,4.09,6.43,363.68,-2765,-3.75,17.44
(주)ES큐브,050120,2021/12,18.23,13.85,7.2,8.24,81.77,94.31,0,7.51,0,0.61,2.46,3030.49,425,222.28,172.55
(주)ES큐브,050120,2022/12,20.79,10.8,7.43,8.37,79.21,90.53,0,7.53,0,0.15,0.87,3896.35,426,317.24,368.89
(주)가비아,079940,2011/12,38.56,9.65,9.1,14.24,61.44,88.47,2.41,9.66,0,0.66,1.54,2653.4,267,530.07,308.75
(주)가비아,079940,2012/12,38.95,14.91,12.88,20.69,61.05,92.34,1.72,5.4,0,-9.22,-19.81,2885.67,450,675.28,221.15
(주)가비아,079940,2013/12,39.37,9.35,7.29,11.48,60.63,92.51,1.18,2.87,0,-5.87,-12.08,3037.54,295,468.37,227.59
(주)가비아,079940,2014/12,38.79,7.01,5.69,8.43,61.21,92.14,1.39,5.83,0,0.18,0.42,3254.48,237,644.61,255.82
(주)가비아,079940,2015/12,40.54,8.85,7.55,10.64,59.46,90.65,1.07,7.42,0,-0.16,-0.44,3579.2,329,750.03,334.82
(주)가비아,079940,2016/12,41.73,7.17,5.97,8.07,58.27,91.94,1.07,5.78,0,-0.23,-0.7,3651.87,272,689.99,294.17
(주)가비아,079940,2017/12,41.64,4.76,3.95,5.36,58.36,93.93,2.75,3.77,0,-0.23,-0.7,3868.71,191,640.57,234.66
(주)가비아,079940,2018/12,42.65,5.01,4.11,5.67,57.35,92.56,2.1,3.69,0,-0.54,-1.55,4077.94,212,682.74,303.35
(주)가비아,079940,2019/12,40.72,7.99,6.11,8.96,59.28,91.61,1.96,5.34,0,-1.08,-2.44,4303.74,357,978.42,361.2
(주)가비아,079940,2020/12,42.54,7.42,5.26,8.46,57.46,88.88,2.31,4.41,0,-1.29,-2.23,4735.41,365,1204.4,526.72
(주)가비아,079940,2021/12,44.75,6.14,4.29,7.23,55.25,89.42,2.39,3.47,0,-1.26,-2.04,5309.91,336,1031.57,562.04
(주)가비아,079940,2022/12,46.14,9.5,5.97,11.04,53.86,90.22,2.8,5.24,0,-1.26,-1.58,5719.62,559,1764.57,559.39
(주)가온칩스,399720,2018/12,,,,,,,,,,,,,,,
(주)가온칩스,399720,2019/12,,,,,,,,,,,,,,,
(주)가온칩스,399720,2020/12,29.36,10.83,7.25,17.03,70.64,88.46,0,7.11,0,-0.23,-0.25,213728.82,35220,23623.79,24669.86
(주)가온칩스,399720,2021/12,33.15,19.18,19.78,37.77,66.85,80.76,0,19.88,0,0.12,0.21,402945.09,677,43161.27,77530.45
(주)가온칩스,399720,2022/12,26.84,10.33,8.12,11.73,73.16,90.87,0,7.24,0,-1.21,-2.88,4049.36,418,557.25,369.65
(주)강스템바이오텍,217730,2013/12,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,2015/12,82.97,-387.59,-23.03,-27.09,17.03,445.23,0,-19.73,215.72,10.7,22.05,107.45,-586,-275.02,-370.93
(주)강스템바이오텍,217730,2016/12,93.16,-984.85,-22.92,-37.55,6.84,1181.81,48.87,-22.36,227.36,1.68,1.44,60.18,-593,-556.71,-651.03
(주)강스템바이오텍,217730,2017/12,55.46,-201.25,-23.61,-45.57,44.54,306.37,8.81,-21.19,44.57,5.33,5.02,375.68,-745,-715.08,-775.31
(주)강스템바이오텍,217730,2018/12,72.37,-1348.69,-24.39,-37.19,27.63,1151.44,3.71,-23.14,221.99,4.75,3.65,60.41,-737,-681.86,-635.23
(주)강스템바이오텍,217730,2019/12,49.86,-8863.64,-30.34,-42.09,50.14,6981.7,12.88,-29.82,1851.34,1.51,1.87,13.54,-1200,-532.52,-931.48
(주)강스템바이오텍,217730,2020/12,82.8,-6599.06,-23.38,-31.88,17.2,5768.98,3.36,-23.97,1870.04,-2.29,-2.2,12.2,-874,-666.15,-691.76
(주)강스템바이오텍,217730,2021/12,46.69,-544.02,-25.82,-33.62,53.31,678.91,15.18,-26.29,138.86,-1.39,-1.99,147.8,-734,-647.4,-855.61
(주)강스템바이오텍,217730,2022/12,42,-334.16,-24.86,-32.52,58,455.3,8.83,-25.94,95.82,-3.08,-4.59,155.63,-521,-485.09,-552.94
(주)강원에너지,114190,2011/11,25.07,11.46,13.97,26.29,74.93,88.4,0.21,12.82,2.76,-1.07,-2.46,9476.02,1120,2849.59,1243.4
(주)강원에너지,114190,2012/12,19.75,8.43,10.05,24.85,80.25,89.09,0.06,9.18,1.86,-0.8,-1.47,10044.45,873,-296.71,1095.39
(주)강원에너지,114190,2013/12,23.18,7.74,4.85,9.57,76.82,93.62,0.1,4.11,3.64,-1.17,-1.5,3999.48,323,1340.19,255.33
(주)강원에너지,114190,2014/12,21.2,2.18,1.61,2.33,78.8,96.84,0.14,0.55,3.71,-1.4,-3.44,3577.34,80,-1014.55,113.01
(주)강원에너지,114190,2015/12,17.05,1.81,1.2,1.68,82.95,98.2,0.07,0.92,3.58,-0.41,-0.95,3202.83,58,1216.48,57.57
(주)강원에너지,114190,2016/12,16.29,-1.71,-1,-1.4,83.71,102.03,0.07,-1.32,4.56,-0.51,-1.12,2914.09,-50,-1221.4,-59.13
(주)강원에너지,114190,2017/12,1.04,-7.57,-7.93,-12.47,98.96,106.52,0.03,-8.16,2.76,-0.2,-0.63,5448.95,-412,-301.95,-355.41
(주)강원에너지,114190,2018/12,6.86,2.3,2.23,4.1,93.14,99.38,0.01,3.51,2.46,1.27,2.8,5632.02,130,-658.74,34.89
(주)강원에너지,114190,2019/12,-14.43,-78.64,-46.24,-92.7,114.43,140.31,0.05,-44.33,5.3,1.75,3.82,2210.85,-2118,364.43,-891.13
(주)강원에너지,114190,2020/12,-4.85,-36.61,-31.87,-69.99,104.85,123.41,0,-31.86,3.48,0,0.01,2112.11,-777,-232.92,-494.53
(주)강원에너지,114190,2021/12,11.23,13.12,15.55,25.31,88.77,95.66,0,16.02,0,0.41,1.22,2432.57,287,-247.46,105.56
(주)강원에너지,114190,2022/12,7.69,2.31,3.33,5.38,92.31,95.63,0.02,3.54,0,0.14,0.57,2633.65,61,-116.29,114.96
(주)고려시멘트,198440,2014/12,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2017/12,13.33,1.15,0.87,1.3,86.67,96.56,0,0.75,0,-0.15,-0.34,2876,37,103.74,99
(주)고려시멘트,198440,2018/12,14.77,5.42,3.82,5.67,85.23,95.53,0.01,3.47,0,-0.51,-1.05,2682.17,149,54.06,120
(주)고려시멘트,198440,2019/12,7.5,4.79,2.67,3.88,92.5,100.65,0,2.55,0,-0.22,-0.39,2217.69,106,89.5,-14.37
(주)고려시멘트,198440,2020/12,11.61,6.33,3.67,4.92,88.39,93.9,0,3.63,0,-0.06,-0.13,2194.58,139,248.99,133.86
(주)고려시멘트,198440,2021/12,10.06,7.06,3.54,4.43,89.94,94.37,0,3.47,0,-0.14,-0.34,2053.55,145,417.53,115.62
(주)고려시멘트,198440,2022/12,-14.28,-11.1,-5.47,-6.85,114.28,118.07,0,-5.55,0,-0.15,-0.43,2185.89,-243,-411.66,-394.97
(주)고바이오랩,348150,2019/12,,,,,,,,,,,,,,,
(주)고바이오랩,348150,2020/12,57.54,-1226.51,-101.15,-104.03,42.46,322.45,0,-100.81,0,0.31,12.35,646.82,-5253,-1324.56,-1438.85
(주)고바이오랩,348150,2021/12,65.98,-603.98,-22.42,-24.7,34.02,481.82,0,-23.21,21.38,-2.78,-8.63,180.24,-1089,-323.13,-688.21
