회사명,거래소코드,회계년도,매출액총이익률(IFRS연결),매출액순이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),매출원가 대 매출액비율(IFRS연결),영업비용 대 영업수익비율(IFRS연결),광고선전비 대 매출액비율(IFRS연결),기업순이익률(IFRS연결),R & D 투자효율(IFRS연결),금융비용 대 총비용비율(IFRS연결),이자부담률(IFRS연결),1주당매출액(IFRS연결),1주당순이익(IFRS연결),1주당 CASH FLOW(IFRS연결),1주당정상영업이익(IFRS연결)
(주)CMG제약,058820,2011/12,41.83,-8.5,-5.58,-8.28,58.17,97.89,0.26,-5.05,0,0.72,1.61,406.28,-35,-58.6,14.65
(주)CMG제약,058820,2012/12,28.34,-40.97,-15.78,-26.84,71.66,125.87,0.14,-14.8,0,1.78,2.37,332.74,-138,-32.19,-86.09
(주)CMG제약,058820,2013/12,38.7,1.45,0.52,0.74,61.3,96.12,0.26,1.12,0,1.59,2.08,235.52,4.16,-45.47,9.13
(주)CMG제약,058820,2014/12,37.07,0.69,0.28,0.32,62.93,98.06,0.21,0.02,0,-0.64,-1.84,262.65,1.82,8.37,5.11
(주)CMG제약,058820,2015/12,36.26,-13.5,-6.37,-7.62,63.74,109.51,1.46,-6.42,0,-0.1,-0.32,306.26,-42,27.3,-29.13
(주)CMG제약,058820,2016/12,40.36,5.24,2.06,2.34,59.64,94.75,1.57,1.88,0,-0.49,-1.57,361.04,19,36.37,18.95
(주)CMG제약,058820,2017/12,43.43,6.83,2.57,2.85,56.57,96.25,1.04,1.55,0,-2.82,-10.51,381.71,26,17.9,14.32
(주)CMG제약,058820,2018/12,45.6,12.16,5.42,6.01,54.4,94.85,1.67,4.97,0,-1.06,-4.56,457.95,56,8.14,23.58
(주)CMG제약,058820,2019/12,49.34,5.2,1.99,2.15,50.66,95.56,1.05,1.28,0,-1.91,-9.71,538.36,25,25.93,23.91
(주)CMG제약,058820,2020/12,,,,,,,,,,,,,,,
(주)CMG제약,058820,2021/12,,,,,,,,,,,,,,,
(주)CMG제약,058820,2022/12,,,,,,,,,,,,,,,
(주)ES큐브,050120,2011/12,27.92,-8.99,-8.65,-12.61,72.08,106.84,8.26,-9.59,0,-0.87,-3.22,2296.51,-206,47.66,-157.04
(주)ES큐브,050120,2012/12,28.02,-0.64,-0.78,0.29,71.98,99.84,5.17,-1.57,0,-0.64,-5.7,2392.63,5,223.35,3.82
(주)ES큐브,050120,2013/12,24.76,-28.08,-35.23,-40.47,75.24,101.99,2.6,-35.88,0,-0.39,-5.45,1862.12,-520,82.34,-37.01
(주)ES큐브,050120,2014/12,21.42,-1.38,-1.19,1.15,78.58,99.62,0.91,-2.42,1.98,-1.29,-10.85,1218.29,13,79.18,4.69
(주)ES큐브,050120,2015/12,27.8,-5.47,-4.11,1.56,72.2,109.63,16.85,-4.52,2.52,-0.47,-3.5,1155.09,18,-76.13,-111.26
(주)ES큐브,050120,2016/12,28.68,62.82,26.79,38.07,71.32,93.7,0.27,26.53,0.41,-0.61,-1.06,861.65,546,31.18,54.3
(주)ES큐브,050120,2017/12,27.1,4.86,1.65,2.41,72.9,93.71,3.61,1.99,0,1,1.09,429.41,21,27.76,27.01
(주)ES큐브,050120,2018/12,22.89,-18.13,-5.61,-5.54,77.11,103.59,2.48,-4.9,1.34,1.72,2.07,405.6,-47,-16.19,-14.55
(주)ES큐브,050120,2019/12,18.75,-31.5,-4.78,-21.76,81.25,105.99,0.08,-3.68,0,5.02,1.47,512.29,-166,886.37,-30.67
(주)ES큐브,050120,2020/12,29.93,-31.35,-4.29,-39.39,70.07,87.21,0.03,-3.74,0,2.82,0.63,968.5,-2337,-449.25,123.85
(주)ES큐브,050120,2021/12,12.15,4.27,0.6,11.62,87.85,99.77,0,0.66,0,0.44,0.07,9273.55,670,5107.96,20.88
(주)ES큐브,050120,2022/12,31.78,32.82,4.1,26.29,68.22,79.6,0,4.12,0,0.17,0.02,5545.06,1918,-3943.15,1131.18
(주)가비아,079940,2011/12,44.79,13.28,11.9,18.06,55.21,84.63,2.1,11.51,0,-0.52,-1.46,4148.88,372,757.78,642.36
(주)가비아,079940,2012/12,41.64,13.64,12.54,21.3,58.36,88.97,1.07,7.52,0,-6.04,-17.7,5178.45,524,991.7,571.4
(주)가비아,079940,2013/12,44.98,13.45,10.77,15.65,55.02,90.05,0.94,7.59,0,-4.34,-11.46,5299.73,465,960.84,527.42
(주)가비아,079940,2014/12,43.71,8.4,7.12,8.18,56.29,89.58,1.02,6.84,0,-0.35,-1.13,5961.89,271,1202.55,621.35
(주)가비아,079940,2015/12,45.36,9.31,8.38,11.99,54.64,87.62,0.89,8,0,-0.46,-1.75,6770.89,439,1422.75,838.46
(주)가비아,079940,2016/12,46.17,9.96,8.82,10.68,53.83,87.72,0.73,8.5,0,-0.4,-1.46,7548.86,423,1320.32,927.12
(주)가비아,079940,2017/12,48.1,8.32,7.46,8.88,51.9,89.06,1.64,7.21,0,-0.3,-1.03,8586.04,370,1510.44,939.16
(주)가비아,079940,2018/12,48.92,11.92,10.77,12.58,51.08,85.87,1.21,10.52,0,-0.32,-1.03,9510.3,576,1615.75,1343.74
(주)가비아,079940,2019/12,48.99,14.23,12.01,15.73,51.01,83.99,0.97,12.03,0,0.03,0.08,10956.73,826,2729.86,1753.63
(주)가비아,079940,2020/12,49.2,14.05,10.33,14.99,50.8,83.11,0.94,10.11,0,-0.34,-0.65,12488.84,935,3700.06,2108.89
(주)가비아,079940,2021/12,49.16,12.47,8.88,12.4,50.84,83.49,1.05,8.85,0,-0.05,-0.09,14808.47,898,3023.01,2445
(주)가비아,079940,2022/12,48.57,17.39,12.39,19.51,51.43,82.77,1.13,12.26,0,-0.22,-0.4,17668.4,1666,5185.55,3044.25
(주)가온칩스,399720,2018/12,,,,,,,,,,,,,,,
(주)가온칩스,399720,2019/12,,,,,,,,,,,,,,,
(주)가온칩스,399720,2020/12,,,,,,,,,,,,,,,
(주)가온칩스,399720,2021/12,,,,,,,,,,,,,,,
(주)가온칩스,399720,2022/12,26.84,10.2,6.04,8.12,73.16,91,0,5.37,0,-1.2,-2.59,3770.83,413,515.34,339.45
(주)강스템바이오텍,217730,2013/12,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,2015/12,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,2016/12,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,2017/12,35.68,-126.27,-24.43,-46.19,64.32,228.52,5.25,-22,28.41,4.59,5.05,561.97,-778,-655.12,-722.25
(주)강스템바이오텍,217730,2018/12,12.84,-155.96,-23.75,-37.79,87.16,227.59,4.57,-22.49,18.86,3.35,3.12,553.16,-745,-692.65,-705.76
(주)강스템바이오텍,217730,2019/12,-7.07,-439.57,-28.25,-41.61,107.07,485.6,14.3,-27.56,85.16,1.89,1.84,288.14,-1182,-639.26,-1111.07
(주)강스템바이오텍,217730,2020/12,11.44,-216.09,-20.13,-30.2,88.56,304.92,0.88,-20.46,61.64,-1.05,-0.82,377.5,-828,-578.12,-773.57
(주)강스템바이오텍,217730,2021/12,21.68,-175.96,-23.51,-35.67,78.32,283.28,4.75,-23.49,40.93,0.05,0.05,488.02,-767,-668.56,-894.46
(주)강스템바이오텍,217730,2022/12,29.89,-123.78,-21.96,-34.46,70.11,226.12,3.27,-22.46,33.87,-1.19,-1.3,428.9,-533,-496.35,-540.94
(주)강원에너지,114190,2011/11,,,,,,,,,,,,,,,
(주)강원에너지,114190,2012/12,,,,,,,,,,,,,,,
(주)강원에너지,114190,2013/12,,,,,,,,,,,,,,,
(주)강원에너지,114190,2014/12,,,,,,,,,,,,,,,
(주)강원에너지,114190,2015/12,17.15,0.22,0.12,0.18,82.85,99.03,0.07,-0.15,3.79,-0.47,-0.79,3028.16,6,622.76,29.32
(주)강원에너지,114190,2016/12,16.59,-2.66,-1.38,-1.99,83.41,103.1,0.08,-1.74,4.79,-0.62,-1.12,2772.4,-69,-1034.8,-85.96
(주)강원에너지,114190,2017/12,1.05,-7.86,-7.57,-12.58,98.95,106.81,0.03,-7.65,2.8,-0.07,-0.19,5378.26,-407,-243.02,-366.39
(주)강원에너지,114190,2018/12,6.86,1.99,1.83,4.19,93.14,99.6,0.01,3.21,2.46,1.45,2.92,5632.02,130,-666.96,22.38
(주)강원에너지,114190,2019/12,-14.43,-83.78,-47.39,-94.77,114.43,140.37,0.05,-45.27,5.3,1.96,4.02,2210.85,-2082,361.64,-892.45
(주)강원에너지,114190,2020/12,-4.85,-33.58,-28.75,-64.76,104.85,124.06,0,-28.54,3.48,0.16,0.36,2112.11,-685,-246.94,-508.2
(주)강원에너지,114190,2021/12,,,,,,,,,,,,,,,
(주)강원에너지,114190,2022/12,8.47,4.84,4.09,10.69,91.53,96.33,0.02,4.67,0,0.62,0.93,2732.45,132,-148.85,100.23
(주)고려시멘트,198440,2014/12,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2017/12,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2018/12,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2019/12,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2020/12,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2021/12,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2022/12,,,,,,,,,,,,,,,
(주)고바이오랩,348150,2019/12,,,,,,,,,,,,,,,
(주)고바이오랩,348150,2020/12,57.54,-1199.45,-94.08,-99.43,42.46,368.87,0,-93.56,0,0.51,9.7,646.82,-5138,-1799.03,-1739.07
(주)고바이오랩,348150,2021/12,65.98,-531.63,-18.78,-21.07,34.02,664.66,0,-19.2,21.38,-1.74,-3.89,180.24,-959,-777.51,-1017.76
(주)고바이오랩,348150,2022/12,69.11,-201.51,-20.41,-26.11,30.89,274.84,29.96,-20.8,6.14,-1.21,-2.09,626.79,-1305,-894.15,-1095.89
(주)고영테크놀러지,098460,2011/12,57.08,18.15,19.83,25.06,42.92,80.87,2.08,19.29,6.79,-0.61,-2.59,9985.15,0,1611.86,2181.91
(주)고영테크놀러지,098460,2012/12,57.02,14.12,15.99,19.91,42.98,80.12,1,15.37,5.98,-0.66,-3.2,12044.42,1743,1272.98,2394.92
(주)고영테크놀러지,098460,2013/12,55.34,12.45,12.42,15.35,44.66,85.01,1.49,11.88,6.5,-0.62,-2.85,12495.79,1563,1483.26,1873.03
(주)고영테크놀러지,098460,2014/12,57.81,15.48,16.84,20.68,42.19,80.29,0.88,16.34,6.97,-0.55,-2.68,10630.89,1655,1905.52,2095.46
(주)고영테크놀러지,098460,2015/12,61,16.13,15.66,18.99,39,83.93,1.2,15.3,9.49,-0.42,-2.02,10761.79,1760,1222.12,1729.62
(주)고영테크놀러지,098460,2016/12,62.83,17.3,16.79,20.61,37.17,80.68,0.91,16.55,10.82,-0.3,-1.31,12576.32,2228,2140.16,2429.3
(주)고영테크놀러지,098460,2017/12,64.65,13.15,13.36,16.76,35.35,78.49,0.89,13.18,11.35,-0.2,-0.86,14876.33,2013,1458.7,3200.21
(주)고영테크놀러지,098460,2018/12,62.5,17.76,17.47,21.86,37.5,80.7,0.94,17.01,12.61,-0.58,-2.31,17403.37,3122,1590.16,3359.51
(주)고영테크놀러지,098460,2019/12,63.58,13.31,10.11,12.59,36.42,84.99,1.44,9.68,13.62,-0.65,-2.18,16222.81,2192,2130.96,2435.08
(주)고영테크놀러지,098460,2020/12,63.01,5.1,3.01,3.74,36.99,91.18,1.05,2.71,17.91,-0.52,-1.53,13076.6,678,2752.78,1153.87
(주)고영테크놀러지,098460,2021/12,63.57,16.01,10.75,14.12,36.43,83.28,0.62,10.62,17.47,-0.23,-0.54,3602.1,586,618.75,602.31
(주)고영테크놀러지,098460,2022/12,64.16,14.27,10.34,13.42,35.84,83.93,1.01,10.11,0,-0.36,-1.01,4010.79,584,426.8,644.66
(주)골드앤에스,035290,2011/12,31.52,2.11,2.19,4.57,68.48,97.63,3.36,3.25,0,1.03,2.06,919.95,21,167.04,25.08
(주)골드앤에스,035290,2012/12,29.34,-14.74,-13.11,-26.93,70.66,105.31,4.08,-11.62,0,1.43,2.9,743.08,-120,41.97,-39.46
(주)골드앤에스,035290,2013/12,28.88,-42.57,-32.57,-86.53,71.12,116.42,3.52,-29.49,0,2.83,4.92,552.05,-224,-2.85,-90.64
(주)골드앤에스,035290,2014/12,25.04,-29.79,-19.02,-90.29,74.96,109.84,3.24,-14.61,0,5.32,5.95,1619.18,-840,-51.3,-159.38
(주)골드앤에스,035290,2015/12,31.53,-42.81,-26.91,-76.1,68.47,94.85,1.81,-25.4,0,1.98,2.46,1268.98,-562,97.66,65.39
(주)골드앤에스,035290,2016/12,41.19,2.46,1.83,2.65,58.81,97.47,2.1,2.48,0,0.84,2.11,806.61,20,85.25,20.41
(주)골드앤에스,035290,2017/12,37.49,-62.3,-44.5,-57.72,62.51,128.86,2.1,-44.11,0,0.35,1.72,615.59,-381,17.37,-177.63
(주)골드앤에스,035290,2018/12,49.25,-50.46,-14.69,-32.3,50.75,153.76,2.06,-11.6,0,6.13,5.67,390.14,-197,-140.98,-209.76
(주)골드앤에스,035290,2019/12,17.66,-325.58,-84.97,-572.47,82.34,193.45,1.38,-68.83,0,13.94,18.96,321.19,-10205,-273.44,-300.15
(주)골드앤에스,035290,2020/12,74.8,39.52,8.91,35.13,25.2,156.61,1.48,21.85,0,25.51,17.34,1071.8,452,-129.05,-606.79
(주)골드앤에스,035290,2021/12,34.44,5.71,3.3,5.21,65.56,89.96,0.14,4.73,0,2.67,3.91,372.87,21,56.19,37.42
(주)골드앤에스,035290,2022/12,45.97,-65.91,-27.88,-42.07,54.03,112.06,28.72,-27.01,0,1.41,2.57,261.95,-166,-15.79,-31.59
(주)골드퍼시픽,038530,2011/12,,,,,,,,,,,,,,,
(주)골드퍼시픽,038530,2012/12,,,,,,,,,,,,,,,
(주)골드퍼시픽,038530,2013/12,-14.99,-130.88,-27.85,-57.94,114.99,185.63,0.61,-27.03,0.41,1.71,1.57,278.83,-394,-90.79,-238.75
(주)골드퍼시픽,038530,2014/12,-8.92,-44.83,-17.62,-48.56,108.92,135.3,0.23,-15.29,1.02,3.95,3.85,566.74,0,-168.63,-200.05
(주)골드퍼시픽,038530,2015/12,-5.61,-54.82,-28.97,-55.42,105.61,144.23,0.25,-26.77,0.41,2.51,4.75,401.32,-228,-121.37,-177.52
(주)골드퍼시픽,038530,2016/12,,,,,,,,,,,,,,,
(주)골드퍼시픽,038530,2017/12,,,,,,,,,,,,,,,
