회사명,거래소코드,회계년도,유동자산구성비율(IFRS),재고자산 대 유동자산비율(IFRS),유동자산 대 비유동자산비율(IFRS),당좌자산구성비율(IFRS),비유동자산구성비율(IFRS),자기자본구성비율(IFRS),타인자본구성비율(IFRS),비유동비율(IFRS),유동비율(IFRS),당좌비율(IFRS),현금비율(IFRS),매입채무 대 재고자산비율(IFRS),부채비율(IFRS),유동부채비율(IFRS),단기차입금 대 총차입금비율(IFRS),순운전자본비율(IFRS),차입금비율(IFRS),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 차입금비율(IFRS),CASH FLOW 대 총자본비율(IFRS),CASH FLOW 대 매출액비율(IFRS)
(주)CMG제약,058820,2011/12,55.41,17.97,124.27,45.45,44.59,66.4,33.6,67.16,200.32,164.32,15.12,54.01,50.61,41.66,89.64,27.75,25.22,-45.76,-91.85,-15.38,-23.86
(주)CMG제약,058820,2012/12,82.6,6.28,474.76,77.42,17.4,55.45,44.55,31.37,706.26,661.93,70.11,90.38,80.33,21.09,10.94,70.91,61.69,-7.76,-10.11,-3.46,-12.12
(주)CMG제약,058820,2013/12,68.37,12.07,216.12,60.11,31.63,87.65,12.35,36.09,695.84,611.84,394.76,84.7,14.1,11.21,0,58.54,2.89,-38.65,-188.83,-4.78,-13.15
(주)CMG제약,058820,2014/12,48.79,17.32,95.27,40.34,51.21,84.41,15.59,60.67,325.47,269.08,101.3,96.06,18.46,17.76,0,33.8,3.13,-17.44,-102.76,-2.72,-6.95
(주)CMG제약,058820,2015/12,46.53,20.72,87.01,36.89,53.47,82.83,17.17,64.56,297.75,236.06,29.02,88.79,20.74,18.87,0,30.9,0,16.16,0,2.78,5.81
(주)CMG제약,058820,2016/12,70.98,8.12,244.58,65.22,29.02,91.1,8.9,31.85,862.15,792.17,23.52,88.97,9.76,9.04,0,62.75,0,29.03,0,2.58,8.69
(주)CMG제약,058820,2017/12,74.13,9.73,286.61,66.92,25.87,89.39,10.61,28.94,746.28,673.66,34.9,88.59,11.87,11.11,0,64.2,0,22.67,0,2.4,6.34
(주)CMG제약,058820,2018/12,71.14,10.54,246.51,63.65,28.86,90.91,9.09,31.75,957.86,856.94,158.5,48.56,10,8.17,0,63.71,0,13.63,0,1.24,2.84
(주)CMG제약,058820,2019/12,78.33,6.01,361.47,73.62,21.67,93.71,6.29,23.12,1618.07,1520.84,199.55,47.83,6.71,5.17,45.27,73.49,0.16,15.35,647.74,0.96,3.16
(주)CMG제약,058820,2020/12,74.73,10.31,295.66,67.02,25.27,92.72,7.28,27.26,1069.54,959.3,58.94,37.16,7.85,7.54,85.92,67.74,0.27,20.27,587.05,1.48,4.47
(주)CMG제약,058820,2021/12,63,10.52,170.28,56.38,37,92.73,7.27,39.9,913.99,817.88,34.66,38.18,7.84,7.43,80.79,56.11,0.28,29.62,840.37,2.15,6.17
(주)CMG제약,058820,2022/12,63.34,15.75,172.74,53.36,36.66,86.73,13.27,42.28,616.69,519.57,20.34,52.87,15.31,11.84,5.31,53.07,3.63,18.66,78.7,2.48,6.43
(주)ES큐브,050120,2011/12,41.53,2.04,71.03,40.68,58.47,86.54,13.46,67.56,388.16,380.23,31.15,621.54,15.56,12.36,0,30.83,0,49.77,0,6.7,7.27
(주)ES큐브,050120,2012/12,34.99,2.63,53.82,34.07,65.01,89.27,10.73,72.83,484.22,471.49,68.9,395.26,12.02,8.09,0,27.76,0,65.12,0,6.99,7.07
(주)ES큐브,050120,2013/12,68.45,1.31,216.93,67.55,31.55,92.01,7.99,34.29,1208.64,1192.79,339.36,311.95,8.69,6.16,0,62.78,0,120.2,0,9.61,9.96
