회사명,거래소코드,회계년도,유동자산구성비율(IFRS연결),재고자산 대 유동자산비율(IFRS연결),유동자산 대 비유동자산비율(IFRS연결),당좌자산구성비율(IFRS연결),비유동자산구성비율(IFRS연결),자기자본구성비율(IFRS연결),타인자본구성비율(IFRS연결),비유동비율(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),매입채무 대 재고자산비율(IFRS연결),부채비율(IFRS연결),유동부채비율(IFRS연결),단기차입금 대 총차입금비율(IFRS연결),순운전자본비율(IFRS연결),차입금비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),CASH FLOW 대 차입금비율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결)
(주)CMG제약,058820,2011/12,56.18,17.88,128.23,46.14,43.82,66.05,33.95,66.34,200.97,165.03,15.1,54.01,51.41,42.33,80.71,28.23,13.74,-46.08,-172.4,-15.65,-24.07
(주)CMG제약,058820,2012/12,82.49,6.27,471.15,77.32,17.51,55.32,44.68,31.65,693.49,649.98,68.81,90.38,80.77,21.5,0.57,70.6,55.28,-8.1,-11.83,-3.62,-12.71
(주)CMG제약,058820,2013/12,68.34,12.09,215.84,60.08,31.66,87.63,12.37,36.13,694.71,610.74,394.63,84.7,14.11,11.23,0,58.5,2.89,-39.85,-194.73,-4.93,-13.51
(주)CMG제약,058820,2014/12,48.74,17.36,95.07,40.28,51.26,84.39,15.61,60.75,324.58,268.23,101.24,96.06,18.5,17.79,0,33.72,3.15,-17.73,-104.12,-2.77,-7.06
(주)CMG제약,058820,2015/12,46.47,20.77,86.82,36.82,53.53,82.8,17.2,64.65,296.85,235.21,29,88.79,20.78,18.91,0,30.82,0.01,16.12,24988.82,2.77,5.8
(주)CMG제약,058820,2016/12,70.98,8.12,244.58,65.22,29.02,91.1,8.9,31.85,862.15,792.17,23.52,88.97,9.76,9.04,0,62.75,0,29.03,0,2.58,8.69
(주)CMG제약,058820,2017/12,74.13,9.73,286.61,66.92,25.87,89.39,10.61,28.94,746.28,673.66,34.9,88.59,11.87,11.11,0,64.2,0,22.67,0,2.4,6.34
(주)CMG제약,058820,2018/12,71.14,10.54,246.51,63.65,28.86,90.91,9.09,31.75,957.86,856.94,158.5,48.56,10,8.17,0,63.71,0,13.63,0,1.24,2.84
(주)CMG제약,058820,2019/12,78.33,6.01,361.47,73.62,21.67,93.71,6.29,23.12,1618.07,1520.84,199.55,47.83,6.71,5.17,45.27,73.49,0.16,15.35,647.74,0.96,3.16
(주)CMG제약,058820,2020/12,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,058820,2021/12,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,058820,2022/12,,,,,,,,,,,,,,,,,,,,,
(주)ES큐브,050120,2011/12,61.43,15.59,159.25,51.85,38.57,70.74,29.26,54.53,230.24,194.35,21.35,50.95,41.36,37.71,0,34.75,0.25,6.82,1107.72,2,2.08
(주)ES큐브,050120,2012/12,49.06,21.33,96.32,38.6,50.94,86.12,13.88,59.14,472.77,371.91,84.78,31.81,16.11,12.05,0,38.68,0.39,81.36,3402.53,11.29,9.33
(주)ES큐브,050120,2013/12,81.37,16.33,436.85,68.08,18.63,89.89,10.11,20.72,1056.51,883.95,278.73,14.91,11.25,8.57,0,73.67,0.36,82.01,2558.09,8.29,6.67
