회사명,거래소코드,회계년도,총자본회전률(IFRS),자기자본회전률(IFRS),타인자본회전률(IFRS),매입채무회전률(IFRS),유동자산회전률(IFRS),당좌자산회전률(IFRS),재고자산회전률(IFRS),매출채권회전률(IFRS),유형자산회전율(IFRS),순운전자본회전률(IFRS)
(주)CMG제약,058820,2011/12,0.65,0.97,2.01,11.95,1.25,1.56,6.42,2.45,1.78,0.86
(주)CMG제약,058820,2012/12,0.38,0.65,0.94,7.83,0.52,0.57,5.71,1.85,1.72,0.42
(주)CMG제약,058820,2013/12,0.36,0.5,1.26,6.17,0.48,0.52,5.37,2.06,2.03,0.42
(주)CMG제약,058820,2014/12,0.4,0.46,2.85,5.27,0.68,0.8,4.77,1.86,1.54,0.56
(주)CMG제약,058820,2015/12,0.47,0.56,2.88,5.66,0.99,1.22,5.22,2.1,1.48,0.75
(주)CMG제약,058820,2016/12,0.39,0.45,3.37,6.26,0.63,0.71,5.56,2.66,1.9,0.54
(주)CMG제약,058820,2017/12,0.38,0.42,3.86,6.55,0.52,0.57,5.81,3.01,2.51,0.46
(주)CMG제약,058820,2018/12,0.45,0.49,4.53,8.93,0.61,0.68,6.05,3.08,2.98,0.55
(주)CMG제약,058820,2019/12,0.38,0.41,5.21,13.81,0.51,0.55,6.65,3.12,2.83,0.47
(주)CMG제약,058820,2020/12,0.33,0.36,4.9,13,0.43,0.47,5.35,3.3,2.39,0.4
(주)CMG제약,058820,2021/12,0.35,0.38,4.84,13.07,0.51,0.57,4.92,3.64,2.31,0.46
(주)CMG제약,058820,2022/12,0.4,0.44,3.84,10.1,0.63,0.73,4.77,4.04,2.42,0.56
(주)ES큐브,050120,2011/12,0.9,1.03,7.05,13.43,1.85,1.9,73.04,16.24,27.77,1.53
(주)ES큐브,050120,2012/12,0.98,1.12,8.12,22.03,2.57,2.63,111.17,17.59,31.52,2.08
(주)ES큐브,050120,2013/12,0.99,1.1,10.67,31.02,1.9,1.94,109.46,18.07,39.66,1.69
(주)ES큐브,050120,2014/12,0.8,0.88,9.94,20.44,1.38,1.4,107.59,14.19,47.82,1.24
(주)ES큐브,050120,2015/12,0.8,0.86,12.42,21.47,1.67,1.7,111.32,14.34,59.65,1.51
(주)ES큐브,050120,2016/12,0.46,0.61,1.89,17.16,1.06,1.07,85.07,14.63,13.21,0.96
(주)ES큐브,050120,2017/12,0.35,0.53,1.09,13.87,0.84,0.85,89.52,14.35,6.09,0.77
(주)ES큐브,050120,2018/12,0.29,0.45,0.83,12.68,0.85,0.86,64.64,11.66,3.41,0.54
(주)ES큐브,050120,2019/12,0.23,0.47,0.46,8.43,1.07,1.09,55.45,10.35,2.66,0.39
