회사명,거래소코드,회계년도,총자본회전률(IFRS연결),자기자본회전률(IFRS연결),타인자본회전률(IFRS연결),매입채무회전률(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),유형자산회전율(IFRS연결),순운전자본회전률(IFRS연결)
(주)CMG제약,058820,2011/12,0.66,0.97,2.01,11.95,1.25,1.55,6.42,2.45,1.77,0.86
(주)CMG제약,058820,2012/12,0.39,0.66,0.93,7.83,0.52,0.57,5.71,1.85,1.71,0.42
(주)CMG제약,058820,2013/12,0.36,0.51,1.26,6.2,0.48,0.52,5.39,2.07,2.03,0.42
(주)CMG제약,058820,2014/12,0.4,0.46,2.85,5.27,0.68,0.8,4.77,1.86,1.54,0.56
(주)CMG제약,058820,2015/12,0.47,0.56,2.88,5.66,0.99,1.22,5.22,2.1,1.48,0.75
(주)CMG제약,058820,2016/12,0.39,0.45,3.36,6.26,0.63,0.71,5.56,2.66,1.9,0.54
(주)CMG제약,058820,2017/12,0.38,0.42,3.86,6.55,0.52,0.57,5.81,3.01,2.51,0.46
(주)CMG제약,058820,2018/12,0.45,0.49,4.53,8.93,0.61,0.68,6.05,3.08,2.98,0.55
(주)CMG제약,058820,2019/12,0.38,0.41,5.21,13.81,0.51,0.55,6.65,3.12,2.83,0.47
(주)CMG제약,058820,2020/12,,,,,,,,,,
(주)CMG제약,058820,2021/12,,,,,,,,,,
(주)CMG제약,058820,2022/12,,,,,,,,,,
(주)ES큐브,050120,2011/12,0.96,1.36,3.29,19.72,1.57,1.86,10.05,4.27,12.37,1.09
(주)ES큐브,050120,2012/12,1.21,1.4,8.72,36.32,2.46,3.13,11.55,12.19,17.59,2.03
(주)ES큐브,050120,2013/12,1.25,1.43,10.48,47.35,1.92,2.35,10.55,15.18,21.87,1.69
(주)ES큐브,050120,2014/12,0.86,0.97,7.57,41.31,1.05,1.23,7.2,13.48,19.86,0.94
(주)ES큐브,050120,2015/12,0.75,0.85,6.51,35.54,0.96,1.13,6.55,14.27,19.76,0.85
(주)ES큐브,050120,2016/12,0.43,0.57,1.74,31.4,0.74,0.88,4.82,13.3,7.59,0.68
(주)ES큐브,050120,2017/12,0.34,0.49,1.07,31.59,0.7,0.83,4.53,13.8,3.83,0.66
(주)ES큐브,050120,2018/12,0.31,0.47,0.9,31.55,0.7,0.86,3.84,11.85,2.52,0.49
(주)ES큐브,050120,2019/12,0.15,0.6,0.2,45.77,0.22,0.23,5.18,0.42,2.69,0.13
(주)ES큐브,050120,2020/12,0.14,1.12,0.16,35.38,0.24,0.24,9.46,0.39,3.46,0.11
(주)ES큐브,050120,2021/12,0.14,1.36,0.16,30.71,0.47,0.49,11.03,1.16,4.02,0.23
(주)ES큐브,050120,2022/12,0.12,0.66,0.15,14.68,0.59,0.68,4.79,12.13,3.64,0.53
(주)가비아,079940,2011/12,0.9,1.23,3.3,111.27,2.03,2.03,2306.01,12.66,2.51,1.41
(주)가비아,079940,2012/12,0.92,1.28,3.24,46.71,2.27,2.28,525.34,12.67,2.3,1.54
(주)가비아,079940,2013/12,0.8,1.11,2.89,32.25,2.04,2.05,413.22,11.61,1.89,1.42
(주)가비아,079940,2014/12,0.85,1.12,3.52,34.03,2.03,2.03,1718.42,27.05,2.17,1.45
(주)가비아,079940,2015/12,0.9,1.15,4.16,37.46,1.95,1.95,0,25.06,2.48,1.48
(주)가비아,079940,2016/12,0.89,1.14,4.02,28.87,1.82,1.84,149.85,10.12,2.55,1.4
(주)가비아,079940,2017/12,0.9,1.19,3.67,18.74,1.84,1.88,76.48,7.68,2.62,1.32
(주)가비아,079940,2018/12,0.9,1.2,3.64,22.82,1.79,1.83,70.39,7.13,2.72,1.27
(주)가비아,079940,2019/12,0.84,1.19,2.9,35.27,1.8,1.85,64.12,7.19,2.21,1.25
(주)가비아,079940,2020/12,0.74,1.1,2.23,33.48,1.61,1.65,59.27,7.82,1.77,1.11
(주)가비아,079940,2021/12,0.71,1.06,2.16,25.59,1.43,1.5,33.51,8.46,1.8,1.03
(주)가비아,079940,2022/12,0.71,1.07,2.13,19.43,1.33,1.39,27.17,7.78,1.87,0.97
(주)가온칩스,399720,2018/12,,,,,,,,,,
(주)가온칩스,399720,2019/12,,,,,,,,,,
(주)가온칩스,399720,2020/12,,,,,,,,,,
(주)가온칩스,399720,2021/12,,,,,,,,,,
(주)가온칩스,399720,2022/12,0.59,0.8,2.31,23.39,0.79,0.79,0,6.36,4.03,0.62
(주)강스템바이오텍,217730,2013/12,,,,,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,,,,,
(주)강스템바이오텍,217730,2015/12,,,,,,,,,,
(주)강스템바이오텍,217730,2016/12,,,,,,,,,,
(주)강스템바이오텍,217730,2017/12,0.19,0.37,0.4,7.37,0.36,0.39,5.29,20.71,0.69,0.29
(주)강스템바이오텍,217730,2018/12,0.15,0.25,0.38,6.06,0.25,0.26,5.03,7.39,0.65,0.18
(주)강스템바이오텍,217730,2019/12,0.06,0.1,0.17,5,0.12,0.12,5.5,5.06,0.26,0.08
(주)강스템바이오텍,217730,2020/12,0.09,0.16,0.23,18.24,0.18,0.18,29.42,18.4,0.29,0.14
(주)강스템바이오텍,217730,2021/12,0.13,0.22,0.35,20.08,0.23,0.23,22.18,13.16,0.39,0.17
(주)강스템바이오텍,217730,2022/12,0.18,0.29,0.46,25.94,0.29,0.3,26.49,11.68,0.53,0.21
(주)강원에너지,114190,2011/11,,,,,,,,,,
(주)강원에너지,114190,2012/12,,,,,,,,,,
(주)강원에너지,114190,2013/12,,,,,,,,,,
(주)강원에너지,114190,2014/12,,,,,,,,,,
(주)강원에너지,114190,2015/12,0.54,0.82,1.6,5.16,0.73,0.75,37.43,2.93,3.6,0.56
(주)강원에너지,114190,2016/12,0.52,0.76,1.66,5.94,0.73,0.73,53.9,1.99,3.06,0.57
(주)강원에너지,114190,2017/12,0.96,1.59,2.45,7.95,1.35,1.35,235.53,2.27,5.44,0.98
(주)강원에너지,114190,2018/12,0.92,1.74,1.94,6.49,1.24,1.25,189.82,1.97,5.7,0.8
(주)강원에너지,114190,2019/12,0.57,1.19,1.08,4.48,0.84,0.85,128.45,1.53,3.38,0.48
(주)강원에너지,114190,2020/12,0.86,2.01,1.49,6.57,1.47,1.48,226.52,3.34,4.49,0.8
(주)강원에너지,114190,2021/12,,,,,,,,,,
(주)강원에너지,114190,2022/12,0.85,2.21,1.37,11.16,1.51,1.57,36.04,5.48,2.25,0.78
(주)고려시멘트,198440,2014/12,,,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,,,
