회사명,거래소코드,회계년도,기업가치(EV)(IFRS),EBITDA(IFRS),EBITDA/매출액(IFRS),EV/EBITDA(IFRS),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS연결),투자활동으로 인한 현금흐름(*)(요약)(IFRS연결),재무활동으로 인한 현금흐름(*)(요약)(IFRS연결),현금및현금성자산의 증가(요약)(IFRS연결)
(주)DB하이텍,000990,2011/12,984773.6,82521.05,15.44,11.93,0,0,3.66,1.21,13.09,4.32,1.51,0.5,60749,-23348,-88776,-52752
(주)DB하이텍,000990,2012/12,925177.77,96286.83,16.49,9.61,0,0,2.49,1.35,7.23,3.92,0.84,0.46,73877,-49272,-22718,-107
(주)DB하이텍,000990,2013/12,965307.23,78120.02,15.82,12.36,0,0,3.25,1.79,14.01,7.73,0.81,0.45,28381,-14426,-18090,-4695
(주)DB하이텍,000990,2014/12,827169.61,127228.51,22.41,6.5,0,0,5.25,2.02,8.22,3.17,0.69,0.26,48078,-43635,1206,5147
(주)DB하이텍,000990,2015/12,1059275.75,207129.82,31.07,5.11,6.74,1.47,3.53,0.77,5.71,1.25,1.29,0.28,152722,-12209,-71767,67764
(주)DB하이텍,000990,2016/12,1020304.28,251099.65,32.48,4.06,10.6,5.92,2.75,1.54,3.78,2.11,1.21,0.67,248312,-121032,-118530,7447
(주)DB하이텍,000990,2017/12,789733.92,212643.69,31.28,3.71,14.03,6.76,2.58,1.24,5.73,2.76,1.54,0.74,183124,-101904,-85791,-8085
(주)DB하이텍,000990,2018/12,672035.53,180261.3,26.93,3.73,9.74,4.68,1.84,0.88,5.07,2.44,1.38,0.67,180344,-117302,-50895,11612
(주)DB하이텍,000990,2019/12,1401448.29,261414.87,32.38,5.36,10.6,3.67,2.12,0.73,7.99,2.76,1.59,0.55,161078,-123955,-70941,-34329
(주)DB하이텍,000990,2020/12,2407535.65,351309.81,37.54,6.85,14.05,3.9,3.07,0.85,7.5,2.08,2.49,0.69,309983,-265310,-75975,-36483
(주)DB하이텍,000990,2021/12,3229213.59,543726.58,44.76,5.94,11.12,6.84,3.3,2.03,9.01,5.54,2.9,1.78,393129,-252767,-4884,134724
(주)HJ중공업,097230,2011/12,2777485.03,96675,4.17,28.73,0,0,1.13,0.38,0,0,0.87,0.29,-401788,41457,94035,-262028
(주)HJ중공업,097230,2012/12,3028943.81,63527,3.21,47.68,88.04,39.68,0.62,0.28,0,0,0.58,0.26,-84391,39701,-67579,-122412
(주)HJ중공업,097230,2013/12,3325157,-75575,-3.92,0,0,0,0.52,0.26,0,0,0.48,0.24,-321347,-52839,237949,-141106
