,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),설립연도,상장연도,경영기간,상장기간
0,(주)DB하이텍,000990,2011,제조업,1953,1975,58,36
1,(주)DB하이텍,000990,2012,제조업,1953,1975,59,37
2,(주)DB하이텍,000990,2013,제조업,1953,1975,60,38
3,(주)DB하이텍,000990,2014,제조업,1953,1975,61,39
4,(주)DB하이텍,000990,2015,제조업,1953,1975,62,40
5,(주)DB하이텍,000990,2016,제조업,1953,1975,63,41
6,(주)DB하이텍,000990,2017,제조업,1953,1975,64,42
7,(주)DB하이텍,000990,2018,제조업,1953,1975,65,43
8,(주)DB하이텍,000990,2019,제조업,1953,1975,66,44
9,(주)DB하이텍,000990,2020,제조업,1953,1975,67,45
10,(주)DB하이텍,000990,2021,제조업,1953,1975,68,46
11,(주)DB하이텍,000990,2022,제조업,1953,1975,69,47
12,(주)HJ중공업,097230,2011,건설업,2007,2007,4,4
13,(주)HJ중공업,097230,2012,건설업,2007,2007,5,5
14,(주)HJ중공업,097230,2013,건설업,2007,2007,6,6
15,(주)HJ중공업,097230,2014,건설업,2007,2007,7,7
16,(주)HJ중공업,097230,2015,건설업,2007,2007,8,8
17,(주)HJ중공업,097230,2016,건설업,2007,2007,9,9
18,(주)HJ중공업,097230,2017,건설업,2007,2007,10,10
19,(주)HJ중공업,097230,2018,건설업,2007,2007,11,11
20,(주)HJ중공업,097230,2019,건설업,2007,2007,12,12
21,(주)HJ중공업,097230,2020,건설업,2007,2007,13,13
22,(주)HJ중공업,097230,2021,건설업,2007,2007,14,14
23,(주)HJ중공업,097230,2022,건설업,2007,2007,15,15
24,(주)MH에탄올,023150,2011,제조업,1978,1996,33,15
25,(주)MH에탄올,023150,2012,제조업,1978,1996,34,16
26,(주)MH에탄올,023150,2013,제조업,1978,1996,35,17
27,(주)MH에탄올,023150,2014,제조업,1978,1996,36,18
28,(주)MH에탄올,023150,2015,제조업,1978,1996,37,19
29,(주)MH에탄올,023150,2016,제조업,1978,1996,38,20
30,(주)MH에탄올,023150,2017,제조업,1978,1996,39,21
31,(주)MH에탄올,023150,2018,제조업,1978,1996,40,22
32,(주)MH에탄올,023150,2019,제조업,1978,1996,41,23
33,(주)MH에탄올,023150,2020,제조업,1978,1996,42,24
34,(주)MH에탄올,023150,2021,제조업,1978,1996,43,25
35,(주)MH에탄올,023150,2022,제조업,1978,1996,44,26
36,(주)SH에너지화학,002360,2011,제조업,1958,1985,53,26
37,(주)SH에너지화학,002360,2012,제조업,1958,1985,54,27
38,(주)SH에너지화학,002360,2013,제조업,1958,1985,55,28
39,(주)SH에너지화학,002360,2014,제조업,1958,1985,56,29
40,(주)SH에너지화학,002360,2015,제조업,1958,1985,57,30
41,(주)SH에너지화학,002360,2016,제조업,1958,1985,58,31
42,(주)SH에너지화학,002360,2017,제조업,1958,1985,59,32
43,(주)SH에너지화학,002360,2018,제조업,1958,1985,60,33
44,(주)SH에너지화학,002360,2019,제조업,1958,1985,61,34
45,(주)SH에너지화학,002360,2020,제조업,1958,1985,62,35
46,(주)SH에너지화학,002360,2021,제조업,1958,1985,63,36
47,(주)SH에너지화학,002360,2022,제조업,1958,1985,64,37
48,(주)SIMPAC,009160,2011,제조업,1973,1989,38,22
49,(주)SIMPAC,009160,2012,제조업,1973,1989,39,23
50,(주)SIMPAC,009160,2013,제조업,1973,1989,40,24
51,(주)SIMPAC,009160,2014,제조업,1973,1989,41,25
52,(주)SIMPAC,009160,2015,제조업,1973,1989,42,26
53,(주)SIMPAC,009160,2016,제조업,1973,1989,43,27
54,(주)SIMPAC,009160,2017,제조업,1973,1989,44,28
55,(주)SIMPAC,009160,2018,제조업,1973,1989,45,29
56,(주)SIMPAC,009160,2019,제조업,1973,1989,46,30
57,(주)SIMPAC,009160,2020,제조업,1973,1989,47,31
58,(주)SIMPAC,009160,2021,제조업,1973,1989,48,32
59,(주)SIMPAC,009160,2022,제조업,1973,1989,49,33
60,(주)SNT에너지,100840,2011,제조업,2008,2008,3,3
61,(주)SNT에너지,100840,2012,제조업,2008,2008,4,4
62,(주)SNT에너지,100840,2013,제조업,2008,2008,5,5
63,(주)SNT에너지,100840,2014,제조업,2008,2008,6,6
64,(주)SNT에너지,100840,2015,제조업,2008,2008,7,7
65,(주)SNT에너지,100840,2016,제조업,2008,2008,8,8
66,(주)SNT에너지,100840,2017,제조업,2008,2008,9,9
67,(주)SNT에너지,100840,2018,제조업,2008,2008,10,10
68,(주)SNT에너지,100840,2019,제조업,2008,2008,11,11
69,(주)SNT에너지,100840,2020,제조업,2008,2008,12,12
70,(주)SNT에너지,100840,2021,제조업,2008,2008,13,13
71,(주)SNT에너지,100840,2022,제조업,2008,2008,14,14
72,(주)SNT홀딩스,036530,2011,"전문, 과학 및 기술 서비스업",1982,2002,29,9
73,(주)SNT홀딩스,036530,2012,"전문, 과학 및 기술 서비스업",1982,2002,30,10
