회사명,거래소코드,회계년도,총자본증가율(IFRS),유형자산증가율(IFRS),투자부동산증가율(IFRS),비유동자산증가율(IFRS),유동자산증가율(IFRS),재고자산증가율(IFRS),자기자본증가율(IFRS),매출액증가율(IFRS),순이익증가율(IFRS),정상영업이익증가율(IFRS)
(주)DB하이텍,000990,2011/12,-13.18,-7.91,0,-13.8,-10.98,-3.28,-22.61,-9.96,0,0
(주)DB하이텍,000990,2012/12,-2.95,-9.66,0,-7.87,14.03,2.79,-5.88,9.28,0,0
(주)DB하이텍,000990,2013/12,-8.67,-7.18,0,-2.2,-26.7,-8.69,-28.14,-15.44,0,0
(주)DB하이텍,000990,2014/12,-4.53,-6.94,0,-8.65,10.79,-4.42,-31.01,14.98,0,0
(주)DB하이텍,000990,2015/12,0.37,-9.89,0,-11.12,35.62,20.64,104.01,17.42,0,174.49
(주)DB하이텍,000990,2016/12,0.07,2.73,0,-4.38,9.01,-8.52,31.26,15.98,-30.96,38.12
(주)DB하이텍,000990,2017/12,-2.86,1.44,0,-2.05,-4.29,-1.74,21.15,-12.08,-15.45,-17.13
(주)DB하이텍,000990,2018/12,7.48,7.56,0,6.6,9.06,-42.83,22.88,-1.54,27.8,-20.7
(주)DB하이텍,000990,2019/12,3.68,3.18,0,-0.56,11.16,20.86,18.94,20.64,27.42,60.48
(주)DB하이텍,000990,2020/12,8.25,9.43,0,8.51,7.84,0.02,23.23,15.92,36.73,32.03
(주)DB하이텍,000990,2021/12,31.29,-2.5,0,2.12,77.6,27.33,39.07,29.78,91.31,66.79
(주)DB하이텍,000990,2022/12,36.93,12.18,0,8.09,63.27,11.74,48.04,37.92,76.24,92.65
(주)HJ중공업,097230,2011/12,-7.37,-1.46,-4.32,7.24,-24.64,10.98,-6.32,-15.3,0,-41.65
(주)HJ중공업,097230,2012/12,1.38,-5.88,-5.87,-4.23,10.82,-11.12,-0.61,-14.48,0,-51.91
(주)HJ중공업,097230,2013/12,-1.66,-1.03,-29.96,10.56,-19.43,199.78,-3.16,-2.7,0,0
(주)HJ중공업,097230,2014/12,-6.33,-4.99,-26.98,-7.16,-4.68,-6.1,-2.37,-6.66,0,0
(주)HJ중공업,097230,2015/12,-15.2,-3.15,-58.21,-16.5,-12.67,57.04,-21.82,13.47,0,0
(주)HJ중공업,097230,2016/12,-15.45,-15.31,-47.93,-26.64,5.33,-28.16,-34.36,-5.52,0,0
(주)HJ중공업,097230,2017/12,-15.54,-36.97,-37.93,-13.12,-18.66,26.38,-37.69,-9.91,0,75.76
(주)HJ중공업,097230,2018/12,-27.89,-2.52,-0.93,-47.68,-0.54,-20.74,0,0.78,0,0
(주)HJ중공업,097230,2019/12,3.24,-3.71,-4.61,15.99,-6.03,-29.96,0,-8.08,0,0
(주)HJ중공업,097230,2020/12,-11.22,-3.09,-4.5,-3.8,-17.87,-54.05,29.58,5.29,0,-33.7
(주)HJ중공업,097230,2021/12,8.77,55.11,-2.75,27.66,-11.09,-11.99,34.89,0.66,0,0
(주)HJ중공업,097230,2022/12,7.68,-30.21,-82.23,-20.84,50.72,36.43,-10.88,4.78,0,0
(주)MH에탄올,023150,2011/12,6.52,-2.5,-22.07,21.42,-29.57,8.19,6,-0.23,-26.85,-24.99
(주)MH에탄올,023150,2012/12,2.41,-2.13,-51.33,5.86,-12.01,16.81,4.54,5.28,-23.28,-5.64
(주)MH에탄올,023150,2013/12,-11.98,-0.87,-2.73,-16.75,11.99,14.86,-19.75,1.78,0,48.04
(주)MH에탄올,023150,2014/12,-30.42,5.74,0,-40.78,8.31,14.64,11.43,5.8,0,-9.36
(주)MH에탄올,023150,2015/12,-7.7,2.12,0,-0.53,-22.34,-48.43,9.64,2.86,67.7,26.84
(주)MH에탄올,023150,2016/12,-8.47,1.48,0,-6.79,-12.88,53.72,9.88,-2.96,5.04,7.06
(주)MH에탄올,023150,2017/12,49.17,5.42,0,68.09,-3.8,-0.65,2.28,-1.28,-27.43,-11.99
(주)MH에탄올,023150,2018/12,2.07,2.96,0,2.32,0.82,16.86,5.83,-2.75,11.02,-13.63
(주)MH에탄올,023150,2019/12,-7.84,1.32,0,-9.14,-1.39,25.68,-13.14,0.1,0,-13.29
(주)MH에탄올,023150,2020/12,-3.51,1.93,0,-7.13,13.09,2.23,-3.14,9.12,0,5.24
(주)MH에탄올,023150,2021/12,1.26,3.15,0,3.38,-6.74,10.35,0.78,-10.5,327.07,-55.39
(주)MH에탄올,023150,2022/12,11.52,0.78,0,9.78,18.76,-4.59,7.56,12,15.11,-84.07
(주)SH에너지화학,002360,2011/12,8.37,1.07,-0.53,1.35,17.75,83.05,4.81,14.9,0,0
(주)SH에너지화학,002360,2012/12,0.11,-1.53,-0.53,-1.85,2.35,27.86,0.6,11.09,-65.88,-42.37
(주)SH에너지화학,002360,2013/12,7.31,-2.03,-0.53,-2.83,18.48,-15.95,7.54,19.74,348.43,150.58
(주)SH에너지화학,002360,2014/12,-0.81,-2.74,-0.54,2.68,-3.96,16.36,19.52,-1.22,221.57,181.47
(주)SH에너지화학,002360,2015/12,4.54,5.1,-0.54,-6.16,14.87,-17.86,8.8,-5.77,-18.82,12.95
(주)SH에너지화학,002360,2016/12,7.81,-2.64,0,-13.79,24.86,-5.39,13.6,0.23,39.04,3.06
(주)SH에너지화학,002360,2017/12,0.25,-2.63,0,1.73,-0.56,71.85,2.56,-13.86,-49.33,-44.11
(주)SH에너지화학,002360,2018/12,-1.92,-3.37,0,-1.85,-1.96,12.37,-1.56,-2.12,-68.93,-78.68
(주)SH에너지화학,002360,2019/12,0.19,10.74,0,6.99,-3.61,-23.82,-6.42,-23.56,0,0
(주)SH에너지화학,002360,2020/12,-3.76,10.29,0,12.41,-13.78,-39.76,-7.77,-33.88,0,0
(주)SH에너지화학,002360,2021/12,1.59,-6.53,0,-7.29,8.76,19.09,1.59,52.47,0,0
(주)SH에너지화학,002360,2022/12,4.15,8.48,0,1.37,6.07,85.65,1.55,15.33,63.47,-23.94
(주)SIMPAC,009160,2011/12,14.14,25.11,0,13.81,14.45,25.14,14.48,18.43,42.4,24.95
(주)SIMPAC,009160,2012/12,3.51,2.36,0,7.54,-0.38,-4.07,14.12,4.67,6.23,-7.57
(주)SIMPAC,009160,2013/12,13.82,0.14,0,55.24,-29.28,1.29,11.29,-8.63,-14.75,-6.2
(주)SIMPAC,009160,2014/12,-5.86,9.85,0,-13.16,10.8,24.57,3.03,11.23,-46.77,-21.08
(주)SIMPAC,009160,2015/12,12.15,7.42,0,9.46,16.97,53.18,7.94,-6.3,90.33,26.12
(주)SIMPAC,009160,2016/12,-0.84,-0.95,0,-1.42,0.13,-14.98,4.03,1.26,-15.45,-9.41
(주)SIMPAC,009160,2017/12,-6.35,-6.29,0,-4.29,-9.73,-17.44,-2.26,-5.88,-56.62,-34.73
(주)SIMPAC,009160,2018/12,83.19,122.03,195.59,62.74,118.93,202.86,83.71,32.35,774.43,-48.35
(주)SIMPAC,009160,2019/12,-3.13,-2.12,76.62,8.24,-17.9,-32.66,1.97,45.79,-81.55,16.94
(주)SIMPAC,009160,2020/12,7.87,-5.48,-0.97,3.22,15.85,42.52,3.58,-30.58,128.57,-18.28
(주)SIMPAC,009160,2021/12,21.34,-4.25,-0.81,-4.27,60.44,34.01,13.1,80.4,148.33,1062.71
(주)SIMPAC,009160,2022/12,-1.6,0.37,-45.21,3.31,-6.08,6.61,5.29,2.77,-27.24,8.59
(주)SNT에너지,100840,2011/12,8.9,0,-0.46,-0.13,18.56,183.5,-4.06,-8.7,0,0
(주)SNT에너지,100840,2012/12,5.89,-0.24,-0.46,0.22,11,12.87,14.14,18.12,0,0
(주)SNT에너지,100840,2013/12,6.45,-1.57,-0.47,-0.74,12.29,2.22,8.11,-12.98,78.15,11.05
(주)SNT에너지,100840,2014/12,-2.3,-0.25,-0.47,2.8,-5.96,-0.26,4.82,20.92,-30.42,-18.01
(주)SNT에너지,100840,2015/12,3.84,-1.13,-0.47,-1.4,7.96,-39.74,11.4,7.15,139.96,146.18
(주)SNT에너지,100840,2016/12,10.07,-0.48,-0.47,3.13,15.05,-36.61,-0.69,-2.31,-93.86,-96.48
(주)SNT에너지,100840,2017/12,-13.73,-1.12,-0.47,-6.55,-18.34,-65.71,1.75,-27.55,176.05,1506.66
(주)SNT에너지,100840,2018/12,-6.42,-0.94,-0.48,-1.48,-10.06,144.89,-1.09,-24.21,-60.16,0
(주)SNT에너지,100840,2019/12,17.94,0.47,-0.48,2.95,30.03,77.87,6.17,45.38,698.64,0
(주)SNT에너지,100840,2020/12,0.2,0.38,-0.48,2.92,-1.53,-41.13,-3.66,13.4,-35.47,54.72
(주)SNT에너지,100840,2021/12,-2.99,-0.47,-0.48,0.17,-5.1,-59.2,3.77,-28.06,37.53,-39.64
(주)SNT에너지,100840,2022/12,19.68,-1.08,-0.49,53.46,-4.12,278.99,0.66,10.4,-49.67,-83.32
(주)SNT홀딩스,036530,2011/12,-2.29,-20.29,0,-11.32,99.14,0,-2.21,9.15,20.71,0
(주)SNT홀딩스,036530,2012/12,0.22,-33.43,0,7.66,-37,0,0.2,286.13,56.27,0
