회사명,거래소코드,회계년도,총자본증가율(IFRS연결),유형자산증가율(IFRS연결),투자부동산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),자기자본증가율(IFRS연결),매출액증가율(IFRS연결),순이익증가율(IFRS연결),정상영업이익증가율(IFRS연결)
(주)DB하이텍,000990,2011/12,-13.19,-7.89,0,-14.1,-10.08,-3.28,-22.6,-10.94,0,0
(주)DB하이텍,000990,2012/12,-3.44,-9.69,0,-7.69,10.52,2.79,-5.57,6.98,0,0
(주)DB하이텍,000990,2013/12,-8.58,-7.2,0,-1.55,-27.88,-8.69,-29.61,-16.42,0,0
(주)DB하이텍,000990,2014/12,-6.95,-6.96,0,-11.75,11.04,-4.42,-41.05,14.98,0,0
(주)DB하이텍,000990,2015/12,-0.02,-9.91,0,-12.26,36.42,20.64,110.48,17.42,0,174.29
(주)DB하이텍,000990,2016/12,0.22,2.73,0,-4.49,9.23,-8.52,34.58,15.98,-30.29,37.98
(주)DB하이텍,000990,2017/12,0.73,1.44,0,3.63,-4.14,-1.74,33.31,-12.08,24.71,-16.95
(주)DB하이텍,000990,2018/12,7.3,7.56,0,6.69,8.4,-42.83,22.51,-1.54,-21.19,-21.09
(주)DB하이텍,000990,2019/12,2.1,3.18,0,-3,11.19,20.86,15.45,20.64,20.51,60.45
(주)DB하이텍,000990,2020/12,8.24,9.42,0,8.56,7.73,0.02,23.26,15.92,58.67,32.02
(주)DB하이텍,000990,2021/12,31.51,-2.5,0,2.14,77.51,27.33,39.2,29.78,90.87,66.76
(주)DB하이텍,000990,2022/12,36.95,12.18,0,8.19,62.88,11.74,48.12,37.92,76.35,92.62
(주)HJ중공업,097230,2011/12,-6.49,-1.53,-4.32,-2.58,-13.26,23.47,-4.59,-8.72,0,-9.82
(주)HJ중공업,097230,2012/12,-6.42,-7.72,-5.87,-7.2,-4.91,-37.93,-8.1,-11.83,0,-50.99
(주)HJ중공업,097230,2013/12,1.49,-3.21,-29.96,-9.66,22.63,168.88,-4.44,-0.78,0,0
(주)HJ중공업,097230,2014/12,-3.19,-3.73,-26.98,-1.84,-5.07,8.98,-3.88,-0.36,0,0
(주)HJ중공업,097230,2015/12,-8.59,1.18,-58.21,-8.83,-8.24,33.26,-12.99,23.61,0,0
(주)HJ중공업,097230,2016/12,-11.13,-12.12,-47.93,-17.24,-2.36,-22.77,-34.57,-9.7,0,0
(주)HJ중공업,097230,2017/12,-19.97,-25.45,-37.93,-19.82,-20.15,5.11,-35.5,-12.83,0,0
(주)HJ중공업,097230,2018/12,-35.02,-64.36,-0.93,-56.21,-9.15,-26.83,-222.45,-30.76,0,0
(주)HJ중공업,097230,2019/12,-9.64,-3.7,-4.61,15.5,-24.43,-29.94,0,-4.07,0,35.93
(주)HJ중공업,097230,2020/12,-11.19,-3.09,-4.5,-3.71,-17.92,-54.05,30.59,4.12,-74.39,-38.42
(주)HJ중공업,097230,2021/12,8.72,54.92,-2.75,27.51,-11.1,-11.99,35,0.63,0,0
(주)HJ중공업,097230,2022/12,7.65,-30.16,-82.23,-20.81,50.72,36.43,-10.88,4.78,0,0
(주)MH에탄올,023150,2011/12,-0.49,2.92,-22.07,-0.4,-0.67,18.3,-8.46,-18.64,0,-82.51
(주)MH에탄올,023150,2012/12,0.13,-4.55,-51.33,-4.69,9.48,111.27,-6.76,33.46,0,803.71
(주)MH에탄올,023150,2013/12,-3.49,-1.99,-2.73,2.54,-13.66,-39.29,17.05,4.07,1640.29,-44.79
(주)MH에탄올,023150,2014/12,-34.05,-48.75,0,-34.35,-33.46,-44.05,15.27,-21.25,0,190.55
(주)MH에탄올,023150,2015/12,-7.64,2.12,0,-0.54,-21.69,-48.43,9.65,2.86,0,26.84
(주)MH에탄올,023150,2016/12,-8.43,1.48,0,-6.84,-12.41,53.72,9.84,-2.96,4.71,7.05
(주)MH에탄올,023150,2017/12,591.43,941.08,0,689.3,330.09,1.27,3.63,6.3,-17.16,-31.65
(주)MH에탄올,023150,2018/12,-12,0.34,0,-1.16,-65.11,16.57,-5.46,40.05,-108.83,-84.87
(주)MH에탄올,023150,2019/12,2.57,3.08,0,1.96,10.95,25.01,-7.78,11.1,0,537.44
(주)MH에탄올,023150,2020/12,-0.4,-1.76,0,-1.6,14.97,2.25,6.85,17.02,0,101.58
(주)MH에탄올,023150,2021/12,0.4,-2.42,0,-3.05,38.02,9.91,2.38,7.84,-13.4,47.86
