회사명,거래소코드,회계년도,매출액총이익률(IFRS),매출액순이익률(IFRS),총자본순이익률(IFRS),자기자본순이익률(IFRS),매출원가 대 매출액비율(IFRS),영업비용 대 영업수익비율(IFRS),광고선전비 대 매출액비율(IFRS),기업순이익률(IFRS),R & D 투자효율(IFRS),금융비용 대 총비용비율(IFRS),이자부담률(IFRS),1주당매출액(IFRS),1주당순이익(IFRS),1주당 CASH FLOW(IFRS),1주당정상영업이익(IFRS)
(주)DB하이텍,000990,2011/12,17.06,-17.42,-7.31,-27.84,82.94,111.35,0,-3.23,0,7.91,5.53,12448.19,-2414,1436.1,-931.51
(주)DB하이텍,000990,2012/12,16.6,-5.5,-2.75,-11.35,83.4,102.47,0,1.2,0,7.01,5.22,13118.09,-799,1528.78,-324.18
(주)DB하이텍,000990,2013/12,18.08,-14.83,-6.66,-31.05,81.92,101.9,0,-1.5,0,9.86,6.57,11092.77,-1823,640.94,-211.03
(주)DB하이텍,000990,2014/12,24.11,-10.27,-5.69,-34.99,75.89,92.02,0,0.73,0,10.94,7.66,12754.51,-1450,1064.06,1017.96
(주)DB하이텍,000990,2015/12,34.46,19.12,12.7,61.61,65.54,81.34,0,17.55,0,7.82,6.11,14975.9,3131,3381.41,2794.19
(주)DB하이텍,000990,2016/12,37.51,11.38,8.75,27.41,62.49,77.78,0,12.17,0,5.39,5.03,17369.58,2034,5549.59,3859.43
(주)DB하이텍,000990,2017/12,37.3,10.95,7.5,18.46,62.7,79.06,0,9.69,0,3.92,3.69,15271.17,1719,4094.34,3198.16
(주)DB하이텍,000990,2018/12,32.17,14.21,9.38,19.32,67.83,83.13,0,10.65,0,2.22,2.47,15036.21,2192,4106.39,2536.09
(주)DB하이텍,000990,2019/12,36.43,15.01,11.32,20.4,63.57,77.56,0,12.27,0,1.52,2.13,18139.64,2790,3612.51,4069.9
(주)DB하이텍,000990,2020/12,38.35,17.7,14.6,23,61.65,74.44,0,15.01,0,0.64,1.1,21026.63,3814,6975.04,5373.68
(주)DB하이텍,000990,2021/12,44.06,26.09,23.24,33.34,55.94,67.16,0,23.29,0,0.09,0.18,27289.38,7293,8791.13,8962.93
(주)DB하이텍,000990,2022/12,55.7,33.34,30.45,40.72,44.3,54.12,0,29.83,0,-1.2,-2.46,37637.47,12852,16366.95,17267.3
(주)HJ중공업,097230,2011/12,6.87,-5.02,-1.91,-6,93.13,101.84,0.26,0.51,5.21,5.71,3.55,47962.12,-2409,-6171,1231.21
(주)HJ중공업,097230,2012/12,7.44,0.66,0.22,0.7,92.56,98.56,0.17,2.68,7.63,6.54,3.6,41019.34,271,-4706.09,592.09
(주)HJ중공업,097230,2013/12,1.37,-11.04,-3.61,-11.6,98.63,105.66,0.16,-1.42,7.85,5.62,3.18,29900.96,-3299,-2890.47,-1692.73
(주)HJ중공업,097230,2014/12,0.04,-12.55,-3.99,-12.66,99.96,105.91,0.18,-1.89,0.76,5.47,3.07,22100.18,-2771,-1240.85,-1305.23
(주)HJ중공업,097230,2015/12,3.38,-12.74,-5.15,-16.57,96.62,104.79,0.13,-2.84,0.95,4.95,3.35,19956.77,-2544,1069.58,-956.22
(주)HJ중공업,097230,2016/12,7.89,-17.34,-7.81,-29.31,92.11,97.44,0.07,-5.23,0.4,6.31,3.52,18538.58,-3215,756.69,474.08
(주)HJ중공업,097230,2017/12,11.07,-17.21,-8.27,-40.75,88.93,95.01,0.03,-5.89,0.5,5.34,2.99,16382.71,-2820,3477.5,817.36
(주)HJ중공업,097230,2018/12,11.41,-55.03,-33.8,0,88.59,103.77,0.03,-30.76,0.34,5.64,3.13,16510.26,-9087,1717.22,-622.38
(주)HJ중공업,097230,2019/12,10.59,-4.58,-3.03,0,89.41,95.21,0.03,1.19,0.34,5.98,4.1,18008.84,-1249,1573.54,862.16
(주)HJ중공업,097230,2020/12,7.66,4.52,3.29,26.97,92.34,96.99,0.03,5.43,0.37,2.88,2.44,20350.03,919,3037.04,613.48
(주)HJ중공업,097230,2021/12,-1.22,-8.21,-6.13,-37.2,101.22,106.4,0.05,-4.37,0.52,2.11,2.1,20484,-1681,-1338.13,-1311.16
(주)HJ중공업,097230,2022/12,5.39,-2.81,-2.03,-12.28,94.61,99.64,0.12,-0.43,0.27,2.13,1.91,21463.6,-603,1006.21,76.37
(주)MH에탄올,023150,2011/12,24.28,7.76,2.54,6.14,75.72,84.26,0.01,4.64,0,6.69,3.58,6172.43,479,600.34,986.88
(주)MH에탄올,023150,2012/12,22.01,5.65,1.87,4.48,77.99,85.67,0.01,3.92,0,6.42,3.52,6498.38,367,398.43,931.25
(주)MH에탄올,023150,2013/12,28.19,-25.11,-8.89,-21.97,71.81,79.16,0.02,-6.94,0,16.84,3.27,6614.07,-1661,805.5,1378.61
(주)MH에탄올,023150,2014/12,24.24,9.43,4.45,9.27,75.76,82.14,0.14,5.64,0,2.73,2.3,6638.69,640,694.69,1185.44
(주)MH에탄올,023150,2015/12,27.71,15.37,9.45,14.07,72.29,77.98,0.01,10.21,0,1.52,2.32,6828.76,1059,1809.86,1503.58
