회사명,거래소코드,회계년도,매출액총이익률(IFRS연결),매출액순이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),매출원가 대 매출액비율(IFRS연결),영업비용 대 영업수익비율(IFRS연결),광고선전비 대 매출액비율(IFRS연결),기업순이익률(IFRS연결),R & D 투자효율(IFRS연결),금융비용 대 총비용비율(IFRS연결),이자부담률(IFRS연결),1주당매출액(IFRS연결),1주당순이익(IFRS연결),1주당 CASH FLOW(IFRS연결),1주당정상영업이익(IFRS연결)
(주)DB하이텍,000990,2011/12,16.62,-17.74,-7.59,-27.74,83.38,110.96,0,-3.57,0,7.77,5.54,12865.19,-2541,1415.3,-1005.29
(주)DB하이텍,000990,2012/12,16.38,-5.31,-2.66,-10.47,83.62,102.64,0,1.25,0,6.9,5.25,13272.77,-780,1659.73,-350.96
(주)DB하이텍,000990,2013/12,18.08,-16.82,-7.49,-33.51,81.92,101.95,0,-2.38,0,9.98,6.58,11092.77,-2066,637.61,-215.91
(주)DB하이텍,000990,2014/12,24.11,-13.56,-7.54,-47.32,75.89,91.97,0,-1.1,0,11.38,7.65,12754.51,-1915,1080.14,1023.57
(주)DB하이텍,000990,2015/12,34.46,19.01,12.87,67.63,65.54,81.25,0,17.82,0,7.85,6.11,14975.9,3112,3431.1,2807.58
(주)DB하이텍,000990,2016/12,37.51,11.43,8.96,29.65,62.49,77.7,0,12.76,0,5.84,5.45,17369.58,2042,5578.65,3873.81
(주)DB하이텍,000990,2017/12,37.3,16.21,11.12,27.62,62.7,78.93,0,13.32,0,3.79,3.67,15271.17,2546,4114.12,3217.06
(주)DB하이텍,000990,2018/12,32.17,12.97,8.43,17.12,67.83,83.12,0,9.68,0,2.26,2.47,15036.21,2002,4051.65,2538.53
(주)DB하이텍,000990,2019/12,36.43,12.96,9.71,17.4,63.57,77.55,0,10.64,0,1.55,2.11,18139.64,2410,3618.83,4072.96
(주)DB하이텍,000990,2020/12,38.35,17.74,14.64,23.07,61.65,74.43,0,15.04,0,0.62,1.08,21026.63,3822,6964.15,5376.97
(주)DB하이텍,000990,2021/12,44.06,26.09,23.23,33.35,55.94,67.14,0,23.28,0,0.09,0.17,27289.38,7292,8832.15,8966.44
(주)DB하이텍,000990,2022/12,55.7,33.36,30.43,40.73,44.3,54.11,0,29.81,0,-1.21,-2.45,37637.47,12858,16401.8,17270.87
(주)HJ중공업,097230,2011/12,7.85,-3.35,-1.33,-5.07,92.15,99.82,0.21,1.02,4.17,5.45,3.19,59879.7,-2007,-8320.58,2236.02
(주)HJ중공업,097230,2012/12,7.49,-2.09,-0.78,-2.95,92.51,97.92,0.13,1.78,5.93,6.29,3.48,52793.54,-1095,-1747.64,1095.79
(주)HJ중공업,097230,2013/12,2.57,-7.52,-2.87,-11.28,97.43,102.75,0.12,-0.5,5.98,5.46,3.17,39241.14,-2931,-4985.5,-1079.4
(주)HJ중공업,097230,2014/12,-0.67,-11.9,-4.56,-18.64,100.67,105.75,0.13,-2.21,0.54,5.23,3.11,30961.17,-3674,-2927.86,-1781.12
(주)HJ중공업,097230,2015/12,3.56,-8.38,-4.21,-17.73,96.44,102.55,0.09,-1.85,0.63,4.18,3.1,30457.72,-2551,2517.85,-775.94
(주)HJ중공업,097230,2016/12,2.12,-11.89,-5.99,-29.53,97.88,102.82,0.05,-3.76,0.3,3.81,2.79,27042.57,-3216,-353.38,-762.45
