회사명,거래소코드,회계년도,유동자산구성비율(IFRS),재고자산 대 유동자산비율(IFRS),유동자산 대 비유동자산비율(IFRS),당좌자산구성비율(IFRS),비유동자산구성비율(IFRS),자기자본구성비율(IFRS),타인자본구성비율(IFRS),비유동비율(IFRS),유동비율(IFRS),당좌비율(IFRS),현금비율(IFRS),매입채무 대 재고자산비율(IFRS),부채비율(IFRS),유동부채비율(IFRS),단기차입금 대 총차입금비율(IFRS),순운전자본비율(IFRS),차입금비율(IFRS),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 차입금비율(IFRS),CASH FLOW 대 총자본비율(IFRS),CASH FLOW 대 매출액비율(IFRS)
(주)DB하이텍,000990,2011/12,22.47,28.99,28.97,15.95,77.53,24.64,75.36,314.69,33.38,23.7,4.33,29.82,305.87,273.15,0,-44.83,242.51,6.84,8.63,5.15,11.42
(주)DB하이텍,000990,2012/12,26.39,26.13,35.86,19.5,73.61,23.89,76.11,308.05,53.84,39.77,6.84,29.63,318.52,205.19,68.49,-22.63,248.28,7.41,9.51,5.64,11.11
(주)DB하이텍,000990,2013/12,21.18,32.56,26.88,14.29,78.82,18.8,81.2,419.28,46.64,31.45,7.28,40.66,431.96,241.63,58.3,-24.24,336.53,5.67,7.27,4.6,9.78
(주)DB하이텍,000990,2014/12,24.58,28.09,32.6,17.68,75.42,13.58,86.42,555.2,65.48,47.09,10.45,51.95,636.17,276.37,40.52,-12.96,483.77,4.38,5.76,3.79,6.68
(주)DB하이텍,000990,2015/12,33.22,24.98,49.74,24.92,66.78,27.61,72.39,241.89,137.97,103.5,43.28,50.81,262.19,87.2,23.96,9.14,189.32,13.59,18.82,9.84,14.84
(주)DB하이텍,000990,2016/12,36.18,20.97,56.7,28.6,63.82,36.21,63.79,176.22,133.9,105.82,40.74,54.65,176.13,74.62,33.11,9.16,115.87,30.96,47.07,19.75,25.71
(주)DB하이텍,000990,2017/12,35.65,21.53,55.4,27.98,64.35,45.17,54.83,142.47,243.54,191.12,71.34,42.18,121.4,32.41,11.24,21.01,80.53,40.04,60.36,21.96,31.58
(주)DB하이텍,000990,2018/12,36.18,11.28,56.68,32.09,63.82,51.64,48.36,123.6,242.42,215.06,75.75,84.74,93.66,28.9,9.05,21.25,56.21,35.92,59.84,17.37,27.27
(주)DB하이텍,000990,2019/12,38.79,12.27,63.36,34.03,61.21,59.23,40.77,103.34,192.43,168.83,38.36,58.52,68.82,34.03,25.48,18.63,39.16,38.68,67.98,15.77,21.28
(주)DB하이텍,000990,2020/12,38.64,11.38,62.97,34.24,61.36,67.44,32.56,90.99,174.09,154.28,18.24,70.93,48.29,32.91,42.81,16.44,22.34,61.36,132.61,19.98,25.18
(주)DB하이텍,000990,2021/12,52.27,8.16,109.51,48.01,47.73,71.43,28.57,66.82,241.47,221.77,54.25,66.83,39.99,30.3,43.13,30.62,15.53,79.34,204.26,22.66,28.89
(주)DB하이텍,000990,2022/12,62.32,5.58,165.41,58.84,37.68,77.23,22.77,48.79,326.91,308.65,36.75,65.71,29.48,24.68,44.84,43.26,7.61,115.99,449.08,26.41,33.42
(주)HJ중공업,097230,2011/12,37.28,8.41,59.43,34.14,62.72,32.01,67.99,195.94,121.27,111.06,35.94,106.76,212.4,96.03,29,6.54,134.88,-0.74,-1.16,-0.5,-1.27
(주)HJ중공업,097230,2012/12,40.75,6.75,68.77,38,59.25,31.38,68.62,188.81,113.85,106.16,29.3,133.68,218.65,114.05,49.64,4.96,163.56,-6.45,-8.62,-4.42,-13.26
(주)HJ중공업,097230,2013/12,33.39,25.11,50.12,25,66.61,30.9,69.1,215.56,78.29,58.64,17.91,46.87,223.6,137.99,62.19,-9.26,162.71,-5.12,-7.04,-3.54,-10.73
