회사명,거래소코드,회계년도,유동자산구성비율(IFRS연결),재고자산 대 유동자산비율(IFRS연결),유동자산 대 비유동자산비율(IFRS연결),당좌자산구성비율(IFRS연결),비유동자산구성비율(IFRS연결),자기자본구성비율(IFRS연결),타인자본구성비율(IFRS연결),비유동비율(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),매입채무 대 재고자산비율(IFRS연결),부채비율(IFRS연결),유동부채비율(IFRS연결),단기차입금 대 총차입금비율(IFRS연결),순운전자본비율(IFRS연결),차입금비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),CASH FLOW 대 차입금비율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결)
(주)DB하이텍,000990,2011/12,23.33,27.57,30.43,16.9,76.67,25.69,74.31,298.42,35.2,25.5,5.04,30.08,289.22,257.97,0,-42.95,229.64,5.87,7.39,4.36,9.47
(주)DB하이텍,000990,2012/12,26.7,25.64,36.43,19.86,73.3,25.13,74.87,291.73,55.66,41.39,7.19,22.38,298,190.94,68.49,-21.27,234.33,7.77,9.87,5.81,11.39
(주)DB하이텍,000990,2013/12,21.07,32.46,26.69,14.23,78.93,19.35,80.65,408.01,46.76,31.58,7.39,41.06,416.9,232.89,58.3,-23.99,324.25,5.99,7.7,4.83,10.36
(주)DB하이텍,000990,2014/12,25.14,27.94,33.58,18.11,74.86,12.26,87.74,610.83,65.77,47.39,10.72,52.38,715.95,311.87,40.52,-13.08,545.5,4.42,5.81,3.88,6.73
(주)DB하이텍,000990,2015/12,34.3,24.71,52.21,25.83,65.7,25.8,74.2,254.62,138.4,104.2,44.31,53.05,287.57,96.06,23.96,9.52,206.91,13.74,19.1,10.2,15.06
(주)DB하이텍,000990,2016/12,37.39,20.69,59.71,29.65,62.61,34.65,65.35,180.71,134.53,106.69,42.15,57.89,188.6,80.2,33.11,9.6,123.51,31.09,47.48,20.32,25.94
(주)DB하이텍,000990,2017/12,35.58,21.21,55.23,28.03,64.42,45.86,54.14,140.48,243.53,191.87,74.02,45.17,118.07,31.86,11.24,20.97,78.01,40.08,60.67,21.7,31.74
(주)DB하이텍,000990,2018/12,35.95,11.19,56.12,31.92,64.05,52.36,47.64,122.34,244.51,217.15,75.96,85.03,91,28.08,9.05,21.24,54.62,35.76,59.59,17.04,27.15
(주)DB하이텍,000990,2019/12,39.15,12.16,64.33,34.39,60.85,59.2,40.8,102.79,194.01,170.41,38.58,59.12,68.91,34.08,25.48,18.97,39.2,38.43,67.56,15.68,21.14
(주)DB하이텍,000990,2020/12,38.96,11.29,63.83,34.56,61.04,67.42,32.58,90.53,175.47,155.66,18.45,71,48.33,32.94,42.87,16.76,22.38,61.34,132.42,19.98,25.17
(주)DB하이텍,000990,2021/12,52.59,8.1,110.94,48.33,47.41,71.36,28.64,66.43,243.09,223.4,54.58,67.02,40.13,30.32,43.13,30.96,15.53,79.2,204.66,22.68,28.94
(주)DB하이텍,000990,2022/12,62.55,5.56,167.01,59.07,37.45,77.18,22.82,48.52,328.36,310.11,37.42,65.8,29.57,24.68,44.84,43.5,7.61,115.93,450.43,26.46,33.52
(주)HJ중공업,097230,2011/12,33.99,15.08,51.48,28.86,66.01,26.53,73.47,248.82,96.33,81.81,34.4,59.46,276.93,132.98,32.69,-1.29,182.52,-0.99,-1.51,-0.73,-1.77
(주)HJ중공업,097230,2012/12,34.54,9.84,52.76,31.14,65.46,26.05,73.95,251.29,92.89,83.75,29.88,110.8,283.85,142.72,46.07,-2.64,215.87,-4.99,-6.56,-3.69,-9.54
(주)HJ중공업,097230,2013/12,41.73,21.58,71.61,32.72,58.27,24.52,75.48,237.61,84.9,66.58,17.98,37.94,307.77,200.42,65.15,-7.42,230.21,-4.02,-5.38,-3.04,-8.02
(주)HJ중공업,097230,2014/12,40.92,24.77,69.26,30.78,59.08,24.31,75.69,243.01,93.12,70.06,12.33,44.65,311.31,180.73,50.54,-3.02,217.82,-5.71,-8.17,-4.33,-11.1
(주)HJ중공업,097230,2015/12,41.08,35.97,69.71,26.3,58.92,23.14,76.86,254.65,70.83,45.35,4.75,40.38,332.17,250.64,74.48,-16.92,222.9,0.21,0.31,0.16,0.31
(주)HJ중공업,097230,2016/12,45.13,28.45,82.25,32.29,54.87,17.03,82.97,322.2,89.96,64.36,5.26,43.23,487.19,294.57,53.65,-5.04,350.07,2.53,3.52,2.1,3.92
(주)HJ중공업,097230,2017/12,45.03,37.46,81.91,28.16,54.97,13.72,86.28,400.64,56.89,35.58,4.37,39.39,628.81,576.82,96.67,-34.12,429.87,4.8,7.03,4.14,7.11
(주)HJ중공업,097230,2018/12,62.95,30.17,169.93,43.96,37.05,-25.91,125.91,0,80.41,56.15,10.7,38.09,0,0,34.67,-15.34,0,11.7,24.1,14.74,23.73
(주)HJ중공업,097230,2019/12,52.65,27.97,111.19,37.92,47.35,9.92,90.08,477.43,70.48,50.77,6.64,45.88,908.28,753.17,83.86,-22.05,456.22,12.95,25.77,11.66,17.69
(주)HJ중공업,097230,2020/12,48.66,15.66,94.78,41.04,51.34,14.59,85.41,351.98,103.19,87.03,20.67,123.5,585.57,323.3,18.49,1.5,274.31,11.22,23.95,9.58,12.39
(주)HJ중공업,097230,2021/12,39.79,15.5,66.08,33.62,60.21,18.11,81.89,332.46,99.9,84.41,12.45,152.46,452.13,219.9,18.74,-0.04,201.67,3.94,8.83,3.22,4.51
(주)HJ중공업,097230,2022/12,55.7,14.03,125.76,47.89,44.3,14.99,85.01,295.43,100.85,86.7,7.21,114.31,566.95,368.38,29.47,0.47,218.39,-0.6,-1.55,-0.51,-0.73
(주)MH에탄올,023150,2011/12,34.04,21.31,51.6,26.78,65.96,31.79,68.21,207.49,58.36,45.92,5.22,0.11,214.54,183.43,32.19,-24.28,27.96,2.62,20.09,1.79,5.35
(주)MH에탄올,023150,2012/12,37.21,41.13,59.27,21.91,62.79,29.53,70.47,212.65,61.27,36.07,0.73,0.07,238.69,205.72,90.04,-23.53,192.7,-2.5,-3.09,-1.76,-3.95
(주)MH에탄올,023150,2013/12,33.29,28.92,49.91,23.66,66.71,35.38,64.62,188.56,57.37,40.78,0.14,0.03,182.66,164.02,89.08,-24.74,163.01,0.72,0.81,0.47,0.97
(주)MH에탄올,023150,2014/12,33.59,24.32,50.58,25.42,66.41,61.72,38.28,107.61,90.87,68.77,0.02,0,62.03,59.9,97.51,-3.38,55.71,17.21,19.17,6.59,11.51
(주)MH에탄올,023150,2015/12,28.48,16.01,39.83,23.92,71.52,73.27,26.73,97.6,109.55,92.01,15.38,0,36.47,35.48,97.4,2.48,32.17,43.92,49.79,11.74,18.4
(주)MH에탄올,023150,2016/12,27.25,28.1,37.45,19.59,72.75,87.89,12.11,82.78,257.95,185.46,17.87,0,13.77,12.02,93.65,16.68,8.63,146.33,233.68,17.71,26.21
(주)MH에탄올,023150,2017/12,16.95,6.62,20.41,15.83,83.05,21.36,78.64,388.83,44.64,41.69,7.8,8.16,368.17,177.74,33.04,-21.02,237.29,1.98,3.07,1.56,14.99
(주)MH에탄올,023150,2018/12,6.72,22.11,7.2,5.23,93.28,20.81,79.19,448.33,20.96,16.33,4.89,9.59,380.62,154.04,25.28,-25.33,239.34,-1.14,-1.81,-0.9,-5.45
