회사명,거래소코드,회계년도,총자본회전률(IFRS),자기자본회전률(IFRS),타인자본회전률(IFRS),매입채무회전률(IFRS),유동자산회전률(IFRS),당좌자산회전률(IFRS),재고자산회전률(IFRS),매출채권회전률(IFRS),유형자산회전율(IFRS),순운전자본회전률(IFRS)
(주)DB하이텍,000990,2011/12,0.42,1.6,0.57,19.91,1.89,2.62,6.81,6.56,0.68,0.71
(주)DB하이텍,000990,2012/12,0.5,2.06,0.66,25.12,2.05,2.83,7.47,8.12,0.81,0.61
(주)DB하이텍,000990,2013/12,0.45,2.09,0.57,18.66,1.88,2.64,6.51,7.41,0.75,0.63
(주)DB하이텍,000990,2014/12,0.55,3.41,0.66,17.37,2.42,3.47,8.02,8.07,0.93,0.86
(주)DB하이텍,000990,2015/12,0.66,3.22,0.84,17.02,2.3,3.12,8.73,7.7,1.19,1.11
(주)DB하이텍,000990,2016/12,0.77,2.41,1.13,18.38,2.21,2.87,9.68,7.66,1.43,1.28
(주)DB하이텍,000990,2017/12,0.69,1.69,1.15,18.53,1.91,2.42,8.98,6.94,1.23,1.21
(주)DB하이텍,000990,2018/12,0.66,1.36,1.28,19.69,1.84,2.19,11.35,7.25,1.16,1.3
(주)DB하이텍,000990,2019/12,0.75,1.36,1.7,24.22,2.01,2.28,17.05,8.04,1.33,1.37
(주)DB하이텍,000990,2020/12,0.83,1.3,2.26,27.89,2.13,2.42,18.05,9.16,1.45,1.38
(주)DB하이텍,000990,2021/12,0.89,1.28,2.94,30.03,1.92,2.12,20.61,10.24,1.82,1.3
(주)DB하이텍,000990,2022/12,0.91,1.22,3.62,36.19,1.57,1.68,23.97,12.97,2.4,1.17
(주)HJ중공업,097230,2011/12,0.38,1.19,0.56,7.93,0.91,0.98,13.26,2.65,1.61,0.48
(주)HJ중공업,097230,2012/12,0.34,1.06,0.49,9.56,0.86,0.93,11.42,2.27,1.43,0.46
(주)HJ중공업,097230,2013/12,0.33,1.05,0.48,8.61,0.88,1.04,5.91,3.27,1.44,0.43
(주)HJ중공업,097230,2014/12,0.32,1.01,0.46,5.85,0.94,1.26,3.79,5.95,1.39,0.42
(주)HJ중공업,097230,2015/12,0.4,1.3,0.59,5.6,1.17,1.78,3.46,7.33,1.64,0.5
(주)HJ중공업,097230,2016/12,0.45,1.69,0.61,7.28,1.16,1.84,3.11,8.63,1.71,0.51
(주)HJ중공업,097230,2017/12,0.48,2.37,0.6,8.8,1.12,1.8,2.96,8.89,2.06,0.48
(주)HJ중공업,097230,2018/12,0.61,0,0.63,8.63,1.26,2.19,2.98,13.93,2.72,0.52
(주)HJ중공업,097230,2019/12,0.66,0,0.64,8.83,1.2,1.79,3.64,13.46,2.58,0.54
(주)HJ중공업,097230,2020/12,0.73,5.97,0.83,9.08,1.43,1.85,6.38,17.66,2.81,0.65
(주)HJ중공업,097230,2021/12,0.75,4.53,0.89,7.92,1.69,2,10.86,27.87,2.25,0.85
(주)HJ중공업,097230,2022/12,0.72,4.37,0.87,7.88,1.5,1.76,10.28,17.65,2.28,0.75
(주)MH에탄올,023150,2011/12,0.33,0.79,0.56,322.68,1.36,1.58,9.89,4.69,1.21,0.44
(주)MH에탄올,023150,2012/12,0.33,0.79,0.57,0,1.84,2.3,9.24,4.82,1.31,0.5
(주)MH에탄올,023150,2013/12,0.35,0.87,0.59,0,1.89,2.46,8.12,4.46,1.35,0.5
(주)MH에탄올,023150,2014/12,0.47,0.98,0.91,0,1.82,2.4,7.49,4.66,1.4,0.64
(주)MH에탄올,023150,2015/12,0.61,0.92,1.87,0,2.02,2.57,9.52,4.7,1.38,0.99
(주)MH에탄올,023150,2016/12,0.65,0.81,3.27,0,2.4,3.1,10.7,4.65,1.32,1.42
(주)MH에탄올,023150,2017/12,0.54,0.75,1.87,0,2.6,3.69,8.74,4.7,1.26,1.6
(주)MH에탄올,023150,2018/12,0.43,0.71,1.12,0,2.56,3.8,7.87,4.5,1.17,1.42
(주)MH에탄올,023150,2019/12,0.45,0.73,1.14,0,2.57,4.27,6.48,4.85,1.15,1.46
(주)MH에탄올,023150,2020/12,0.52,0.88,1.26,0,2.65,4.6,6.28,5.56,1.24,1.46
(주)MH에탄올,023150,2021/12,0.47,0.79,1.14,0,2.32,4.13,5.28,4.88,1.08,1.14
(주)MH에탄올,023150,2022/12,0.49,0.85,1.16,0,2.46,4.28,5.77,4.94,1.18,0.92
(주)SH에너지화학,002360,2011/12,1.76,2.74,4.88,315.51,3.92,4.87,20.1,6.86,5.24,2.32
(주)SH에너지화학,002360,2012/12,1.87,2.97,5.08,121.97,3.98,5.4,15.16,6.92,5.84,2.43
