회사명,거래소코드,회계년도,총자본회전률(IFRS연결),자기자본회전률(IFRS연결),타인자본회전률(IFRS연결),매입채무회전률(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),유형자산회전율(IFRS연결),순운전자본회전률(IFRS연결)
(주)DB하이텍,000990,2011/12,0.43,1.56,0.59,20.51,1.87,2.54,7.04,6.12,0.7,0.72
(주)DB하이텍,000990,2012/12,0.5,1.97,0.67,28.86,2.01,2.73,7.56,8.08,0.82,0.61
(주)DB하이텍,000990,2013/12,0.45,1.99,0.57,20.81,1.86,2.6,6.51,7.74,0.75,0.63
(주)DB하이텍,000990,2014/12,0.56,3.49,0.66,17.22,2.41,3.45,8.02,8.06,0.92,0.86
(주)DB하이텍,000990,2015/12,0.68,3.56,0.84,16.56,2.28,3.08,8.73,7.67,1.19,1.11
(주)DB하이텍,000990,2016/12,0.78,2.59,1.12,17.48,2.19,2.83,9.68,7.64,1.43,1.26
(주)DB하이텍,000990,2017/12,0.69,1.7,1.15,17.41,1.88,2.38,8.98,6.94,1.23,1.19
(주)DB하이텍,000990,2018/12,0.65,1.32,1.28,19.03,1.82,2.16,11.35,7.25,1.16,1.29
(주)DB하이텍,000990,2019/12,0.75,1.34,1.7,24.06,1.99,2.26,17.05,8.04,1.33,1.36
(주)DB하이텍,000990,2020/12,0.83,1.3,2.26,27.75,2.11,2.39,18.05,9.16,1.45,1.37
(주)DB하이텍,000990,2021/12,0.89,1.28,2.93,29.97,1.91,2.1,20.61,10.24,1.82,1.3
(주)DB하이텍,000990,2022/12,0.91,1.22,3.61,36.11,1.56,1.67,23.97,13.04,2.4,1.16
(주)HJ중공업,097230,2011/12,0.4,1.51,0.54,10.41,1.12,1.29,8.86,10.97,0.91,0.52
(주)HJ중공업,097230,2012/12,0.37,1.42,0.51,11.03,1.09,1.25,8.72,9.73,0.84,0.53
(주)HJ중공업,097230,2013/12,0.38,1.51,0.51,10.62,1,1.19,6.13,10.82,0.89,0.47
(주)HJ중공업,097230,2014/12,0.38,1.57,0.51,9.67,0.93,1.21,4.01,10,0.91,0.44
(주)HJ중공업,097230,2015/12,0.5,2.12,0.66,9.65,1.23,1.76,4.07,13.54,1.15,0.55
(주)HJ중공업,097230,2016/12,0.5,2.49,0.63,8.73,1.17,1.73,3.63,17.69,1.09,0.52
(주)HJ중공업,097230,2017/12,0.52,3.33,0.61,8.59,1.15,1.7,3.54,18.47,1.17,0.48
(주)HJ중공업,097230,2018/12,0.49,0,0.48,7.12,0.94,1.42,2.76,14.13,1.4,0.37
(주)HJ중공업,097230,2019/12,0.63,0,0.57,8.93,1.08,1.52,3.69,12.67,2.6,0.46
(주)HJ중공업,097230,2020/12,0.73,6,0.83,9.09,1.43,1.85,6.39,16.72,2.8,0.65
(주)HJ중공업,097230,2021/12,0.75,4.54,0.89,7.92,1.69,2.01,10.86,27.89,2.25,0.85
(주)HJ중공업,097230,2022/12,0.72,4.38,0.86,7.88,1.5,1.76,10.28,17.66,2.28,0.75
(주)MH에탄올,023150,2011/12,0.33,1,0.5,148.03,0.98,1.22,4.99,4.83,0.6,0.36
(주)MH에탄올,023150,2012/12,0.45,1.45,0.64,4611.92,1.25,1.83,3.94,6.33,0.81,0.47
(주)MH에탄올,023150,2013/12,0.47,1.45,0.7,6573.65,1.33,2.07,3.76,5.98,0.87,0.5
(주)MH에탄올,023150,2014/12,0.46,0.99,0.84,26321.22,1.36,1.87,5.03,4.65,0.92,0.55
(주)MH에탄올,023150,2015/12,0.61,0.91,1.87,0,1.97,2.48,9.52,4.7,1.38,0.97
(주)MH에탄올,023150,2016/12,0.65,0.81,3.27,0,2.32,2.96,10.7,4.65,1.32,1.39
(주)MH에탄올,023150,2017/12,0.18,0.61,0.26,227.16,0.99,1.11,9.33,4.99,0.24,0.34
(주)MH에탄올,023150,2018/12,0.15,0.73,0.2,134.23,1.27,1.42,11.99,6.8,0.19,0.33
(주)MH에탄올,023150,2019/12,0.18,0.95,0.22,139.98,2.59,3.39,11,8.08,0.2,0.33
(주)MH에탄올,023150,2020/12,0.21,1.18,0.26,184.69,2.68,3.5,11.45,9.91,0.24,0.38
(주)MH에탄올,023150,2021/12,0.23,1.24,0.28,196.62,2.27,2.83,11.64,10.46,0.26,0.38
(주)MH에탄올,023150,2022/12,0.25,1.23,0.31,188.67,2.11,2.55,12.33,10.27,0.29,0.37
(주)SH에너지화학,002360,2011/12,1.73,2.73,4.71,312.13,3.88,4.8,20.16,6.81,5.25,2.27
