,회사명,거래소코드,회계년도,영업활동으로인한현금흐름,투자활동으로인한현금흐름,재무활동으로인한현금흐름,현금및현금성자산의증가,기업생애주기
0,(주)CMG제약,58820,2011/12,-2488.0,-1845.0,3039.0,-1295.0,도입기
1,(주)CMG제약,58820,2012/12,-1453.0,-30287.0,35261.0,3521.0,도입기
2,(주)CMG제약,58820,2013/12,-3891.0,20989.0,-57.0,17032.0,쇠퇴기
3,(주)CMG제약,58820,2014/12,730.0,-13611.0,0.0,-12878.0,
4,(주)CMG제약,58820,2015/12,2411.0,-8671.0,0.0,-6261.0,
5,(주)CMG제약,58820,2016/12,3321.0,-56094.0,52360.0,-418.0,성장기
6,(주)CMG제약,58820,2017/12,1948.0,-467.0,171.0,1650.0,성장기
7,(주)CMG제약,58820,2018/12,887.0,8779.0,0.0,9665.0,
8,(주)CMG제약,58820,2019/12,2823.0,-70596.0,72878.0,5106.0,성장기
9,(주)CMG제약,58820,2020/12,2944.0,-13009.0,-461.0,-10526.0,성숙기
10,(주)CMG제약,58820,2021/12,5629.0,-8480.0,-484.0,-3285.0,성숙기
11,(주)CMG제약,58820,2022/12,4938.0,-10868.0,5628.0,-303.0,성장기
12,(주)ES큐브,50120,2011/12,1625.0,-2631.0,0.0,-1006.0,
13,(주)ES큐브,50120,2012/12,4619.0,-4022.0,249.0,716.0,성장기
14,(주)ES큐브,50120,2013/12,4509.0,-15526.0,18284.0,6906.0,성장기
15,(주)ES큐브,50120,2014/12,2934.0,-6728.0,0.0,-3794.0,
16,(주)ES큐브,50120,2015/12,3266.0,5645.0,0.0,9256.0,
17,(주)ES큐브,50120,2016/12,3735.0,-27692.0,37786.0,14051.0,성장기
18,(주)ES큐브,50120,2017/12,3990.0,-9285.0,-1313.0,-7022.0,성숙기
19,(주)ES큐브,50120,2018/12,117.0,-9931.0,6704.0,-2857.0,성장기
20,(주)ES큐브,50120,2019/12,1886.0,-42892.0,35797.0,-5158.0,성장기
21,(주)ES큐브,50120,2020/12,-312.0,21185.0,-33200.0,-12342.0,쇠퇴기
22,(주)ES큐브,50120,2021/12,3015.0,341.0,-976.0,2385.0,
23,(주)ES큐브,50120,2022/12,4303.0,-14.0,-2788.0,1351.0,성숙기
24,(주)가비아,79940,2011/12,6751.0,-5828.0,-1373.0,-437.0,성숙기
25,(주)가비아,79940,2012/12,9005.0,-16005.0,7027.0,16.0,성장기
26,(주)가비아,79940,2013/12,6246.0,-1682.0,-2043.0,2506.0,성숙기
27,(주)가비아,79940,2014/12,8696.0,-7744.0,-925.0,63.0,성숙기
28,(주)가비아,79940,2015/12,10152.0,-1800.0,-3501.0,4925.0,성숙기
29,(주)가비아,79940,2016/12,9339.0,-10755.0,-391.0,-1807.0,성숙기
30,(주)가비아,79940,2017/12,8671.0,-6515.0,-391.0,1506.0,성숙기
31,(주)가비아,79940,2018/12,9241.0,-8099.0,609.0,1636.0,성장기
32,(주)가비아,79940,2019/12,13244.0,-13094.0,-2466.0,-2214.0,성숙기
33,(주)가비아,79940,2020/12,16302.0,-20145.0,5970.0,2020.0,성장기
34,(주)가비아,79940,2021/12,13963.0,-15859.0,-4339.0,-6216.0,성숙기
35,(주)가비아,79940,2022/12,23885.0,-32012.0,12234.0,4170.0,성장기
36,(주)가온칩스,399720,2018/12,,,,,
37,(주)가온칩스,399720,2019/12,,,,,
38,(주)가온칩스,399720,2020/12,1890.0,-3131.0,5157.0,3869.0,성장기
39,(주)가온칩스,399720,2021/12,3453.0,-8283.0,918.0,-3770.0,성장기
40,(주)가온칩스,399720,2022/12,5962.0,-32181.0,31177.0,4967.0,성장기
41,(주)강스템바이오텍,217730,2013/12,,,,,
42,(주)강스템바이오텍,217730,2014/12,,,,,
43,(주)강스템바이오텍,217730,2015/12,-3800.0,-12059.0,21490.0,5631.0,도입기
44,(주)강스템바이오텍,217730,2016/12,-7797.0,-26722.0,30170.0,-4349.0,도입기
45,(주)강스템바이오텍,217730,2017/12,-10268.0,5872.0,5753.0,1357.0,쇠퇴기
46,(주)강스템바이오텍,217730,2018/12,-11298.0,-25397.0,35741.0,-954.0,도입기
47,(주)강스템바이오텍,217730,2019/12,-11097.0,-33357.0,47082.0,2628.0,도입기
48,(주)강스템바이오텍,217730,2020/12,-16125.0,31238.0,-13029.0,2084.0,쇠퇴기
49,(주)강스템바이오텍,217730,2021/12,-16456.0,-23752.0,39852.0,-301.0,도입기
50,(주)강스템바이오텍,217730,2022/12,-18436.0,16080.0,-515.0,-2872.0,쇠퇴기
51,(주)강원에너지,114190,2011/11,15103.0,-4700.0,-626.0,9773.0,성숙기
52,(주)강원에너지,114190,2012/12,-3145.0,-21039.0,12887.0,-11319.0,도입기
53,(주)강원에너지,114190,2013/12,16976.0,10839.0,-3777.0,23862.0,
54,(주)강원에너지,114190,2014/12,-14600.0,-2463.0,-391.0,-17517.0,
55,(주)강원에너지,114190,2015/12,18555.0,-3757.0,2041.0,16847.0,성장기
56,(주)강원에너지,114190,2016/12,-18630.0,2858.0,-5.0,-15757.0,쇠퇴기
57,(주)강원에너지,114190,2017/12,-4606.0,484.0,4944.0,499.0,쇠퇴기
58,(주)강원에너지,114190,2018/12,-10048.0,-2020.0,17828.0,5710.0,도입기
59,(주)강원에너지,114190,2019/12,7014.0,-14692.0,-8117.0,-15843.0,성숙기
60,(주)강원에너지,114190,2020/12,-4229.0,15906.0,-6198.0,5455.0,쇠퇴기
61,(주)강원에너지,114190,2021/12,-4493.0,-757.0,3128.0,-2078.0,도입기
62,(주)강원에너지,114190,2022/12,-3038.0,-2150.0,-265.0,-5441.0,
63,(주)고려시멘트,198440,2014/12,,,,,
64,(주)고려시멘트,198440,2015/12,,,,,
65,(주)고려시멘트,198440,2016/12,,,,,
66,(주)고려시멘트,198440,2017/12,3162.0,-14608.0,8857.0,-2589.0,성장기
67,(주)고려시멘트,198440,2018/12,1729.0,-9952.0,8506.0,282.0,성장기
68,(주)고려시멘트,198440,2019/12,2862.0,3351.0,-2731.0,3483.0,
69,(주)고려시멘트,198440,2020/12,7963.0,8445.0,-12602.0,3806.0,
70,(주)고려시멘트,198440,2021/12,13353.0,-18200.0,-538.0,-5385.0,성숙기
71,(주)고려시멘트,198440,2022/12,-13165.0,14979.0,-912.0,902.0,쇠퇴기
72,(주)고바이오랩,348150,2019/12,-3669.0,-29679.0,30605.0,-2743.0,도입기
73,(주)고바이오랩,348150,2020/12,-9402.0,17858.0,31045.0,39501.0,쇠퇴기
74,(주)고바이오랩,348150,2021/12,-5187.0,-39159.0,55741.0,11397.0,도입기
75,(주)고바이오랩,348150,2022/12,-357.0,-59933.0,16718.0,-43614.0,도입기
76,(주)고영테크놀러지,98460,2011/12,12777.0,-14532.0,-1005.0,-2767.0,성숙기
77,(주)고영테크놀러지,98460,2012/12,10610.0,-7980.0,-1627.0,967.0,성숙기
78,(주)고영테크놀러지,98460,2013/12,12177.0,-6515.0,693.0,6246.0,성장기
79,(주)고영테크놀러지,98460,2014/12,23832.0,-14389.0,-6430.0,2955.0,성숙기
80,(주)고영테크놀러지,98460,2015/12,15162.0,-1568.0,-8192.0,5576.0,성숙기
81,(주)고영테크놀러지,98460,2016/12,17957.0,-6754.0,-3413.0,8185.0,성숙기
82,(주)고영테크놀러지,98460,2017/12,7493.0,5319.0,-22002.0,-9397.0,
83,(주)고영테크놀러지,98460,2018/12,44999.0,-72061.0,26904.0,-53.0,성장기
84,(주)고영테크놀러지,98460,2019/12,26125.0,-6675.0,-16158.0,3220.0,성숙기
