,회사명,거래소코드,회계년도,영업활동으로인한현금흐름,투자활동으로인한현금흐름,재무활동으로인한현금흐름,현금및현금성자산의증가,기업생애주기
0,(주)DB하이텍,990,2011/12,61642.0,-26649.0,-88776.0,-55036.0,성숙기
1,(주)DB하이텍,990,2012/12,68048.0,-40437.0,-22718.0,4023.0,성숙기
2,(주)DB하이텍,990,2013/12,28529.0,-13800.0,-18090.0,-3873.0,성숙기
3,(주)DB하이텍,990,2014/12,47362.0,-43423.0,1206.0,4608.0,성장기
4,(주)DB하이텍,990,2015/12,150510.0,-12201.0,-71767.0,65498.0,성숙기
5,(주)DB하이텍,990,2016/12,247019.0,-121028.0,-118530.0,5992.0,성숙기
6,(주)DB하이텍,990,2017/12,182244.0,-101907.0,-85791.0,-8695.0,성숙기
7,(주)DB하이텍,990,2018/12,182780.0,-114337.0,-50895.0,16678.0,성숙기
8,(주)DB하이텍,990,2019/12,160797.0,-123827.0,-70941.0,-34538.0,성숙기
9,(주)DB하이텍,990,2020/12,310467.0,-265307.0,-76150.0,-36496.0,성숙기
10,(주)DB하이텍,990,2021/12,391303.0,-251393.0,-4884.0,134068.0,성숙기
11,(주)DB하이텍,990,2022/12,728512.0,-710021.0,-46027.0,-33285.0,성숙기
12,(주)HJ중공업,97230,2011/12,-297988.0,51907.0,-71169.0,-317250.0,쇠퇴기
13,(주)HJ중공업,97230,2012/12,-227250.0,97508.0,105359.0,-24383.0,쇠퇴기
14,(주)HJ중공업,97230,2013/12,-186309.0,-32693.0,42453.0,-176549.0,도입기
15,(주)HJ중공업,97230,2014/12,-101009.0,249783.0,-379667.0,-230893.0,쇠퇴기
16,(주)HJ중공업,97230,2015/12,109406.0,409.0,-245147.0,-135332.0,
17,(주)HJ중공업,97230,2016/12,78719.0,-43927.0,-15868.0,19082.0,성숙기
18,(주)HJ중공업,97230,2017/12,368798.0,-36512.0,-323602.0,8296.0,성숙기
19,(주)HJ중공업,97230,2018/12,182116.0,15886.0,-76243.0,121354.0,
20,(주)HJ중공업,97230,2019/12,140634.0,51752.0,-296104.0,-106232.0,
21,(주)HJ중공업,97230,2020/12,252907.0,84604.0,-245607.0,91481.0,
22,(주)HJ중공업,97230,2021/12,-111432.0,39216.0,-23350.0,-95552.0,쇠퇴기
23,(주)HJ중공업,97230,2022/12,83791.0,-35837.0,-57351.0,-16081.0,성숙기
24,(주)MH에탄올,23150,2011/12,4202.0,-8074.0,4670.0,798.0,성장기
25,(주)MH에탄올,23150,2012/12,2789.0,-4116.0,445.0,-883.0,성장기
26,(주)MH에탄올,23150,2013/12,5638.0,-4647.0,-947.0,45.0,성숙기
27,(주)MH에탄올,23150,2014/12,5126.0,35175.0,-40343.0,-43.0,
28,(주)MH에탄올,23150,2015/12,13354.0,2921.0,-13158.0,3147.0,
29,(주)MH에탄올,23150,2016/12,12230.0,1477.0,-15502.0,-1795.0,
30,(주)MH에탄올,23150,2017/12,10756.0,-38164.0,26812.0,-596.0,성장기
31,(주)MH에탄올,23150,2018/12,6669.0,-2930.0,-4495.0,-756.0,성숙기
32,(주)MH에탄올,23150,2019/12,6418.0,-2941.0,-3480.0,-3.0,성숙기
33,(주)MH에탄올,23150,2020/12,7640.0,-3285.0,-4351.0,4.0,성숙기
34,(주)MH에탄올,23150,2021/12,2030.0,-984.0,-923.0,123.0,성숙기
35,(주)MH에탄올,23150,2022/12,-848.0,-5034.0,5779.0,-103.0,도입기
36,(주)SH에너지화학,2360,2011/12,6995.0,-3161.0,-2854.0,981.0,성숙기
37,(주)SH에너지화학,2360,2012/12,364.0,-2398.0,-1096.0,-3130.0,성숙기
38,(주)SH에너지화학,2360,2013/12,7501.0,-2466.0,-690.0,4345.0,성숙기
39,(주)SH에너지화학,2360,2014/12,24219.0,-2027.0,-20288.0,1904.0,성숙기
40,(주)SH에너지화학,2360,2015/12,24557.0,-4907.0,-7855.0,11795.0,성숙기
41,(주)SH에너지화학,2360,2016/12,11581.0,2953.0,-8423.0,6110.0,
42,(주)SH에너지화학,2360,2017/12,16293.0,-4393.0,-6094.0,5806.0,성숙기
43,(주)SH에너지화학,2360,2018/12,4285.0,-3474.0,-4862.0,-4051.0,성숙기
44,(주)SH에너지화학,2360,2019/12,14509.0,-5157.0,1774.0,11126.0,성장기
45,(주)SH에너지화학,2360,2020/12,3790.0,-16957.0,1605.0,-11579.0,성장기
46,(주)SH에너지화학,2360,2021/12,-2312.0,-9604.0,-264.0,-12181.0,
47,(주)SH에너지화학,2360,2022/12,-3254.0,-318.0,2675.0,-917.0,도입기
48,(주)SIMPAC,9160,2011/12,18175.0,-9140.0,10854.0,19899.0,성장기
49,(주)SIMPAC,9160,2012/12,12987.0,-50743.0,-2363.0,-40130.0,성숙기
50,(주)SIMPAC,9160,2013/12,11709.0,-49066.0,23306.0,-14042.0,성장기
51,(주)SIMPAC,9160,2014/12,29061.0,18185.0,-37653.0,9709.0,
52,(주)SIMPAC,9160,2015/12,10490.0,-24960.0,9501.0,-4892.0,성장기
53,(주)SIMPAC,9160,2016/12,30471.0,1868.0,-8572.0,24295.0,
54,(주)SIMPAC,9160,2017/12,-13629.0,-1221.0,-670.0,-16175.0,
55,(주)SIMPAC,9160,2018/12,36290.0,34121.0,5091.0,75329.0,
56,(주)SIMPAC,9160,2019/12,45147.0,-33506.0,-5779.0,5772.0,성숙기
57,(주)SIMPAC,9160,2020/12,434.0,-33657.0,16055.0,-21351.0,성장기
58,(주)SIMPAC,9160,2021/12,45877.0,29781.0,25486.0,103148.0,
59,(주)SIMPAC,9160,2022/12,22909.0,-32955.0,-12349.0,-22661.0,성숙기
60,(주)SNT에너지,100840,2011/12,-17274.0,874.0,7410.0,-9085.0,쇠퇴기
61,(주)SNT에너지,100840,2012/12,26635.0,-382.0,-1153.0,24928.0,성숙기
62,(주)SNT에너지,100840,2013/12,20129.0,1755.0,-1368.0,20524.0,
63,(주)SNT에너지,100840,2014/12,-24774.0,-127.0,-2125.0,-26893.0,
64,(주)SNT에너지,100840,2015/12,2205.0,-388.0,-9167.0,-7259.0,성숙기
65,(주)SNT에너지,100840,2016/12,35018.0,-6276.0,-3592.0,27086.0,성숙기
66,(주)SNT에너지,100840,2017/12,-5579.0,6228.0,0.0,-1637.0,쇠퇴기
67,(주)SNT에너지,100840,2018/12,14436.0,-6857.0,-4717.0,2394.0,성숙기
68,(주)SNT에너지,100840,2019/12,-40058.0,1138.0,-62.0,-39126.0,쇠퇴기
69,(주)SNT에너지,100840,2020/12,66429.0,-854.0,-18530.0,43249.0,성숙기
70,(주)SNT에너지,100840,2021/12,27963.0,-646.0,-9570.0,19439.0,성숙기
71,(주)SNT에너지,100840,2022/12,19337.0,-74849.0,44523.0,-14242.0,성장기
72,(주)SNT홀딩스,36530,2011/12,9352.0,38205.0,-14497.0,33060.0,
73,(주)SNT홀딩스,36530,2012/12,8671.0,-21699.0,-8244.0,-21272.0,성숙기
74,(주)SNT홀딩스,36530,2013/12,7969.0,-5576.0,505.0,2898.0,성장기
75,(주)SNT홀딩스,36530,2014/12,6848.0,-10038.0,-4825.0,-8015.0,성숙기
76,(주)SNT홀딩스,36530,2015/12,7958.0,25412.0,-2995.0,30375.0,
77,(주)SNT홀딩스,36530,2016/12,762.0,-5488.0,-3880.0,-8606.0,성숙기
78,(주)SNT홀딩스,36530,2017/12,6184.0,-18991.0,-5527.0,-18334.0,성숙기
79,(주)SNT홀딩스,36530,2018/12,6692.0,-6659.0,-9583.0,-9550.0,성숙기
80,(주)SNT홀딩스,36530,2019/12,10099.0,3067.0,-14777.0,-1611.0,
81,(주)SNT홀딩스,36530,2020/12,22925.0,-6197.0,-16284.0,444.0,성숙기
82,(주)SNT홀딩스,36530,2021/12,16763.0,-333.0,-15315.0,1115.0,성숙기
83,(주)SNT홀딩스,36530,2022/12,19195.0,-10043.0,-10242.0,-1090.0,성숙기
84,(주)STX,11810,2011/12,-108220.0,-311014.0,312651.0,-106521.0,도입기
85,(주)STX,11810,2012/12,159192.0,-170700.0,-58448.0,-70742.0,성숙기
86,(주)STX,11810,2013/12,85353.0,256801.0,-316469.0,25496.0,
87,(주)STX,11810,2014/12,-78562.0,25152.0,88352.0,34903.0,쇠퇴기
88,(주)STX,11810,2015/12,28936.0,41271.0,-101779.0,-31596.0,
89,(주)STX,11810,2016/12,31638.0,48420.0,-107426.0,-27080.0,
90,(주)STX,11810,2017/12,93844.0,45598.0,-83177.0,54970.0,
91,(주)STX,11810,2018/12,-51274.0,22829.0,-27927.0,-56259.0,쇠퇴기
92,(주)STX,11810,2019/12,12558.0,-35804.0,24610.0,1086.0,성장기
93,(주)STX,11810,2020/12,66336.0,-13796.0,-60242.0,-8822.0,성숙기
94,(주)STX,11810,2021/12,-6179.0,2314.0,-2851.0,-6392.0,쇠퇴기
95,(주)STX,11810,2022/12,-12635.0,-16853.0,30060.0,1002.0,도입기
96,(주)TCC스틸,2710,2011/12,-8211.0,-34959.0,36857.0,-6320.0,도입기
97,(주)TCC스틸,2710,2012/12,10879.0,-32641.0,23361.0,1596.0,성장기
98,(주)TCC스틸,2710,2013/12,21218.0,-35682.0,12449.0,-2017.0,성장기
99,(주)TCC스틸,2710,2014/12,13871.0,-28226.0,12898.0,-1457.0,성장기
100,(주)TCC스틸,2710,2015/12,36353.0,-15630.0,-19473.0,1252.0,성숙기
101,(주)TCC스틸,2710,2016/12,-34207.0,87808.0,-52969.0,638.0,쇠퇴기
102,(주)TCC스틸,2710,2017/12,-7248.0,671.0,5097.0,-1481.0,쇠퇴기
103,(주)TCC스틸,2710,2018/12,13969.0,-2184.0,-4906.0,6865.0,성숙기
104,(주)TCC스틸,2710,2019/12,-251.0,-11360.0,10728.0,-895.0,도입기
105,(주)TCC스틸,2710,2020/12,-999.0,-10168.0,7562.0,-3611.0,도입기
106,(주)TCC스틸,2710,2021/12,6479.0,28405.0,-9214.0,25593.0,
107,(주)TCC스틸,2710,2022/12,-11764.0,-74143.0,68228.0,-18148.0,도입기
108,(주)강원랜드,35250,2011/12,428912.0,-198767.0,-218788.0,11357.0,성숙기
109,(주)강원랜드,35250,2012/12,458413.0,-232183.0,-194378.0,31851.0,성숙기
110,(주)강원랜드,35250,2013/12,432140.0,-229556.0,-153068.0,49516.0,성숙기
111,(주)강원랜드,35250,2014/12,516729.0,-404621.0,-147999.0,-35892.0,성숙기
112,(주)강원랜드,35250,2015/12,581804.0,-399445.0,-172328.0,10031.0,성숙기
113,(주)강원랜드,35250,2016/12,600687.0,-414060.0,-198684.0,-12058.0,성숙기
114,(주)강원랜드,35250,2017/12,465969.0,-253342.0,-200712.0,11915.0,성숙기
115,(주)강원랜드,35250,2018/12,366068.0,-205029.0,-200712.0,-55906.0,성숙기
116,(주)강원랜드,35250,2019/12,408995.0,-212758.0,-184472.0,11765.0,성숙기
117,(주)강원랜드,35250,2020/12,-657703.0,846552.0,-183482.0,5367.0,쇠퇴기
118,(주)강원랜드,35250,2021/12,215115.0,-75175.0,-1147.0,138792.0,성숙기
119,(주)강원랜드,35250,2022/12,419875.0,-522421.0,-1060.0,-103606.0,성숙기
120,(주)갤럭시아에스엠,11420,2011/12,3958.0,-1378.0,987.0,3569.0,성장기
121,(주)갤럭시아에스엠,11420,2012/12,2597.0,-596.0,-500.0,1454.0,성숙기
122,(주)갤럭시아에스엠,11420,2013/12,-780.0,-2654.0,0.0,-3444.0,
123,(주)갤럭시아에스엠,11420,2014/12,-1938.0,1643.0,0.0,-295.0,쇠퇴기
124,(주)갤럭시아에스엠,11420,2015/12,3008.0,-5256.0,21346.0,19101.0,성장기
125,(주)갤럭시아에스엠,11420,2016/12,-1877.0,-840.0,0.0,-2716.0,
126,(주)갤럭시아에스엠,11420,2017/12,-7384.0,-925.0,0.0,-8395.0,
127,(주)갤럭시아에스엠,11420,2018/12,-2639.0,1036.0,0.0,-1655.0,쇠퇴기
128,(주)갤럭시아에스엠,11420,2019/12,825.0,1062.0,-2068.0,-182.0,
129,(주)갤럭시아에스엠,11420,2020/12,2869.0,-3680.0,-1498.0,-2312.0,성숙기
130,(주)갤럭시아에스엠,11420,2021/12,1612.0,-1256.0,-1636.0,-1275.0,성숙기
131,(주)갤럭시아에스엠,11420,2022/12,872.0,-19339.0,15205.0,-3256.0,성장기
132,(주)경농,2100,2011/12,14272.0,-12823.0,-23126.0,-21700.0,성숙기
133,(주)경농,2100,2012/12,12032.0,-25163.0,13026.0,-153.0,성장기
134,(주)경농,2100,2013/12,16373.0,-11016.0,-3113.0,2098.0,성숙기
135,(주)경농,2100,2014/12,14226.0,-18882.0,4203.0,-478.0,성장기
136,(주)경농,2100,2015/12,-9445.0,-19075.0,26184.0,-2226.0,도입기
137,(주)경농,2100,2016/12,8683.0,-2415.0,-6864.0,-557.0,성숙기
138,(주)경농,2100,2017/12,14394.0,-3577.0,-10147.0,421.0,성숙기
139,(주)경농,2100,2018/12,4624.0,-4316.0,696.0,993.0,성장기
140,(주)경농,2100,2019/12,4392.0,-2614.0,-749.0,1356.0,성숙기
141,(주)경농,2100,2020/12,8536.0,3831.0,-10754.0,1349.0,
142,(주)경농,2100,2021/12,21191.0,-20251.0,9285.0,10648.0,성장기
143,(주)경농,2100,2022/12,26521.0,-8714.0,-1711.0,15867.0,성숙기
144,(주)경동나비엔,9450,2011/12,12393.0,-14561.0,-2921.0,-5089.0,성숙기
145,(주)경동나비엔,9450,2012/12,22555.0,-21038.0,6979.0,8496.0,성장기
146,(주)경동나비엔,9450,2013/12,20201.0,-62576.0,18829.0,-23546.0,성장기
147,(주)경동나비엔,9450,2014/12,-24009.0,-19196.0,42193.0,-1012.0,도입기
148,(주)경동나비엔,9450,2015/12,36532.0,1854.0,-39673.0,-1287.0,
149,(주)경동나비엔,9450,2016/12,54603.0,-13003.0,-33814.0,7785.0,성숙기
150,(주)경동나비엔,9450,2017/12,13454.0,-25344.0,13356.0,1466.0,성장기
151,(주)경동나비엔,9450,2018/12,-9554.0,-31458.0,35125.0,-5886.0,도입기
152,(주)경동나비엔,9450,2019/12,38147.0,-22369.0,-19042.0,-3264.0,성숙기
153,(주)경동나비엔,9450,2020/12,54408.0,-28444.0,-15255.0,10709.0,성숙기
154,(주)경동나비엔,9450,2021/12,68020.0,-19941.0,-42505.0,5573.0,성숙기
155,(주)경동나비엔,9450,2022/12,28497.0,-53835.0,53182.0,27071.0,성장기
156,(주)경동도시가스,267290,2017/12,18775.0,-54095.0,-857.0,-36177.0,성숙기
157,(주)경동도시가스,267290,2018/12,120320.0,-58283.0,-4705.0,57331.0,성숙기
158,(주)경동도시가스,267290,2019/12,33603.0,-46233.0,-6084.0,-18715.0,성숙기
159,(주)경동도시가스,267290,2020/12,-65.0,-24698.0,-9674.0,-34436.0,
160,(주)경동도시가스,267290,2021/12,138295.0,-36343.0,-6858.0,95093.0,성숙기
161,(주)경동도시가스,267290,2022/12,52246.0,-113666.0,-7368.0,-68788.0,성숙기
162,(주)경동인베스트,12320,2011/12,90137.0,-80528.0,-3630.0,5978.0,성숙기
163,(주)경동인베스트,12320,2012/12,154970.0,-67159.0,-3844.0,83967.0,성숙기
164,(주)경동인베스트,12320,2013/12,54868.0,-19477.0,-5604.0,29787.0,성숙기
165,(주)경동인베스트,12320,2014/12,16431.0,-30416.0,-5180.0,-19165.0,성숙기
166,(주)경동인베스트,12320,2015/12,-32487.0,-101001.0,-3030.0,-136517.0,
167,(주)경동인베스트,12320,2016/12,32578.0,-20799.0,-17570.0,-5791.0,성숙기
168,(주)경동인베스트,12320,2017/12,49567.0,-11099.0,-4088.0,-61090.0,성숙기
169,(주)경동인베스트,12320,2018/12,1729.0,2952.0,-1138.0,3543.0,
170,(주)경동인베스트,12320,2019/12,1025.0,-4939.0,-1799.0,-5714.0,성숙기
171,(주)경동인베스트,12320,2020/12,-5783.0,9042.0,-3592.0,-333.0,쇠퇴기
172,(주)경동인베스트,12320,2021/12,824.0,1810.0,-1158.0,1476.0,
173,(주)경동인베스트,12320,2022/12,2162.0,-2095.0,-1715.0,-1648.0,성숙기
174,(주)경방,50,2011/12,-11593.0,-26436.0,32574.0,-5673.0,도입기
175,(주)경방,50,2012/12,27342.0,-19373.0,-10132.0,-2173.0,성숙기
176,(주)경방,50,2013/12,50396.0,670.0,-50552.0,335.0,
177,(주)경방,50,2014/12,29566.0,-30920.0,1405.0,1278.0,성장기
178,(주)경방,50,2015/12,44076.0,-5544.0,-39098.0,-620.0,성숙기
179,(주)경방,50,2016/12,61708.0,-3212.0,-59402.0,-854.0,성숙기
180,(주)경방,50,2017/12,51273.0,6832.0,-56522.0,1550.0,
181,(주)경방,50,2018/12,29443.0,-32823.0,1758.0,-1584.0,성장기
182,(주)경방,50,2019/12,65271.0,-79930.0,15531.0,837.0,성장기
183,(주)경방,50,2020/12,46548.0,85144.0,-101799.0,29820.0,
184,(주)경방,50,2021/12,-6107.0,-30715.0,11906.0,-24216.0,도입기
