,회사명,거래소코드,회계년도,영업활동으로인한현금흐름,투자활동으로인한현금흐름,재무활동으로인한현금흐름,현금및현금성자산의증가,기업생애주기
0,(주)CMG제약,58820,2011/12,-2560.0,-1773.0,3039.0,-1295.0,도입기
1,(주)CMG제약,58820,2012/12,-1573.0,-30266.0,35361.0,3522.0,도입기
2,(주)CMG제약,58820,2013/12,-3939.0,21135.0,-157.0,17031.0,쇠퇴기
3,(주)CMG제약,58820,2014/12,725.0,-13611.0,5.0,-12878.0,성장기
4,(주)CMG제약,58820,2015/12,2410.0,-8671.0,1.0,-6261.0,성장기
5,(주)CMG제약,58820,2016/12,3321.0,-56094.0,52360.0,-418.0,성장기
6,(주)CMG제약,58820,2017/12,1948.0,-467.0,171.0,1650.0,성장기
7,(주)CMG제약,58820,2018/12,887.0,8779.0,0.0,9665.0,Shake-Out
8,(주)CMG제약,58820,2019/12,2823.0,-70596.0,72878.0,5106.0,성장기
9,(주)CMG제약,58820,2020/12,2944.0,-13009.0,-461.0,-10526.0,성숙기
10,(주)CMG제약,58820,2021/12,5629.0,-8480.0,-484.0,-3285.0,성숙기
11,(주)CMG제약,58820,2022/12,4938.0,-10868.0,5628.0,-303.0,성장기
12,(주)ES큐브,50120,2011/12,1108.0,-2461.0,100.0,-1321.0,성장기
13,(주)ES큐브,50120,2012/12,5225.0,-4486.0,303.0,911.0,성장기
14,(주)ES큐브,50120,2013/12,2591.0,-14873.0,18284.0,6047.0,성장기
15,(주)ES큐브,50120,2014/12,2889.0,7971.0,110.0,15418.0,Shake-Out
16,(주)ES큐브,50120,2015/12,-2778.0,399.0,2950.0,973.0,쇠퇴기
17,(주)ES큐브,50120,2016/12,1241.0,-23005.0,37786.0,4774.0,성장기
18,(주)ES큐브,50120,2017/12,2311.0,-6850.0,-1313.0,-7033.0,성숙기
19,(주)ES큐브,50120,2018/12,-1348.0,-1328.0,4892.0,2480.0,도입기
20,(주)ES큐브,50120,2019/12,75625.0,-18643.0,27276.0,84617.0,성장기
21,(주)ES큐브,50120,2020/12,-37420.0,180.0,-62948.0,-100302.0,쇠퇴기
22,(주)ES큐브,50120,2021/12,69285.0,-46.0,38304.0,107989.0,성장기
23,(주)ES큐브,50120,2022/12,-53485.0,-47119.0,-3029.0,-104200.0,Shake-Out
24,(주)가비아,79940,2011/12,9651.0,-10140.0,2707.0,2231.0,성장기
25,(주)가비아,79940,2012/12,13225.0,-20717.0,8510.0,987.0,성장기
26,(주)가비아,79940,2013/12,12813.0,-9998.0,-3471.0,-671.0,성숙기
27,(주)가비아,79940,2014/12,16224.0,-10914.0,-1875.0,3585.0,성숙기
28,(주)가비아,79940,2015/12,19258.0,-8773.0,-3351.0,7306.0,성숙기
29,(주)가비아,79940,2016/12,17871.0,-18248.0,2076.0,2226.0,성장기
30,(주)가비아,79940,2017/12,20445.0,-8859.0,-5793.0,4513.0,성숙기
31,(주)가비아,79940,2018/12,21870.0,-22924.0,1115.0,330.0,성장기
32,(주)가비아,79940,2019/12,36951.0,-29989.0,-8621.0,-1534.0,성숙기
33,(주)가비아,79940,2020/12,50083.0,-46930.0,20731.0,23150.0,성장기
34,(주)가비아,79940,2021/12,40918.0,-41060.0,-13628.0,-12745.0,성숙기
35,(주)가비아,79940,2022/12,70190.0,-50514.0,-3464.0,15719.0,성숙기
