,회사명,거래소코드,회계년도,영업활동으로인한현금흐름,투자활동으로인한현금흐름,재무활동으로인한현금흐름,현금및현금성자산의증가,기업생애주기
0,(주)DB하이텍,990,2011/12,60749.0,-23348.0,-88776.0,-52752.0,성숙기
1,(주)DB하이텍,990,2012/12,73877.0,-49272.0,-22718.0,-107.0,성숙기
2,(주)DB하이텍,990,2013/12,28381.0,-14426.0,-18090.0,-4695.0,성숙기
3,(주)DB하이텍,990,2014/12,48078.0,-43635.0,1206.0,5147.0,성장기
4,(주)DB하이텍,990,2015/12,152722.0,-12209.0,-71767.0,67764.0,성숙기
5,(주)DB하이텍,990,2016/12,248312.0,-121032.0,-118530.0,7447.0,성숙기
6,(주)DB하이텍,990,2017/12,183124.0,-101904.0,-85791.0,-8085.0,성숙기
7,(주)DB하이텍,990,2018/12,180344.0,-117302.0,-50895.0,11612.0,성숙기
8,(주)DB하이텍,990,2019/12,161078.0,-123955.0,-70941.0,-34329.0,성숙기
9,(주)DB하이텍,990,2020/12,309983.0,-265310.0,-75975.0,-36483.0,성숙기
10,(주)DB하이텍,990,2021/12,393129.0,-252767.0,-4884.0,134724.0,성숙기
11,(주)DB하이텍,990,2022/12,730063.0,-710089.0,-46027.0,-31707.0,성숙기
12,(주)HJ중공업,97230,2011/12,-401788.0,41457.0,94035.0,-262028.0,쇠퇴기
13,(주)HJ중공업,97230,2012/12,-84391.0,39701.0,-67579.0,-122412.0,쇠퇴기
14,(주)HJ중공업,97230,2013/12,-321347.0,-52839.0,237949.0,-141106.0,도입기
15,(주)HJ중공업,97230,2014/12,-238336.0,204078.0,-211347.0,-240066.0,쇠퇴기
16,(주)HJ중공업,97230,2015/12,257547.0,-32960.0,-418692.0,-187486.0,성숙기
17,(주)HJ중공업,97230,2016/12,-36763.0,-85380.0,91239.0,-24183.0,도입기
18,(주)HJ중공업,97230,2017/12,385461.0,198422.0,-572275.0,6621.0,Shake-Out
19,(주)HJ중공업,97230,2018/12,420195.0,-2020.0,-318234.0,91352.0,성숙기
20,(주)HJ중공업,97230,2019/12,155934.0,36099.0,-296104.0,-106569.0,Shake-Out
21,(주)HJ중공업,97230,2020/12,264454.0,73036.0,-245607.0,91459.0,Shake-Out
22,(주)HJ중공업,97230,2021/12,-110633.0,38384.0,-23350.0,-95584.0,쇠퇴기
23,(주)HJ중공업,97230,2022/12,84575.0,-36615.0,-57351.0,-16076.0,성숙기
24,(주)MH에탄올,23150,2011/12,179.0,12547.0,-9638.0,3195.0,Shake-Out
25,(주)MH에탄올,23150,2012/12,-4906.0,1115.0,377.0,-3489.0,쇠퇴기
26,(주)MH에탄올,23150,2013/12,6114.0,-4784.0,-1818.0,109.0,성숙기
27,(주)MH에탄올,23150,2014/12,5159.0,-4570.0,-40343.0,-101.0,성숙기
28,(주)MH에탄올,23150,2015/12,13384.0,2896.0,-13158.0,3152.0,Shake-Out
29,(주)MH에탄올,23150,2016/12,12246.0,1462.0,-15502.0,-1794.0,Shake-Out
30,(주)MH에탄올,23150,2017/12,3337.0,-25460.0,35572.0,13449.0,성장기
31,(주)MH에탄올,23150,2018/12,-11270.0,40276.0,-36918.0,-7911.0,쇠퇴기
32,(주)MH에탄올,23150,2019/12,11369.0,-3854.0,-5343.0,2172.0,성숙기
33,(주)MH에탄올,23150,2020/12,18986.0,-6484.0,-9090.0,3412.0,성숙기
34,(주)MH에탄올,23150,2021/12,26371.0,-2715.0,-9563.0,14093.0,성숙기
35,(주)MH에탄올,23150,2022/12,16477.0,-16818.0,-11300.0,-11640.0,성숙기
36,(주)SH에너지화학,2360,2011/12,5825.0,-5937.0,-2854.0,2561.0,성숙기
37,(주)SH에너지화학,2360,2012/12,-856.0,-1233.0,-1096.0,-3049.0,Shake-Out
