# 코스피 + 코스닥
(주)다함이텍, 자본잠식
(주)지아이바이오, 감사의견거절
(주)금빛, 해산사유발생
(주)나노트로닉스, 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당
(주)네오퍼플, 감사의견거절
(주)넥솔론, 해산사유발생
(주)넥스지, 감사의견거절
(주)녹십자셀, 주식의 병합 분할 등 전자등록 변경 말소
(주)뉴로스, 감사의견거절
(주)대국, 감사의견거절
(주)대성합동지주, 피합병
(주)더블유게임즈, 코스피상장
(주)데코앤이, 발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지
(주)동서, 코스피상장
(주)동성하이켐, 피합병
(주)동성화학, 피합병
(주)동양건설산업, 감사의견거절 및 자본전액잠식
(주)디아이디, 기업의 계속성 경영의 투명성 또는 그 밖에 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
(주)디에스, 감사의견거절
(주)디에이치패션, 횡령 배임
(주)디지텍시스템스, 감사의견거절
(주)레드로버, 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
(주)렉스엘이앤지, 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당
(주)로케트전기, 감사의견거절
(주)롯데미도파, 피합병
(주)룩손에너지홀딩스, 감사의견거절
(주)마이스코, 감사의견거절
(주)맘스터치앤컴퍼니, 상장폐지신청
(주)맥스로텍, 발행한 어음 또는 수표가 주거래은행에 의하여최종부도로 결정되거나 거래은행에 의한 거래정지
(주)모다, 감사의견거절
(주)모린스, 자본전액잠식
(주)미래SCI, 최근 2년간 3회 이상 공시규정 제19조제1항의 규정에 의한 사업보고서 반기보고서 또는 분기보고서 법정제출기한 내 미제출
(주)미래테크놀로지, 피합병
(주)미성포리테크, 감사의견거절
(주)바이오빌, 감사의견거절
(주)배명금속, 최종부도발생
(주)보광티에스, 횡령 배임
(주)보루네오가구, 횡령 배임
(주)부산도시가스, 피합병
(주)블루젬디앤씨, 사업보고서 미제출
(주)비앤비성원, 감사의견거절
(주)비엔씨컴퍼니, 감사의견 한정(감사범위제한으로 인한 한정)
(주)사조해표, 피합병
(주)삼양엔텍, 피합병
(주)삼양제넥스, 피합병
(주)삼우이엠씨, 자본전액잠식
(주)선진지주, 피합병
(주)세영디앤씨, 감사의견거절
(주)셀트리온, 코스피상장
(주)소리바다, 감사의견거절
(주)스틸플라워, 감사의견거절
(주)승화프리텍, 기업의 계속성 경영의 투명성 또는 그 밖에 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
(주)시노펙스그린테크, 피합병
(주)신성에프에이, 피합병
(주)신성이엔지, 피합병
(주)신세계아이앤씨, 코스피상장
(주)신일건업, 자본전액잠식
(주)신한, 횡령 배임
(주)실리콘화일, 자진상장폐지
(주)심팩메탈, 피합병
(주)썬코어, 감사의견거절
