,회사명,거래소코드,회계년도,총자본증가율,총자본순이익률,자기자본순이익률,매출원가대매출액비율,금융비용대총비용비율,자기자본구성비율,순운전자본비율,CASHFLOW대총자본비율,순운전자본회전률,시가총액
0,(주)DB하이텍,000990,2016/12,0.2178452313729632,8.96,29.65,62.49,5.84,34.65,9.6,20.32,1.26,705448528800
1,(주)DB하이텍,000990,2017/12,0.7257883904259168,11.12,27.62,62.7,3.79,45.86,20.97,21.7,1.19,532413984000
2,(주)DB하이텍,000990,2018/12,7.302472657102816,8.43,17.12,67.83,2.26,52.36,21.24,17.04,1.29,481724679800
3,(주)DB하이텍,000990,2019/12,2.0961357068785427,9.71,17.4,63.57,1.55,59.2,18.97,15.68,1.36,1225401028800
4,(주)DB하이텍,000990,2020/12,8.236920166407993,14.64,23.07,61.65,0.62,67.42,16.76,19.98,1.37,2264327988000
5,(주)DB하이텍,000990,2021/12,31.508822898044343,23.23,33.35,55.94,0.09,71.36,30.96,22.68,1.3,3227777347600
6,(주)HJ중공업,097230,2011/12,-6.493812989486354,-1.33,-5.07,92.15,5.45,26.53,-1.29,-0.73,0.52,895751025750
7,(주)HJ중공업,097230,2012/12,-6.417614556864885,-0.78,-2.95,92.51,6.29,26.05,-2.64,-3.69,0.53,603605812500
8,(주)HJ중공업,097230,2020/12,-11.187941812517256,3.36,27.71,92.31,2.9,14.59,1.5,9.58,0.65,609567736920
9,(주)MH에탄올,023150,2011/12,-0.4908466734386701,-3.24,-9.74,83.19,7.9,31.79,-24.28,1.79,0.36,19110000000
10,(주)MH에탄올,023150,2012/12,0.1333760534100307,0.21,1.01,82.03,7.46,29.53,-23.53,-1.76,0.47,19355000000
11,(주)MH에탄올,023150,2013/12,-3.4884586192014044,5.32,16.85,87.33,5.0,35.38,-24.74,0.47,0.5,20930000000
12,(주)MH에탄올,023150,2014/12,-34.05064071920924,-0.19,-0.38,75.76,2.66,61.72,-3.38,6.59,0.55,54896233440
13,(주)MH에탄올,023150,2015/12,-7.644823756357047,9.46,14.06,72.29,1.43,73.27,2.48,11.74,0.97,64635887760
14,(주)MH에탄올,023150,2016/12,-8.425743075598763,10.76,13.41,69.46,0.76,87.89,16.68,17.71,1.39,58290355400
15,(주)MH에탄올,023150,2017/12,591.4293613491844,1.5,10.42,71.62,-1.46,21.36,-21.02,1.56,0.34,46779854840
16,(주)MH에탄올,023150,2018/12,-11.99608141069215,-2.56,-0.93,73.53,12.86,20.81,-25.33,-0.9,0.33,43459518140
17,(주)MH에탄올,023150,2019/12,2.5662345687426447,-1.69,-0.88,67.04,11.96,17.58,-55.27,0.01,0.33,45304149640
18,(주)MH에탄올,023150,2020/12,-0.3975865719842116,0.84,11.49,63.21,12.94,17.89,-24.11,3.38,0.38,62053403660
19,(주)MH에탄올,023150,2021/12,0.396282681646241,1.93,9.52,57.03,12.88,18.76,-54.33,5.02,0.38,75260965200
20,(주)SH에너지화학,002360,2013/12,6.557045038094319,4.3,7.35,92.26,0.53,62.99,21.65,2.31,2.66,80460820520
21,(주)SH에너지화학,002360,2014/12,0.2280770031405841,15.13,21.7,85.6,0.37,76.07,35.8,13.86,2.64,190038678300
22,(주)SH에너지화학,002360,2015/12,4.316377854633785,11.13,14.62,82.76,0.1,79.33,44.26,21.37,2.6,160032571200
23,(주)SH에너지화학,002360,2016/12,7.763090693466988,15.02,18.66,82.31,-0.08,83.61,57.6,14.59,2.4,175035624750
24,(주)SH에너지화학,002360,2017/12,0.661102587377198,7.91,9.21,86.02,-0.1,85.94,63.29,10.33,1.95,156142890650
25,(주)SH에너지화학,002360,2018/12,-2.29586950970378,1.64,2.21,93.32,-0.11,86.08,64.61,7.93,1.95,122247103000
26,(주)SIMPAC,009160,2011/12,15.374537951100752,8.61,15.9,79.13,-0.33,54.34,11.55,6.72,0.84,143388680250
27,(주)SIMPAC,009160,2012/12,2.504833070101229,6.13,10.81,81.14,-1.1,58.95,13.93,4.96,0.85,221627128500
28,(주)SIMPAC,009160,2013/12,13.594170699101882,5.89,10.11,79.9,-1.65,57.69,-6.95,3.48,0.82,202431078000
29,(주)SIMPAC,009160,2014/12,5.51209162785301,3.85,6.7,83.63,0.51,57.37,2.13,6.09,1.0,148914816000
30,(주)SIMPAC,009160,2015/12,10.706945349911896,4.09,7.29,82.15,0.47,54.87,1.13,5.29,0.86,162875580000
31,(주)SIMPAC,009160,2016/12,-1.1749319471280624,3.85,6.85,81.52,0.44,57.53,5.13,5.44,0.79,137862544500
32,(주)SIMPAC,009160,2017/12,-8.784416019527837,3.23,5.36,83.69,0.37,63.18,5.25,3.37,0.75,120120740250
33,(주)SIMPAC,009160,2018/12,78.86309614385635,13.02,20.48,88.84,0.51,63.81,12.06,2.04,0.75,159648019040
34,(주)SIMPAC,009160,2019/12,-0.38210431667867,1.39,2.17,89.59,0.35,64.96,10.26,5.51,0.82,192689924620
35,(주)SIMPAC,009160,2020/12,8.559573346526372,4.82,7.54,89.7,0.59,62.93,14.13,1.39,0.66,161610904520
36,(주)SIMPAC,009160,2021/12,22.508741614424952,11.07,17.98,73.99,-0.11,60.52,23.34,2.59,0.83,419403197560
37,(주)SNT에너지,100840,2014/12,-2.29822732012513,3.66,5.55,83.88,-0.32,68.21,30.83,-0.76,0.93,108748794200
38,(주)SNT에너지,100840,2015/12,3.836958806221101,8.71,12.31,77.78,-0.2,73.18,37.88,-3.57,1.05,210767207000
39,(주)SNT에너지,100840,2016/12,10.071601158774936,0.5,0.72,80.67,-0.09,66.03,31.49,5.35,0.9,136024550400
40,(주)SNT에너지,100840,2017/12,-13.726791594117952,1.41,1.98,79.34,-0.1,77.87,41.23,4.9,0.69,114062253200
41,(주)SNT에너지,100840,2021/12,-0.956904983420406,3.76,5.11,83.21,-0.04,73.72,40.19,8.99,0.64,139249489050
42,(주)SNT홀딩스,036530,2011/12,4.213355985837607,4.19,6.88,87.11,-0.01,61.7,20.9,3.65,1.06,188035129800
43,(주)SNT홀딩스,036530,2012/12,-2.349554881618653,3.01,5.6,87.8,-0.11,63.52,22.1,3.48,1.05,145204905790
44,(주)SNT홀딩스,036530,2013/12,3.579539101568072,2.55,4.41,87.49,-0.19,63.95,23.34,3.52,0.99,242505623750
45,(주)SNT홀딩스,036530,2014/12,-5.108329890153249,3.2,5.51,88.9,-0.24,66.49,25.36,4.64,1.0,292499090800
46,(주)SNT홀딩스,036530,2015/12,6.370633557403712,5.53,5.75,82.55,-0.31,70.49,32.59,4.97,1.06,451111730600
47,(주)SNT홀딩스,036530,2016/12,1.8838700398421435,0.46,0.47,86.92,-0.3,69.27,32.5,5.98,0.94,250907164250
48,(주)SNT홀딩스,036530,2017/12,-2.895830109611081,1.19,1.14,86.42,-0.3,70.79,34.43,5.78,0.91,249324153750
49,(주)SNT홀딩스,036530,2018/12,-1.50686686779969,3.46,4.36,87.14,-0.5,71.12,37.2,5.51,0.88,211950518000
50,(주)SNT홀딩스,036530,2019/12,5.811428044289172,5.72,8.78,84.93,-0.65,72.69,38.49,4.88,0.94,251895038700
51,(주)SNT홀딩스,036530,2020/12,1.5114819784153202,3.46,4.62,85.47,-0.45,71.24,34.38,7.72,0.85,242927901400
52,(주)SNT홀딩스,036530,2021/12,4.485295218732905,6.4,8.13,84.79,-0.73,75.04,38.57,3.79,0.81,286948393600
53,(주)TCC스틸,002710,2011/12,9.557362501687985,1.05,2.02,91.81,1.34,49.62,3.94,-3.25,1.55,82240000000
54,(주)TCC스틸,002710,2012/12,20.400149670944025,0.02,0.07,91.34,1.73,41.31,4.89,-1.36,1.32,78455000000
55,(주)TCC스틸,002710,2016/12,-24.83561152512653,5.14,17.99,90.65,1.11,36.53,9.38,-0.92,1.46,55074262500
56,(주)TCC스틸,002710,2017/12,-1.492321015145892,0.54,1.5,91.21,0.82,36.21,-14.28,-6.54,1.58,42227325000
57,(주)TCC스틸,002710,2018/12,9.361196729017234,3.34,9.19,91.46,0.69,36.83,19.36,3.33,1.57,44685000000
58,(주)TCC스틸,002710,2019/12,3.093358531671818,1.63,4.42,92.78,0.83,37.19,-5.41,2.35,1.56,60771600000
59,(주)TCC스틸,002710,2020/12,-2.3713440056013493,-0.54,-1.3,95.26,1.05,39.49,1.01,-2.01,1.47,121670000000
60,(주)TCC스틸,002710,2021/12,19.63691366838463,8.53,21.49,90.89,0.81,42.3,17.25,0.28,1.76,227480000000
61,(주)강원랜드,035250,2011/12,3.92104857694115,14.33,17.5,42.54,-4.86,83.25,26.66,16.61,0.8,5819181600000
62,(주)강원랜드,035250,2012/12,7.201182266591231,10.9,13.23,49.98,-4.94,81.61,22.26,14.87,0.79,6257759625000
63,(주)강원랜드,035250,2013/12,6.721884778207252,9.91,12.17,53.34,-4.17,81.16,16.45,14.04,0.82,6621458475000
64,(주)강원랜드,035250,2014/12,8.803570041234195,11.1,13.76,48.26,-4.44,80.16,22.14,13.85,0.82,6503791200000
65,(주)강원랜드,035250,2015/12,9.352685098960722,12.5,15.49,46.5,-3.75,81.22,29.42,14.7,0.74,8215315200000
66,(주)강원랜드,035250,2016/12,7.808513728218767,11.85,14.55,46.28,-3.39,81.75,27.41,14.72,0.69,7648372875000
67,(주)강원랜드,035250,2017/12,5.194009129959678,10.72,12.96,49.08,-3.37,83.65,35.43,12.66,0.6,7445129400000
68,(주)강원랜드,035250,2018/12,1.0890524474413454,7.06,8.39,50.73,-4.05,84.77,26.54,9.77,0.55,6846096000000
69,(주)강원랜드,035250,2019/12,4.889298435139951,7.72,9.16,48.46,-3.71,83.77,27.64,8.69,0.62,6332638800000
70,(주)갤럭시아에스엠,011420,2011/12,18.28718271449549,6.45,12.95,81.75,0.99,56.03,19.93,13.19,1.17,33652457160
71,(주)갤럭시아에스엠,011420,2012/12,-2.5072046109510087,0.88,1.49,86.39,0.55,58.91,25.72,6.37,1.44,31395878400
72,(주)갤럭시아에스엠,011420,2013/12,-14.420518884012823,-4.26,-7.07,89.94,0.3,57.11,16.99,9.74,1.3,36890157120
73,(주)경농,002100,2011/12,-12.427747121223574,0.29,0.36,65.33,0.79,82.28,39.99,8.15,1.02,65183708750
74,(주)경농,002100,2012/12,55.03642662308516,3.83,7.43,63.97,1.32,56.32,14.71,3.27,0.56,69305141250
75,(주)경농,002100,2013/12,-4.984169286560039,5.31,8.89,65.78,1.83,63.74,22.29,5.34,0.88,76897253750
76,(주)경농,002100,2014/12,11.18737426021056,2.63,4.73,65.14,1.49,59.35,17.29,5.84,0.87,101300472500
77,(주)경농,002100,2015/12,11.14421533045467,2.32,4.13,64.71,1.47,55.21,14.79,0.77,0.78,110411007500
78,(주)경농,002100,2016/12,1.44558737063052,2.0,3.86,66.36,1.21,57.33,13.62,0.96,0.75,125812150000
79,(주)경농,002100,2017/12,4.661358926818628,3.07,5.83,67.23,1.41,57.21,12.62,4.74,0.75,130367417500
80,(주)경농,002100,2018/12,6.367566408831883,1.41,3.08,65.79,1.32,56.39,11.67,3.7,0.73,234270900000
81,(주)경농,002100,2019/12,3.810379526452649,1.1,2.47,67.29,1.62,54.43,16.83,1.29,0.75,246201362500
82,(주)경농,002100,2020/12,0.1758009458738008,3.58,6.69,67.53,1.08,56.89,15.73,2.0,0.78,260301000000
83,(주)경농,002100,2021/12,4.645704472903646,4.24,7.85,69.21,0.85,60.91,21.48,3.43,0.82,239151543750
84,(주)경동나비엔,009450,2011/12,10.30920490168139,3.77,5.8,73.71,0.08,63.87,18.18,7.21,1.73,76437060000
85,(주)경동나비엔,009450,2012/12,13.874420142015342,3.26,5.41,74.56,0.03,58.68,15.07,7.2,1.66,149052267000
86,(주)경동나비엔,009450,2013/12,18.3665298768892,3.4,6.19,71.51,0.13,52.79,-4.35,6.84,1.57,222304449500
87,(주)경동나비엔,009450,2014/12,13.213540785839111,2.48,4.92,73.16,0.49,47.31,-6.57,0.95,1.36,369445790000
88,(주)경동나비엔,009450,2015/12,0.1058111482625809,4.17,8.48,68.76,0.46,51.25,-4.69,3.79,1.5,398109687500
89,(주)경동나비엔,009450,2016/12,6.8818953253549005,9.01,16.79,65.55,0.25,55.56,-0.48,12.22,1.69,548435905500
90,(주)경동나비엔,009450,2017/12,17.205617153959814,5.79,10.73,65.15,0.18,50.92,2.19,8.08,1.7,653536863000
91,(주)경동나비엔,009450,2018/12,15.862512581968922,4.55,9.23,67.13,0.45,48.0,2.04,0.5,1.44,529326640500
92,(주)경동나비엔,009450,2019/12,4.491463272537851,4.67,9.59,65.82,0.48,49.37,0.66,5.27,1.4,593661166000
93,(주)경동나비엔,009450,2020/12,20.478740849578884,6.19,12.83,62.17,0.4,47.39,3.05,9.27,1.41,708806433000
94,(주)경동나비엔,009450,2021/12,27.1129688888768,9.67,20.2,62.0,0.21,48.23,4.37,7.4,1.37,799815700800
95,(주)경동도시가스,267290,2018/12,9.572281353832292,4.59,11.11,92.16,-0.15,41.18,8.78,9.0,2.1,156606491600
96,(주)경동도시가스,267290,2019/12,-3.632543975741067,3.22,7.45,92.09,-0.17,45.28,9.86,10.31,1.85,125277377500
97,(주)경동도시가스,267290,2020/12,-6.7121422828563775,2.62,5.46,90.49,-0.11,50.98,9.71,2.45,1.67,109654551600
98,(주)경동도시가스,267290,2021/12,29.276303565456264,2.45,5.9,92.18,-0.1,41.51,8.7,15.34,1.48,133236175600
99,(주)경방,000050,2012/12,-1.27809607756721,-0.59,-1.26,78.18,5.58,46.49,-3.09,0.12,0.8,186368000000
100,(주)경방,000050,2013/12,-2.850176773729626,1.11,2.32,72.43,4.11,49.07,-2.45,2.66,1.32,271660482000
101,(주)경방,000050,2014/12,0.3740972359827261,0.88,1.79,72.44,3.84,49.75,-23.67,2.88,0.88,498957914000
102,(주)경방,000050,2015/12,1.290633802438239,1.27,2.55,71.55,2.89,50.28,-5.9,2.42,0.89,527743947500
103,(주)경방,000050,2016/12,-1.2688802048772867,2.25,4.39,71.1,2.15,52.22,-3.8,4.14,1.36,419453631000
104,(주)경방,000050,2017/12,-2.1406225156711938,1.97,3.67,70.25,1.9,54.88,-17.99,4.94,1.08,381072253000
105,(주)경방,000050,2018/12,2.1781856485108024,1.57,2.87,69.44,2.41,54.45,-3.26,2.69,1.01,296084916000
