,회사명,거래소코드,회계년도,총자본증가율,총자본순이익률,자기자본순이익률,매출원가대매출액비율,금융비용대총비용비율,자기자본구성비율,순운전자본비율,CASHFLOW대총자본비율,순운전자본회전률,1주당순이익,1주당정상영업이익,시가총액
0,(주)더블유게임즈,192080,2015/12,653.4252511325586,8.93,9.28,0.0,-1.81,96.26,94.21,10.13,0.32,2527.0,2355.44,866451237600
1,(주)더블유게임즈,192080,2016/12,14.233988821324187,11.15,12.91,0.0,-4.64,86.56,60.73,12.42,0.41,2952.0,2610.46,684804556600
2,(주)더블유게임즈,192080,2017/12,128.2080094104508,4.97,9.04,0.0,6.07,40.58,-20.29,6.85,0.81,2204.0,4648.98,909688073800
3,(주)엘엑스세미콘,108320,2011/12,10.91398982573156,12.88,15.45,77.46,-2.27,82.29,73.63,14.32,1.1,2046.0,1536.72,507446160000
4,(주)엘엑스세미콘,108320,2012/12,25.259973248184565,13.61,17.26,83.41,-1.35,76.08,65.96,6.27,1.41,2628.0,2677.94,363507105000
5,(주)엘엑스세미콘,108320,2013/12,2.5973485152696845,9.41,12.1,82.34,-1.29,79.42,68.32,5.16,1.09,2048.0,2043.71,390343200000
6,(주)엘엑스세미콘,108320,2014/12,9.121508983216446,8.92,11.24,79.86,-1.4,79.38,69.47,10.2,0.99,2033.0,2194.25,406607500000
7,(주)엘엑스세미콘,108320,2015/12,23.015120236567537,11.54,14.99,78.94,-0.8,75.07,65.41,9.97,1.15,3018.0,3435.93,626175550000
8,(주)엘엑스세미콘,108320,2016/12,4.965356970073951,10.68,13.92,78.63,-0.61,78.33,70.0,9.66,1.15,3116.0,3112.18,452147540000
9,(주)엘엑스세미콘,108320,2017/12,11.995111090992143,9.14,11.87,78.0,-0.58,75.74,67.68,7.49,1.19,2894.0,2798.86,860381470000
10,(주)엘엑스세미콘,108320,2018/12,11.623130146575196,8.5,11.4,75.54,-0.55,73.51,58.09,4.93,1.23,3010.0,3430.65,546480480000
